title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Avengers: Endgame,"$2,799,439,100","$858,373,000",30.7%,"$1,941,066,100",69.3%,Yes
The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,Yes
Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,Yes
Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,Yes
Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,Yes
Joker,"$1,078,751,311","$335,451,311",31.1%,"$743,300,000",68.9%,Yes
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,Yes
Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,Yes
Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,Yes
Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%,Yes
Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.9%,"$586,775,991",77.1%,Yes
Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%,Yes
The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%,Yes
How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,Yes
Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,Yes
It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,Yes
"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,Yes
Pokémon: Detective Pikachu,"$433,305,346","$144,105,346",33.3%,"$289,200,000",66.7%,Yes
The Secret Life of Pets 2,"$431,164,459","$158,980,250",36.9%,"$272,184,209",63.1%,Yes
The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%,Yes
Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%,Yes
Godzilla: King of the Monsters,"$387,300,138","$110,500,138",28.5%,"$276,800,000",71.5%,Yes
1917,"$384,580,017","$159,227,644",41.4%,"$225,352,373",58.6%,Yes
Once Upon a Time... in Hollywood,"$377,426,903","$142,502,728",37.8%,"$234,924,175",62.2%,Yes
Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%,Yes
Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%,Yes
John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.2%,"$156,761,648",47.8%,Yes
Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%,Yes
Knives Out,"$312,897,920","$165,363,234",52.8%,"$147,534,686",47.2%,Yes
Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,Yes
Parasite,"$258,098,332","$53,369,749",20.7%,"$204,728,583",79.3%,Yes
Us,"$256,022,707","$175,084,580",68.4%,"$80,938,127",31.6%,Yes
Pegasus,"$255,863,112",-,-,"$255,863,112",100%,Yes
Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,Yes
X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,Yes
Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,Yes
The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,Yes
Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,Yes
Better Days,"$225,918,798","$1,921,657",0.9%,"$223,997,141",99.1%,Yes
Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,Yes
Little Women,"$218,843,645","$108,101,214",49.4%,"$110,742,431",50.6%,Yes
The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%,Yes
Rocketman,"$195,320,400","$96,368,160",49.3%,"$98,952,240",50.7%,Yes
Downton Abbey,"$194,694,725","$96,853,865",49.7%,"$97,840,860",50.3%,Yes
Weathering with You,"$192,894,700","$8,056,636",4.2%,"$184,838,064",95.8%,Yes
The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,Yes
Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%,Yes
The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,Yes
Abominable,"$188,623,517","$60,716,390",32.2%,"$127,907,127",67.8%,Yes
Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,Yes
Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,Yes
Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,Yes
Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,Yes
The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%,Yes
Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%,Yes
Yesterday,"$154,608,856","$73,286,650",47.4%,"$81,322,206",52.6%,Yes
The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%,Yes
Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%,Yes
Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%,Yes
Midway,"$127,390,389","$56,846,802",44.6%,"$70,543,587",55.4%,Yes
The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%,Yes
Last Christmas,"$123,446,172","$35,150,750",28.5%,"$88,295,422",71.5%,Yes
The Curse of La Llorona,"$123,233,739","$54,733,739",44.4%,"$68,500,000",55.6%,Yes
Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%,Yes
Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%,Yes
Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.1%,"$60,119,165",49.9%,Yes
Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%,Yes
Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%,Yes
P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%,Yes
Detective Conan: The Fist of Blue Sapphire,"$115,448,200",-,-,"$115,448,200",100%,Yes
The Gentlemen,"$115,171,795","$36,471,795",31.7%,"$78,700,000",68.3%,Yes
Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%,Yes
Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%,Yes
Good Boys,"$111,173,598","$83,140,306",74.8%,"$28,033,292",25.2%,Yes
Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.9%,"$35,598,430",34.1%,Yes
Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%,Yes
The Hustle,"$97,409,779","$35,417,038",36.4%,"$61,992,741",63.6%,Yes
The New King of Comedy,"$95,618,308",-,-,"$95,618,308",100%,Yes
Adoring,"$94,975,692",-,-,"$94,975,692",100%,Yes
Five Feet Apart,"$92,554,209","$45,729,221",49.4%,"$46,824,988",50.6%,Yes
Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%,Yes
Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%,Yes
Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%,Yes
Serial (Bad) Weddings 2,"$87,761,988",-,-,"$87,761,988",100%,Yes
One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%,Yes
A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%,Yes
A Dog's Journey,"$78,870,908","$22,782,371",28.9%,"$56,088,537",71.1%,Yes
Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%,Yes
Cats,"$75,558,925","$27,166,770",36%,"$48,392,155",64%,Yes
A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%,Yes
Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%,Yes
Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%,Yes
What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%,Yes
Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%,Yes
After,"$69,497,587","$12,138,565",17.5%,"$57,359,022",82.5%,Yes
Playing with Fire,"$69,412,425","$44,451,847",64%,"$24,960,578",36%,Yes
A Beautiful Day in the Neighborhood,"$67,925,733","$61,704,055",90.8%,"$6,221,678",9.2%,Yes
War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%,Yes
Doraemon: Nobita's Chronicle of the Moon Exploration,"$65,406,606",-,-,"$65,406,606",100%,Yes
Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%,Yes
White Snake,"$62,098,770","$34,730",<0.1%,"$62,064,040",99.9%,Yes
Bombshell,"$61,404,394","$31,762,808",51.7%,"$29,641,586",48.3%,Yes
Ashfall,"$61,354,854","$372,562",0.6%,"$60,982,292",99.4%,Yes
Ma,"$61,220,784","$45,896,028",75%,"$15,324,756",25%,Yes
My Best Summer,"$60,011,073",-,-,"$60,011,073",100%,Yes
Ready or Not,"$57,615,777","$28,714,231",49.8%,"$28,901,546",50.2%,Yes
Jade Dynasty,"$57,149,764",-,-,"$57,149,764",100%,Yes
The Perfect Secret,"$56,573,047",-,-,"$56,573,047",100%,Yes
The Big Shot,"$56,040,681",-,-,"$56,040,681",100%,Yes
Hellboy,"$55,064,690","$21,903,748",39.8%,"$33,160,942",60.2%,Yes
Les Misérables,"$54,606,372","$330,181",0.6%,"$54,276,191",99.4%,Yes
Long Shot,"$53,873,809","$30,316,271",56.3%,"$23,557,538",43.7%,Yes
Just Mercy,"$50,901,502","$36,001,502",70.7%,"$14,900,000",29.3%,Yes
Son of a Rich,"$50,803,834",-,-,"$50,803,834",100%,Yes
Kingdom,"$50,574,061",-,-,"$50,574,061",100%,Yes
Breakthrough,"$50,444,358","$40,713,082",80.7%,"$9,731,276",19.3%,Yes
Uncut Gems,"$50,023,780","$50,023,780",100%,-,-,No
21 Bridges,"$49,939,757","$28,539,757",57.1%,"$21,400,000",42.9%,Yes
Song of Youth,"$49,615,508",-,-,"$49,615,508",100%,Yes
The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%,Yes
Little,"$48,987,096","$40,860,481",83.4%,"$8,126,615",16.6%,Yes
Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-,No
The Legend of Hei,"$48,507,082",-,-,"$48,507,082",100%,Yes
Countdown,"$48,021,766","$25,621,766",53.4%,"$22,400,000",46.6%,Yes
Midsommar,"$47,850,980","$27,426,361",57.3%,"$20,424,619",42.7%,Yes
Queen & Slim,"$47,834,125","$43,808,310",91.6%,"$4,025,815",8.4%,Yes
47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.8%,"$25,321,663",53.2%,Yes
Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.4%,"$45,536,722",99.6%,Yes
Judy,"$45,701,880","$24,313,888",53.2%,"$21,387,992",46.8%,Yes
Child's Play,"$44,907,074","$29,208,403",65%,"$15,698,671",35%,Yes
Richard Jewell,"$44,645,542","$22,345,542",50.1%,"$22,300,000",49.9%,Yes
Harriet,"$43,347,017","$43,082,155",99.4%,"$264,862",0.6%,Yes
A Shaun the Sheep Movie: Farmageddon,"$43,100,248",-,-,"$43,100,248",100%,Yes
Fighting with My Family,"$41,503,392","$22,958,886",55.3%,"$18,544,506",44.7%,Yes
Masquerade Hotel,"$40,396,244",-,-,"$40,396,244",100%,Yes
The Last Wish,"$39,756,292",-,-,"$39,756,292",100%,Yes
Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.6%,"$35,160,409",89.4%,Yes
Overcomer,"$38,026,103","$34,746,945",91.4%,"$3,279,158",8.6%,Yes
T-34,"$37,410,850",-,-,"$37,410,850",100%,Yes
Pain and Glory,"$37,359,689","$4,567,338",12.2%,"$32,792,351",87.8%,Yes
A Witness Out of the Blue,"$37,092,694",-,-,"$37,092,694",100%,Yes
The Intruder,"$36,599,361","$35,419,122",96.8%,"$1,180,239",3.2%,Yes
The Queen's Corgi,"$35,515,687",-,-,"$35,515,687",100%,Yes
Warrior of the Hornor,"$34,291,831",-,-,"$34,291,831",100%,Yes
The Battle: Roar to Victory,"$34,148,707",-,-,"$34,148,707",100%,Yes
The Bad Guys: The Movie,"$34,024,386","$166,972",0.5%,"$33,857,414",99.5%,Yes
The Good Liar,"$33,856,058","$17,156,058",50.7%,"$16,700,000",49.3%,Yes
The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.2%,"$7,371,145",21.8%,Yes
Brightburn,"$33,224,654","$17,300,439",52.1%,"$15,924,215",47.9%,Yes
Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%,Yes
Fly Me to the Saitama,"$32,802,347",-,-,"$32,802,347",100%,Yes
UglyDolls,"$32,450,241","$20,150,241",62.1%,"$12,300,000",37.9%,Yes
Stuber,"$32,390,945","$22,370,452",69.1%,"$10,020,493",30.9%,Yes
Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%,Yes
Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%,Yes
The Kid Who Would Be King,"$32,140,970","$16,790,790",52.2%,"$15,350,180",47.8%,Yes
Two Tigers,"$32,001,580",-,-,"$32,001,580",100%,Yes
