title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%,Yes
Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%,Yes
Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7%,Yes
Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000",67.3%,Yes
Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%,Yes
Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000",77.3%,Yes
Inside Out,"$857,611,174","$356,461,711",41.6%,"$501,149,463",58.4%,Yes
Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.6%,"$487,671,890",71.4%,Yes
The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.1%,"$371,704,359",56.9%,Yes
The Martian,"$630,161,890","$228,433,663",36.2%,"$401,728,227",63.8%,Yes
Fifty Shades of Grey,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,Yes
Cinderella,"$542,351,353","$201,151,353",37.1%,"$341,200,000",62.9%,Yes
The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%,Yes
Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%,Yes
Hotel Transylvania 2,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%,Yes
San Andreas,"$474,590,832","$155,190,832",32.7%,"$319,400,000",67.3%,Yes
Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%,Yes
Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%,Yes
Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%,Yes
Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%,Yes
Mad Max: Fury Road,"$379,436,354","$153,636,354",40.5%,"$225,800,000",59.5%,Yes
The Good Dinosaur,"$332,207,671","$123,087,120",37.1%,"$209,120,551",62.9%,Yes
Taken 3,"$326,479,141","$89,256,424",27.3%,"$237,222,717",72.7%,Yes
