title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Home Alone,"$289,012,363","$285,761,243",98.9%,"$3,164,185",1.1%,Yes
Ghost,"$217,631,670","$217,631,306",100%,-,-,Yes
Dances with Wolves,"$184,208,848","$184,208,848",100%,-,-,No
Pretty Woman,"$178,464,485","$178,406,268",100%,-,-,Yes
Teenage Mutant Ninja Turtles,"$135,267,509","$135,265,915",100%,-,-,Yes
The Hunt for Red October,"$122,012,643","$122,012,643",100%,-,-,No
Total Recall,"$119,396,352","$119,394,840",100%,-,-,Yes
Die Hard 2,"$117,542,606","$117,540,947",100%,$67,<0.1%,Yes
Dick Tracy,"$103,738,726","$103,738,726",100%,-,-,No
Kindergarten Cop,"$91,457,688","$91,457,688",100%,-,-,No
Back to the Future Part III,"$87,727,583","$87,727,583",100%,-,-,No
Days of Thunder,"$87,163,545","$82,670,733",94.8%,"$4,492,812",5.2%,Yes
Presumed Innocent,"$86,303,188","$86,303,188",100%,-,-,No
Another 48 Hrs.,"$80,818,974","$80,818,974",100%,-,-,No
Three Men and a Little Lady,"$71,609,321","$71,609,321",100%,-,-,No
Bird on a Wire,"$70,978,012","$70,978,012",100%,-,-,No
The Godfather Part III,"$66,666,062","$66,666,062",100%,-,-,No
Flatliners,"$61,489,265","$61,489,265",100%,-,-,No
Misery,"$61,276,872","$61,276,872",100%,-,-,No
Edward Scissorhands,"$56,362,461","$56,362,352",100%,-,-,Yes
Problem Child,"$53,470,891","$53,470,891",100%,-,-,No
Arachnophobia,"$53,208,180","$53,208,180",100%,-,-,No
Awakenings,"$52,096,475","$52,096,475",100%,-,-,No
Look Who's Talking Too,"$47,789,074","$47,789,074",100%,-,-,No
Hard to Kill,"$47,410,827","$47,410,827",100%,-,-,No
Goodfellas,"$46,836,797","$46,836,214",100%,-,-,Yes
Marked for Death,"$46,044,396","$46,044,396",100%,-,-,No
RoboCop 2,"$45,681,173","$45,681,173",100%,-,-,No
The Jungle Book 1990 Re-release,"$44,645,619","$44,645,619",100%,-,-,No
Young Guns II,"$44,143,410","$44,143,410",100%,-,-,No
Gremlins 2: The New Batch,"$41,482,207","$41,482,207",100%,-,-,No
Rocky V,"$40,946,358","$40,946,358",100%,-,-,No
Joe Versus the Volcano,"$39,404,261","$39,404,261",100%,-,-,No
Postcards from the Edge,"$39,071,603","$39,071,603",100%,-,-,No
Mermaids,"$35,419,397","$35,419,397",100%,-,-,No
Darkman,"$33,878,502","$33,878,502",100%,-,-,No
Air America,"$31,053,601","$31,053,601",100%,-,-,No
Predator 2,"$30,669,413","$30,669,413",100%,-,-,No
