title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%,Yes
Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%,Yes
The Door Lock,"$36,100,000",-,-,"$36,100,000",100%,Yes
We Made a Beautiful Bouquet,"$35,042,879",-,-,"$35,042,879",100%,Yes
Malignant,"$34,891,791","$13,391,791",38.4%,"$21,500,000",61.6%,Yes
Licorice Pizza,"$33,274,040","$17,318,007",52%,"$15,956,033",48%,Yes
Respect,"$32,882,823","$24,278,399",73.8%,"$8,604,424",26.2%,Yes
Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%,Yes
Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%,Yes
Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%,Yes
Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%,Yes
The Little Things,"$30,842,746","$15,342,746",49.7%,"$15,500,000",50.3%,Yes
The Unholy,"$30,832,137","$15,532,137",50.4%,"$15,300,000",49.6%,Yes
The Last Duel,"$30,552,111","$10,853,945",35.5%,"$19,698,166",64.5%,Yes
Escape from Mogadishu,"$29,902,716","$346,271",1.2%,"$29,556,445",98.8%,Yes
Master,"$28,692,230",-,-,"$28,692,230",100%,Yes
The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%,Yes
The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%,Yes
American Underdog,"$26,514,814","$26,514,814",100%,-,-,No
Chaos Walking,"$26,508,132","$13,287,908",50.1%,"$13,220,224",49.9%,Yes
The Courier,"$26,001,227","$6,613,432",25.4%,"$19,387,795",74.6%,Yes
Spencer,"$25,246,967","$7,086,632",28.1%,"$18,160,335",71.9%,Yes
Parallel Mothers,"$23,099,858","$2,297,501",9.9%,"$20,802,357",90.1%,Yes
The Marksman,"$23,076,711","$15,566,093",67.5%,"$7,510,618",32.5%,Yes
99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%,Yes
Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%,Yes
The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%,Yes
School of Magical Animals,"$21,984,454","$288,414",1.3%,"$21,696,040",98.7%,Yes
Kaamelott: First Installment,"$21,979,122","$188,000",0.9%,"$21,791,122",99.1%,Yes
After We Fell,"$21,753,705","$2,170,750",10%,"$19,582,955",90%,Yes
Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%,Yes
Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%,Yes
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$20,752,104",-,-,"$20,752,104",100%,Yes
Stillwater,"$19,754,272","$14,465,535",73.2%,"$5,288,737",26.8%,Yes
The Wolf and the Lion,"$19,510,578","$2,072,173",10.6%,"$17,438,405",89.4%,Yes
Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%,Yes
Dear Evan Hansen,"$19,133,454","$15,002,646",78.4%,"$4,130,808",21.6%,Yes
Those Who Wish Me Dead,"$19,107,200","$7,407,200",38.8%,"$11,700,000",61.2%,Yes
The Pioneer,"$18,900,000",-,-,"$18,900,000",100%,Yes
The Green Knight,"$18,887,953","$17,173,321",90.9%,"$1,714,632",9.1%,Yes
Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%,Yes
Sinkhole,"$18,816,801",-,-,"$18,816,801",100%,Yes
Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%,Yes
The Stronghold,"$18,066,143",-,-,"$18,066,143",100%,Yes
"Dad, I'm Sorry","$17,480,489","$350,000",2%,"$17,130,489",98%,Yes
Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%,Yes
Railway Heroes,"$17,223,704",-,-,"$17,223,704",100%,Yes
Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%,Yes
Cry Macho,"$16,510,734","$10,310,734",62.4%,"$6,200,000",37.6%,Yes
Reminiscence,"$16,400,193","$3,900,193",23.8%,"$12,500,000",76.2%,Yes
Legend No. 17,"$16,096,860",-,-,"$16,096,860",100%,Yes
Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%,Yes
Harry Potter and the Sorcerer's Stone 2021 Re-release,"$15,591,681","$799,342",5.1%,"$14,604,379",93.7%,Yes
The Dry,"$15,576,286","$364,237",2.3%,"$15,212,049",97.7%,Yes
The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%,Yes
Drive My Car,"$15,356,046","$2,352,240",15.3%,"$13,003,806",84.7%,Yes
Minari,"$15,288,578","$3,110,580",20.3%,"$12,177,998",79.7%,Yes
Something About Love,"$15,204,017",-,-,"$15,204,017",100%,Yes
Anita,"$15,017,470","$556,632",3.7%,"$14,460,838",96.3%,Yes
The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%,Yes
And So the Baton Is Passed,"$14,368,469",-,-,"$14,368,469",100%,Yes
Sword Art Online: Progressive - Aria of a Starless Night,"$14,032,747","$1,050,000",7.5%,"$12,982,747",92.5%,Yes
Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-,No
Eiffel,"$13,649,605","$444,814",3.3%,"$13,204,791",96.7%,Yes
OSS 117: From Africa with Love,"$13,457,801",-,-,"$13,457,801",100%,Yes
Hostage: Missing Celebrity,"$13,174,292",-,-,"$13,174,292",100%,Yes
Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%,Yes
The Many Saints of Newark,"$13,037,403","$8,237,403",63.2%,"$4,800,000",36.8%,Yes
The Monkey King: Reborn,"$13,017,088",-,-,"$13,017,088",100%,Yes
No Escapes,"$12,916,151",-,-,"$12,916,151",100%,Yes
The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%,Yes
The Worst Person in the World,"$12,687,507","$3,034,775",23.9%,"$9,652,732",76.1%,Yes
Character,"$12,628,017",-,-,"$12,628,017",100%,Yes
On Your Mark,"$12,100,000",-,-,"$12,100,000",100%,Yes
On the Line,"$12,052,560",-,-,"$12,052,560",100%,Yes
