title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Titanic,"$1,843,373,318","$600,683,057",32.6%,"$1,242,690,261",67.4%,Yes
Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,Yes
Men in Black,"$250,690,539","$250,690,539",100%,-,-,No
Batman & Robin,"$238,225,195","$107,325,195",45.1%,"$130,900,000",54.9%,Yes
The Lost World: Jurassic Park,"$229,086,679","$229,086,679",100%,-,-,No
Liar Liar,"$181,410,615","$181,410,615",100%,-,-,No
Air Force One,"$172,956,409","$172,956,409",100%,-,-,No
Speed 2: Cruise Control,"$164,508,066","$48,608,066",29.5%,"$115,900,000",70.5%,Yes
As Good as It Gets,"$148,478,011","$148,478,011",100%,-,-,No
Good Will Hunting,"$138,433,523","$138,433,435",100%,$88,<0.1%,Yes
Star Wars: Episode IV - A New Hope 1997 Special Edition,"$138,257,865","$138,257,865",100%,-,-,No
My Best Friend's Wedding,"$127,131,755","$127,120,029",100%,-,-,Yes
Tomorrow Never Dies,"$125,304,452","$125,304,276",100%,-,-,Yes
Face/Off,"$112,277,322","$112,276,146",100%,-,-,Yes
George of the Jungle,"$105,263,257","$105,263,257",100%,-,-,No
Scream 2,"$101,363,301","$101,363,301",100%,-,-,No
Con Air,"$101,142,012","$101,117,573",100%,"$24,439",<0.1%,Yes
Contact,"$100,920,329","$100,920,329",100%,-,-,No
Hercules,"$99,112,101","$99,112,101",100%,-,-,No
Flubber,"$92,977,226","$92,977,226",100%,-,-,No
Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%,Yes
Conspiracy Theory,"$75,982,834","$75,982,834",100%,-,-,No
I Know What You Did Last Summer,"$72,587,919","$72,586,134",100%,-,-,Yes
Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$67,597,694","$67,597,694",100%,-,-,No
Dante's Peak,"$67,127,760","$67,127,760",100%,-,-,No
Anaconda,"$65,885,767","$65,885,767",100%,-,-,No
L.A. Confidential,"$64,616,940","$64,616,940",100%,-,-,No
In & Out,"$63,856,929","$63,856,929",100%,-,-,No
The Fifth Element,"$63,824,456","$63,820,180",100%,-,-,Yes
Mousehunt,"$61,917,389","$61,917,389",100%,-,-,No
The Saint,"$61,363,304","$61,363,304",100%,-,-,No
The Devil's Advocate,"$60,944,660","$60,944,660",100%,-,-,No
Kiss the Girls,"$60,527,873","$60,527,873",100%,-,-,No
Jungle 2 Jungle,"$59,927,618","$59,927,618",100%,-,-,No
Anastasia,"$58,406,347","$58,406,347",100%,-,-,No
The Jackal,"$54,930,280","$54,930,280",100%,-,-,No
Spawn,"$54,870,175","$54,870,175",100%,-,-,No
Starship Troopers,"$54,815,970","$54,814,377",100%,"$1,215",<0.1%,Yes
Austin Powers: International Man of Mystery,"$53,883,989","$53,883,989",100%,-,-,No
Breakdown,"$50,159,144","$50,159,144",100%,-,-,No
Absolute Power,"$50,068,310","$50,068,310",100%,-,-,No
Volcano,"$49,323,620","$49,323,468",100%,-,-,Yes
The Game,"$48,323,859","$48,323,648",100%,$211,<0.1%,Yes
G.I. Jane,"$48,169,156","$48,169,156",100%,-,-,No
Alien: Resurrection,"$47,795,658","$47,795,658",100%,-,-,No
The Full Monty,"$46,163,699","$45,950,122",99.5%,"$213,577",0.5%,Yes
The Rainmaker,"$45,916,769","$45,916,769",100%,-,-,No
Cop Land,"$44,862,187","$44,862,187",100%,-,-,No
Nothing to Lose,"$44,480,039","$44,480,039",100%,-,-,No
Amistad,"$44,229,441","$44,229,441",100%,-,-,No
Soul Food,"$43,700,855","$43,700,855",100%,-,-,No
Wag the Dog,"$43,061,945","$43,061,945",100%,-,-,No
The Devil's Own,"$42,868,348","$42,868,348",100%,-,-,No
Donnie Brasco,"$41,909,762","$41,909,762",100%,-,-,No
The Peacemaker,"$41,263,140","$41,263,140",100%,-,-,No
Private Parts,"$41,230,799","$41,230,799",100%,-,-,No
Money Talks,"$40,922,619","$40,922,619",100%,-,-,No
Jackie Brown,"$39,691,613","$39,673,162",100%,-,-,Yes
Seven Years in Tibet,"$37,957,682","$37,957,682",100%,-,-,No
Vegas Vacation,"$36,400,360","$36,400,360",100%,-,-,No
Mortal Kombat: Annihilation,"$35,927,406","$35,927,406",100%,-,-,No
Selena,"$35,281,794","$35,281,794",100%,-,-,No
Addicted to Love,"$34,673,095","$34,673,095",100%,-,-,No
The Relic,"$33,956,608","$33,956,608",100%,-,-,No
Metro,"$32,000,301","$32,000,301",100%,-,-,No
For Richer or Poorer,"$31,642,995","$31,642,995",100%,-,-,No
Beverly Hills Ninja,"$31,480,418","$31,480,418",100%,-,-,No
Picture Perfect,"$31,407,873","$31,407,873",100%,-,-,No
Home Alone 3,"$30,882,515","$30,882,515",100%,-,-,No
Fools Rush In,"$29,481,428","$29,481,428",100%,-,-,No
Romy and Michele's High School Reunion,"$29,235,353","$29,235,353",100%,-,-,No
Out to Sea,"$29,022,252","$29,022,252",100%,-,-,No
Fathers' Day,"$28,598,376","$28,598,376",100%,-,-,No
Grosse Pointe Blank,"$28,084,357","$28,084,357",100%,-,-,No
The Edge,"$27,873,386","$27,873,386",100%,-,-,No
The Little Mermaid 1997 Re-release,"$27,187,616","$27,187,616",100%,-,-,No
Event Horizon,"$26,673,242","$26,673,242",100%,-,-,No
An American Werewolf in Paris,"$26,570,463","$26,570,463",100%,-,-,No
Boogie Nights,"$26,400,726","$26,400,640",100%,-,-,Yes
Murder at 1600,"$25,804,707","$25,804,707",100%,-,-,No
Mimic,"$25,480,490","$25,480,490",100%,-,-,No
Midnight in the Garden of Good and Evil,"$25,105,255","$25,105,255",100%,-,-,No
Good Burger,"$23,712,993","$23,712,993",100%,-,-,No
Hoodlum,"$23,499,102","$23,499,102",100%,-,-,No
Air Bud,"$23,144,499","$23,144,499",100%,-,-,No
Red Corner,"$22,459,274","$22,459,274",100%,-,-,No
Mr. Magoo,"$21,437,192","$21,437,192",100%,-,-,No
Booty Call,"$20,050,376","$20,050,376",100%,-,-,No
The Apostle,"$19,868,354","$19,868,354",100%,-,-,No
Gone Fishin',"$19,745,922","$19,745,922",100%,-,-,No
Thrill Ride: The Science of Fun,"$18,798,590","$18,798,590",100%,-,-,No
That Darn Cat,"$18,301,610","$18,301,610",100%,-,-,No
The Postman,"$17,626,234","$17,626,234",100%,-,-,No
That Old Feeling,"$16,574,176","$16,574,176",100%,-,-,No
Fire Down Below,"$16,228,448","$16,228,448",100%,-,-,No
Wishmaster,"$15,738,769","$15,738,769",100%,-,-,No
RocketMan,"$15,448,043","$15,448,043",100%,-,-,No
First Strike,"$15,318,863","$15,318,863",100%,-,-,No
Eve's Bayou,"$14,842,388","$14,842,388",100%,-,-,No
The Sixth Man,"$14,772,788","$14,772,788",100%,-,-,No
Excess Baggage,"$14,515,490","$14,515,490",100%,-,-,No
