title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,Yes
Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,Yes
Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,Yes
Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,Yes
Aquaman,"$1,151,961,807","$335,061,807",29.1%,"$816,900,000",70.9%,Yes
Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%,Yes
Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,Yes
Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%,Yes
Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%,Yes
Fantastic Beasts: The Crimes of Grindelwald,"$655,755,901","$159,555,901",24.3%,"$496,200,000",75.7%,Yes
Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,Yes
Ready Player One,"$583,490,172","$137,690,172",23.6%,"$445,800,000",76.4%,Yes
Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,Yes
Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,Yes
Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,Yes
The Meg,"$529,243,742","$145,443,742",27.5%,"$383,800,000",72.5%,Yes
Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,Yes
The Grinch,"$512,453,517","$271,478,510",53%,"$240,975,007",47%,Yes
Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,Yes
Dying to Survive,"$451,176,639",-,-,"$451,176,639",100%,Yes
A Star Is Born,"$436,388,866","$215,288,866",49.3%,"$221,100,000",50.7%,Yes
Rampage,"$428,128,233","$101,028,233",23.6%,"$327,100,000",76.4%,Yes
Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%,Yes
Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,Yes
Spider-Man: Into the Spider-Verse,"$375,582,637","$190,241,310",50.7%,"$185,341,327",49.3%,Yes
Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,Yes
Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%,Yes
The Nun,"$366,050,119","$117,450,119",32.1%,"$248,600,000",67.9%,Yes
Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,Yes
Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%,Yes
Mary Poppins Returns,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%,Yes
A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%,Yes
Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%,Yes
Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,Yes
Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,Yes
Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%,Yes
Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%,Yes
Tomb Raider,"$274,950,803","$58,250,803",21.2%,"$216,700,000",78.8%,Yes
Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%,Yes
Crazy Rich Asians,"$239,032,921","$174,532,921",73%,"$64,500,000",27%,Yes
Smallfoot,"$217,940,103","$83,240,103",38.2%,"$134,700,000",61.8%,Yes
Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,Yes
Us and Them,"$209,221,380",-,-,"$209,221,380",100%,Yes
The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,Yes
Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%,Yes
The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,Yes
Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%,Yes
The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,Yes
The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,Yes
Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%,Yes
The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%,Yes
Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%,Yes
Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%,Yes
More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%,Yes
The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%,Yes
How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%,Yes
A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,Yes
The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%,Yes
Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%,Yes
A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%,Yes
Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%,Yes
Dragon Ball Super: Broly,"$115,750,445","$30,712,119",26.5%,"$85,038,326",73.5%,Yes
The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%,Yes
First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%,Yes
Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%,Yes
Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%,Yes
Detective Conan: Zero the Enforcer,"$101,860,359",-,-,"$101,860,359",100%,Yes
Alpha,"$99,630,675","$35,857,181",36%,"$63,773,494",64%,Yes
Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,Yes
A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,Yes
Boonie Bears: The Big Shrink,"$96,845,907",-,-,"$96,845,907",100%,Yes
The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%,Yes
Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%,Yes
Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%,Yes
I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%,Yes
Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%,Yes
BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%,Yes
Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,Yes
Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%,Yes
Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%,Yes
Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%,Yes
Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%,Yes
"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%,Yes
Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%,Yes
I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%,Yes
Hidden Man,"$85,170,581",-,-,"$85,170,581",100%,Yes
Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%,Yes
iPartment the Movie,"$81,096,321",-,-,"$81,096,321",100%,Yes
Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%,Yes
Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%,Yes
Hereditary,"$80,080,156","$44,069,456",55%,"$36,010,700",45%,Yes
Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%,Yes
Tag,"$78,230,625","$54,730,625",70%,"$23,500,000",30%,Yes
Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%,Yes
Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%,Yes
Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%,Yes
Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%,Yes
Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%,Yes
The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%,Yes
Animal World,"$74,922,830",-,-,"$74,922,830",100%,Yes
Amazing China,"$72,506,343",-,-,"$72,506,343",100%,Yes
Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%,Yes
Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%,Yes
Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%,Yes
12 Strong,"$67,359,190","$45,819,713",68%,"$21,539,477",32%,Yes
"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%,Yes
Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%,Yes
Life of the Party,"$65,659,911","$53,059,911",80.8%,"$12,600,000",19.2%,Yes
L Storm,"$64,517,456",-,-,"$64,517,456",100%,Yes
Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%,Yes
Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%,Yes
Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%,Yes
Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,Yes
The 15:17 to Paris,"$57,176,286","$36,276,286",63.4%,"$20,900,000",36.6%,Yes
A or B,"$56,239,049",-,-,"$56,239,049",100%,Yes
Go Brother!,"$54,663,060",-,-,"$54,663,060",100%,Yes
Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%,Yes
Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%,Yes
Teen Titans GO! To the Movies,"$52,390,236","$29,790,236",56.9%,"$22,600,000",43.1%,Yes
Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%,Yes
Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%,Yes
Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%,Yes
Once Upon a Deadpool 2018 Re-release,"$51,349,833","$6,100,309",11.9%,"$45,249,524",88.1%,Yes
Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%,Yes
Family is Family,"$49,954,866",-,-,"$49,954,866",100%,Yes
Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%,Yes
