title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Beauty and the Beast,"$248,817,377","$145,863,363",58.6%,"$102,939,158",41.4%,Yes
Terminator 2: Judgment Day,"$204,845,460","$204,843,345",100%,-,-,Yes
Robin Hood: Prince of Thieves,"$165,493,908","$165,493,908",100%,-,-,No
The Silence of the Lambs,"$130,746,352","$130,742,922",100%,-,-,Yes
City Slickers,"$124,033,791","$124,033,791",100%,-,-,No
Hook,"$119,655,099","$119,654,823",100%,-,-,Yes
The Addams Family,"$113,502,426","$113,502,426",100%,-,-,No
Sleeping with the Enemy,"$101,599,005","$101,599,005",100%,-,-,No
Father of the Bride,"$89,325,780","$89,325,780",100%,-,-,No
The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",100%,-,-,No
Fried Green Tomatoes,"$82,418,501","$82,418,501",100%,-,-,No
Cape Fear,"$79,091,969","$79,091,969",100%,-,-,No
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",100%,-,-,No
Backdraft,"$77,868,585","$77,868,585",100%,-,-,No
Star Trek VI: The Undiscovered Country,"$74,888,996","$74,888,996",100%,-,-,No
The Prince of Tides,"$74,787,599","$74,787,599",100%,-,-,No
JFK,"$70,405,498","$70,405,498",100%,-,-,No
Hot Shots!,"$69,467,617","$69,467,617",100%,-,-,No
What About Bob?,"$63,707,829","$63,707,829",100%,-,-,No
One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",100%,-,-,No
The Last Boy Scout,"$59,509,925","$59,509,925",100%,-,-,No
My Girl,"$59,489,799","$59,489,799",100%,-,-,No
Boyz n the Hood,"$57,504,069","$57,504,069",100%,-,-,No
Doc Hollywood,"$54,830,779","$54,830,779",100%,-,-,No
Bugsy,"$49,114,016","$49,114,016",100%,-,-,No
New Jack City,"$47,624,353","$47,624,353",100%,-,-,No
The Rocketeer,"$46,704,056","$46,704,056",100%,-,-,No
Thelma & Louise,"$45,455,013","$45,360,915",99.8%,"$93,163",0.2%,Yes
Point Break,"$43,218,387","$43,218,387",100%,-,-,No
Regarding Henry,"$43,001,500","$43,001,500",100%,-,-,No
The Fisher King,"$41,895,491","$41,895,491",100%,-,-,No
Out for Justice,"$39,673,161","$39,673,161",100%,-,-,No
The Doctor,"$38,120,905","$38,120,905",100%,-,-,No
Bill & Ted's Bogus Journey,"$38,037,931","$38,037,513",100%,$418,<0.1%,Yes
Dead Again,"$38,016,380","$38,016,380",100%,-,-,No
Soapdish,"$36,489,888","$36,489,888",100%,-,-,No
Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",100%,-,-,No
White Fang,"$34,793,160","$34,793,160",100%,-,-,No
The Doors,"$34,494,884","$34,416,893",99.8%,"$77,991",0.2%,Yes
King Ralph,"$34,002,045","$34,002,045",100%,-,-,No
Curly Sue,"$33,691,313","$33,691,313",100%,-,-,No
Dying Young,"$33,669,178","$33,669,178",100%,-,-,No
Grand Canyon,"$33,243,020","$33,243,020",100%,-,-,No
Jungle Fever,"$32,482,682","$32,482,682",100%,-,-,No
Double Impact,"$30,102,717","$30,102,717",100%,-,-,No
L.A. Story,"$28,862,081","$28,862,081",100%,-,-,No
Deceived,"$28,738,096","$28,738,096",100%,-,-,No
Necessary Roughness,"$26,255,594","$26,255,594",100%,-,-,No
The Hard Way,"$25,895,485","$25,895,485",100%,-,-,No
Other People's Money,"$25,682,090","$25,682,090",100%,-,-,No
Don't Tell Mom the Babysitter's Dead,"$25,196,249","$25,196,249",100%,-,-,No
Problem Child 2,"$25,104,700","$25,104,700",100%,-,-,No
Little Man Tate,"$25,010,896","$25,010,896",100%,-,-,No
Class Action,"$24,277,858","$24,277,858",100%,-,-,No
The People Under the Stairs,"$24,204,154","$24,204,154",100%,-,-,No
Lionheart,"$24,078,196","$24,078,196",100%,-,-,No
Oscar,"$23,562,716","$23,562,716",100%,-,-,No
Frankie and Johnny,"$22,773,535","$22,773,535",100%,-,-,No
Pure Luck,"$22,641,969","$22,641,969",100%,-,-,No
An American Tail: Fievel Goes West,"$22,166,041","$22,166,041",100%,-,-,No
Only the Lonely,"$21,830,957","$21,830,957",100%,-,-,No
Ricochet,"$21,756,163","$21,756,163",100%,-,-,No
F/X2,"$21,082,165","$21,082,165",100%,-,-,No
Mobsters,"$20,246,790","$20,246,790",100%,-,-,No
House Party 2,"$19,438,638","$19,438,638",100%,-,-,No
Mortal Thoughts,"$18,784,957","$18,784,957",100%,-,-,No
Paradise,"$18,634,643","$18,634,643",100%,-,-,No
For the Boys,"$17,860,280","$17,860,280",100%,-,-,No
The NeverEnding Story II: The Next Chapter,"$17,373,527","$17,373,527",100%,-,-,No
Hudson Hawk,"$17,218,080","$17,218,080",100%,-,-,No
Defending Your Life,"$16,371,128","$16,371,128",100%,-,-,No
Billy Bathgate,"$15,565,363","$15,565,363",100%,-,-,No
Highlander II: The Quickening,"$15,556,340","$15,556,340",100%,-,-,No
Switch,"$15,545,943","$15,545,943",100%,-,-,No
A Kiss Before Dying,"$15,429,177","$15,429,177",100%,-,-,No
Shipwrecked,"$15,104,156","$15,104,156",100%,-,-,No
Toy Soldiers,"$15,073,942","$15,073,942",100%,-,-,No
Madonna: Truth or Dare,"$15,014,326","$15,012,935",100%,"$1,317",<0.1%,Yes
Child's Play 3,"$14,960,255","$14,960,255",100%,-,-,No
The Commitments,"$14,919,570","$14,919,570",100%,-,-,No
Once Around,"$14,851,083","$14,851,083",100%,-,-,No
All I Want for Christmas,"$14,812,144","$14,812,144",100%,-,-,No
Not Without My Daughter,"$14,789,113","$14,789,113",100%,-,-,No
Flight of the Intruder,"$14,587,732","$14,587,732",100%,-,-,No
Ernest Scared Stupid,"$14,143,280","$14,143,280",100%,-,-,No
