title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,Yes
"From Today, It's My Turn: The Movie","$47,895,887",-,-,"$47,895,887",100%,Yes
Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,Yes
Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,Yes
The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,Yes
The War with Grandpa,"$43,387,638","$21,277,892",49%,"$22,109,746",51%,Yes
Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%,Yes
Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%,Yes
Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,Yes
Bloodshot,"$39,861,118","$12,561,824",31.5%,"$27,299,294",68.5%,Yes
Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%,Yes
The Untold Tale of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%,Yes
The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%,Yes
The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%,Yes
My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%,Yes
Doraemon the Movie: Nobita's New Dinosaur,"$34,218,525",-,-,"$34,218,525",100%,Yes
Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%,Yes
Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,503,136",-,-,"$31,501,815",100%,Yes
Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%,Yes
Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%,Yes
The Witches,"$29,303,571","$203,571",0.7%,"$29,100,000",99.3%,Yes
Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%,Yes
Scoob!,"$28,588,425","$2,188,425",7.7%,"$26,400,000",92.3%,Yes
Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%,Yes
Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%,Yes
Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%,Yes
Gravity 2020 Re-release,"$24,857,278",-,-,"$24,857,244",100%,Yes
The Father,"$24,048,935","$2,122,771",8.8%,"$21,920,547",91.1%,Yes
Poupelle of Chimney Town,"$22,715,146",-,-,"$22,715,146",100%,Yes
Gretel & Hansel,"$22,304,357","$15,347,654",68.8%,"$6,956,703",31.2%,Yes
Moana 2020 Re-release,"$21,737,046",-,-,"$21,736,672",100%,Yes
Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%,Yes
Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%,Yes
The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%,Yes
Threads - Our Tapestry of Love,"$20,474,270",-,-,"$20,474,270",100%,Yes
Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%,Yes
Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,Yes
Interstellar 2020 Re-release,"$19,990,000",-,-,"$19,990,000",100%,Yes
Ice 2,"$19,788,995",-,-,"$19,788,995",100%,Yes
Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%,Yes
The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%,Yes
Fate/stay night [Heaven's Feel] III. spring song,"$19,252,497","$200,000",1%,"$19,052,497",99%,Yes
Promising Young Woman,"$18,854,166","$6,460,965",34.3%,"$12,393,201",65.7%,Yes
Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%,Yes
Freaky,"$18,073,433","$9,030,855",50%,"$9,042,578",50%,Yes
The Promised Neverland,"$17,710,977",-,-,"$17,710,977",100%,Yes
Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%,Yes
Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%,Yes
Digimon Adventure: Last Evolution Kizuna,"$17,361,009",-,-,"$17,361,009",100%,Yes
Bye Bye Morons,"$16,955,924",-,-,"$16,955,924",100%,Yes
Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%,Yes
I Still Believe,"$16,069,730","$9,868,521",61.4%,"$6,201,209",38.6%,Yes
The Way Back,"$15,490,514","$13,590,514",87.7%,"$1,900,000",12.3%,Yes
Father There is Only One 2,"$15,373,181",-,-,"$15,373,181",100%,Yes
The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%,Yes
Nightlife,"$14,308,789",-,-,"$14,308,789",100%,Yes
Pawn,"$14,193,957",-,-,"$14,193,957",100%,Yes
The Post 2020 Re-release,"$13,995,207",-,-,"$13,995,207",100%,Yes
#Alive,"$13,432,212",-,-,"$13,432,212",100%,Yes
Howling Village,"$13,394,556",-,-,"$13,394,556",100%,Yes
Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%,Yes
Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%,Yes
Another Round,"$12,745,392",-,-,"$12,742,455",100%,Yes
News of the World,"$12,668,325","$12,668,325",100%,-,-,No
Collectors,"$12,640,113",-,-,"$12,640,113",100%,Yes
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%,Yes
Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%,Yes
The Asadas,"$11,888,743",-,-,"$11,888,743",100%,Yes
Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%,Yes
30 jours max,"$11,007,713",-,-,"$11,007,713",100%,Yes
Bigfoot Family,"$10,987,975",-,-,"$10,987,975",100%,Yes
The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%,Yes
Two by Two: Overboard!,"$10,885,076",-,-,"$10,885,076",100%,Yes
Let Him Go,"$10,835,686","$9,358,025",86.4%,"$1,477,661",13.6%,Yes
One Second,"$10,791,301",-,-,"$10,791,301",100%,Yes
Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%,Yes
Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-,No
Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%,Yes
The Hunt,"$10,550,350","$5,812,500",55.1%,"$4,737,850",44.9%,Yes
Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%,Yes
My Spy,"$10,200,000",-,-,"$10,200,000",100%,Yes
100% Wolf,"$9,766,489","$658,764",6.7%,"$9,107,725",93.3%,Yes
Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%,Yes
Inception 10th Anniversary re-release,"$9,581,100",-,-,"$9,581,100",100%,Yes
10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%,Yes
Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%,Yes
365 Days,"$9,458,590",-,-,"$9,458,590",100%,Yes
Okay Madam,"$9,433,525",-,-,"$9,433,525",100%,Yes
L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%,Yes
The Closet,"$9,178,989",-,-,"$9,178,989",100%,Yes
Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%,Yes
Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%,Yes
I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%,Yes
Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%,Yes
Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%,Yes
The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%,Yes
War of the Eltis,"$8,613,864",-,-,"$8,613,864",100%,Yes
Malang,"$8,399,765",-,-,"$8,399,765",100%,Yes
Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%,Yes
"My Donkey, My Lover & I","$7,974,769","$152,184",1.9%,"$7,821,615",98.1%,Yes
AI Amok,"$7,932,191",-,-,"$7,932,191",100%,Yes
The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%,Yes
Antebellum,"$7,792,716",-,-,"$7,792,716",100%,Yes
The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%,Yes
Spirited Away Studio Ghibli Fest 2020,"$7,732,697",-,-,"$7,732,435",100%,Yes
Princess Mononoke Studio Ghibli Fest 2020,"$7,673,800",-,-,"$7,673,207",100%,Yes
The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%,Yes
De Gaulle,"$7,501,454",-,-,"$7,501,454",100%,Yes
Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%,Yes
The Best Years,"$7,355,020",-,-,"$7,355,020",100%,Yes
Mamma Mia! Here We Go Again 2020 Re-release,"$7,225,624",-,-,"$7,220,137",99.9%,Yes
Bohemian Rhapsody 2020 Re-release,"$7,158,262","$240,000",3.4%,"$6,914,052",96.6%,Yes
The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%,Yes
Spycies,"$7,128,952",-,-,"$7,128,952",100%,Yes
Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%,Yes
Adu,"$7,085,946",-,-,"$7,085,946",100%,Yes
Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%,Yes
Dragon Rider,"$6,977,378",-,-,"$6,977,378",100%,Yes
Jim Button and the Wild 13,"$6,933,267",-,-,"$6,933,267",100%,Yes
Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%,Yes
Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%,Yes
Innocence,"$6,688,330",-,-,"$6,659,968",99.6%,Yes
Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%,Yes
Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%,Yes
"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%,Yes
Hammamet,"$6,434,874",-,-,"$6,434,874",100%,Yes
Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%,Yes
Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%,Yes
Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%,Yes
Simply Black,"$6,323,750",-,-,"$6,323,750",100%,Yes
My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,Yes
Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%,Yes
Hotel Belgrade,"$6,189,882",-,-,"$6,189,882",100%,Yes
How to Be a Good Wife,"$6,033,430",-,-,"$6,033,430",100%,Yes
The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%,Yes
A Piece of Cake,"$6,008,448",-,-,"$6,008,448",100%,Yes
The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,Yes
How I Became a Gangster,"$5,975,729",-,-,"$5,975,729",100%,Yes
The Innocent,"$5,929,392","$22,549",0.4%,"$5,906,843",99.6%,Yes
Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%,Yes
The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%,Yes
Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%,Yes
The Lion King 2020 Re-release,"$5,773,266",-,-,"$5,773,266",100%,Yes
Last Letter,"$5,663,972",-,-,"$5,663,972",100%,Yes
Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%,Yes
Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%,Yes
Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%,Yes
Mama Weed,"$5,461,144","$29,151",0.5%,"$5,431,993",99.5%,Yes
Divorce Club,"$5,316,313",-,-,"$5,316,313",100%,Yes
Cats & Dogs 3: Paws Unite,"$5,300,000",-,-,"$5,300,000",100%,Yes
Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%,Yes
Run,"$5,184,368",-,-,"$5,184,368",100%,Yes
Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%,Yes
Masked Ward,"$5,107,013",-,-,"$5,107,013",100%,Yes
Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%,Yes
Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%,Yes
Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%,Yes
The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%,Yes
Mayday,"$5,011,408",-,-,"$5,011,408",100%,Yes
Bheeshma,"$4,997,080",-,-,"$4,997,080",100%,Yes
Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%,Yes
Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%,Yes
Military Wives,"$4,890,505",-,-,"$4,890,505",100%,Yes
Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%,Yes
The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%,Yes
Streltsov,"$4,850,073",-,-,"$4,850,073",100%,Yes
Persian Lessons,"$4,849,240",-,-,"$4,849,240",100%,Yes
The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-,No
