title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,Yes
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$453,230,408","$49,505,008",10.9%,"$403,725,400",89.1%,Yes
Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,Yes
"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,Yes
Tenet,"$365,304,105","$58,504,105",16%,"$306,800,000",84%,Yes
Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,Yes
Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%,Yes
Jiang Ziya,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%,Yes
A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,Yes
The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,Yes
Birds of Prey,"$205,358,461","$84,158,461",41%,"$121,200,000",59%,Yes
Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,Yes
Wonder Woman 1984,"$169,601,036","$46,801,036",27.6%,"$122,800,000",72.4%,Yes
The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,Yes
The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%,Yes
Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,Yes
Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,Yes
Soul,"$121,903,885","$946,154",0.8%,"$120,957,731",99.2%,Yes
The Call of the Wild,"$111,166,669","$62,342,368",56.1%,"$48,824,301",43.9%,Yes
Mamma Mia! 2020 Re-release,"$84,604,815",-,-,"$84,579,977",100%,Yes
Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,Yes
Mulan,"$69,965,374",-,-,"$69,965,374",100%,Yes
The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,Yes
Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%,Yes
The Rescue,"$64,237,554","$18,797",<0.1%,"$64,218,757",100%,Yes
Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,Yes
Greenland,"$52,300,000",-,-,"$52,300,000",100%,Yes
Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,Yes
Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%,Yes
Fantasy Island,"$49,447,308","$27,309,289",55.2%,"$22,138,019",44.8%,Yes
Trolls World Tour,"$49,276,818","$450,000",0.9%,"$48,826,818",99.1%,Yes
The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%,Yes
