title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Weekend Warriors,"$351,623","$351,623",100%,-,-,No
La Cage aux Folles 3: The Wedding,"$345,280","$345,280",100%,-,-,No
TerrorVision,"$320,256","$320,256",100%,-,-,No
Every Time We Say Goodbye,"$278,623","$278,623",100%,-,-,No
Lady Jane,"$277,646","$277,646",100%,-,-,No
Willy/Milly,"$277,405","$277,405",100%,-,-,No
The Boy in Blue,"$275,000","$275,000",100%,-,-,No
The Gospel According to Vic,"$267,249","$267,249",100%,-,-,No
Radioactive Dreams,"$220,038","$220,038",100%,-,-,No
The Girl in the Picture,"$202,428","$202,428",100%,-,-,No
The Mission 2008 Re-release,"$141,112",-,-,"$141,112",100%,Yes
Let's Get Harry,"$140,980","$140,980",100%,-,-,No
Stewardess School,"$136,158","$136,158",100%,-,-,No
Jocks,"$120,808","$120,808",100%,-,-,No
Stripper,"$90,000","$90,000",100%,-,-,No
16 Days of Glory,"$83,857","$83,857",100%,-,-,No
