title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Top Gun,"$176,913,085","$176,781,728",99.9%,"$130,056",<0.1%,Yes
Crocodile Dundee,"$174,803,506","$174,803,506",100%,-,-,No
Platoon,"$138,545,632","$138,530,565",100%,"$15,067",<0.1%,Yes
The Karate Kid Part II,"$115,103,979","$115,103,979",100%,-,-,No
Star Trek IV: The Voyage Home,"$109,713,132","$109,713,132",100%,-,-,No
Back to School,"$91,258,000","$91,258,000",100%,-,-,No
Aliens,"$85,175,064","$85,160,248",100%,"$10,472",<0.1%,Yes
The Golden Child,"$79,817,937","$79,817,937",100%,-,-,No
Ruthless People,"$71,624,879","$71,624,879",100%,-,-,No
Ferris Bueller's Day Off,"$70,719,704","$70,136,369",99.2%,"$576,308",0.8%,Yes
Down and Out in Beverly Hills,"$62,134,225","$62,134,225",100%,-,-,No
The Color of Money,"$52,293,982","$52,293,982",100%,-,-,No
Stand by Me,"$52,287,546","$52,287,414",100%,-,-,Yes
Legal Eagles,"$49,851,591","$49,851,591",100%,-,-,No
Cobra,"$49,042,224","$49,042,224",100%,-,-,No
An American Tail,"$47,483,002","$47,483,002",100%,-,-,No
Police Academy 3: Back in Training,"$43,579,163","$43,579,163",100%,-,-,No
Heartbreak Ridge,"$42,724,017","$42,724,017",100%,-,-,No
Peggy Sue Got Married,"$41,382,841","$41,382,841",100%,-,-,No
Poltergeist II: The Other Side,"$40,998,097","$40,996,665",100%,-,-,Yes
Short Circuit,"$40,697,761","$40,697,761",100%,-,-,No
Pretty in Pink,"$40,471,663","$40,471,663",100%,-,-,No
The Fly,"$40,457,197","$40,456,565",100%,-,-,Yes
Three Amigos!,"$39,246,734","$39,246,734",100%,-,-,No
Little Shop of Horrors,"$38,749,633","$38,748,395",100%,-,-,Yes
About Last Night,"$38,702,310","$38,702,310",100%,-,-,No
Running Scared,"$38,500,726","$38,500,726",100%,-,-,No
The Money Pit,"$37,499,651","$37,499,651",100%,-,-,No
Gung Ho,"$36,611,610","$36,611,610",100%,-,-,No
Hannah and Her Sisters,"$35,392,203","$35,392,203",100%,-,-,No
Nothing in Common,"$32,324,557","$32,324,557",100%,-,-,No
Children of a Lesser God,"$31,853,080","$31,853,080",100%,-,-,No
Lady and the Tramp 1986 Re-release,"$31,129,082","$31,129,082",100%,-,-,No
Jumpin' Jack Flash,"$29,844,101","$29,844,101",100%,-,-,No
Hoosiers,"$28,607,524","$28,607,524",100%,-,-,No
Soul Man,"$27,820,000","$27,820,000",100%,-,-,No
Wildcats,"$26,285,544","$26,285,544",100%,-,-,No
The Great Mouse Detective,"$25,336,794","$25,336,794",100%,-,-,No
Heartburn,"$25,314,189","$25,314,189",100%,-,-,No
The Morning After,"$25,147,055","$25,147,055",100%,-,-,No
Iron Eagle,"$24,159,872","$24,159,872",100%,-,-,No
Crimes of the Heart,"$22,905,522","$22,905,522",100%,-,-,No
Tough Guys,"$21,458,229","$21,458,229",100%,-,-,No
A Room with a View,"$21,040,996","$20,966,644",99.6%,"$73,673",0.4%,Yes
F/X,"$20,603,715","$20,603,715",100%,-,-,No
Friday the 13th Part VI: Jason Lives,"$19,472,057","$19,472,057",100%,-,-,No
House,"$19,444,631","$19,444,631",100%,-,-,No
Flight of the Navigator,"$18,564,613","$18,564,613",100%,-,-,No
"Jo Jo Dancer, Your Life Is Calling","$18,034,150","$18,034,150",100%,-,-,No
The Delta Force,"$17,768,900","$17,768,900",100%,-,-,No
Song of the South 1986 Re-release,"$17,659,346","$17,659,346",100%,-,-,No
The Mission,"$17,218,023","$17,218,023",100%,-,-,No
Legend,"$16,837,628","$15,502,112",92.1%,"$1,335,516",7.9%,Yes
Howard the Duck,"$16,295,774","$16,295,774",100%,-,-,No
Raw Deal,"$16,209,459","$16,209,459",100%,-,-,No
Armed and Dangerous,"$15,945,534","$15,945,534",100%,-,-,No
Youngblood,"$15,448,384","$15,448,384",100%,-,-,No
Sleeping Beauty 1986 Re-release,"$15,120,195","$15,120,195",100%,-,-,No
Psycho III,"$14,481,606","$14,481,606",100%,-,-,No
The Mosquito Coast,"$14,302,779","$14,302,779",100%,-,-,No
Sweet Liberty,"$14,205,021","$14,205,021",100%,-,-,No
One Crazy Summer,"$13,431,806","$13,431,806",100%,-,-,No
Extremities,"$13,418,091","$13,418,091",100%,-,-,No
Critters,"$13,167,232","$13,167,232",100%,-,-,No
April Fool's Day,"$12,947,763","$12,947,763",100%,-,-,No
Labyrinth,"$12,912,426","$12,729,917",98.6%,"$176,842",1.4%,Yes
Club Paradise,"$12,308,521","$12,308,521",100%,-,-,No
No Mercy,"$12,303,904","$12,303,904",100%,-,-,No
Brighton Beach Memoirs,"$11,957,943","$11,957,943",100%,-,-,No
Firewalker,"$11,949,484","$11,949,484",100%,-,-,No
Big Trouble in Little China,"$11,100,000","$11,100,000",100%,-,-,No
Under the Cherry Moon,"$10,090,429","$10,090,429",100%,-,-,No
Murphy's Law,"$9,947,631","$9,947,631",100%,-,-,No
SpaceCamp,"$9,697,739","$9,697,739",100%,-,-,No
Deadly Friend,"$8,988,731","$8,988,731",100%,-,-,No
Manhunter,"$8,620,929","$8,620,929",100%,-,-,No
Blue Velvet,"$8,552,275","$8,551,228",100%,-,-,Yes
Care Bears Movie II: A New Generation,"$8,540,346","$8,540,346",100%,-,-,No
Wise Guys,"$8,475,466","$8,475,466",100%,-,-,No
Something Wild,"$8,362,969","$8,362,969",100%,-,-,No
Lucas,"$8,200,000","$8,200,000",100%,-,-,No
Haunted Honeymoon,"$8,033,397","$8,033,397",100%,-,-,No
The Texas Chainsaw Massacre 2,"$8,025,872","$8,025,872",100%,-,-,No
The Best of Times,"$7,790,931","$7,790,931",100%,-,-,No
Quicksilver,"$7,634,909","$7,634,909",100%,-,-,No
Maximum Overdrive,"$7,433,663","$7,433,663",100%,-,-,No
Witchboard,"$7,369,373","$7,369,373",100%,-,-,No
The Boy Who Could Fly,"$7,177,431","$7,177,431",100%,-,-,No
The Name of the Rose,"$7,153,487","$7,153,487",100%,-,-,No
She's Gotta Have It,"$7,137,502","$7,137,502",100%,-,-,No
Blue City,"$6,947,787","$6,947,787",100%,-,-,No
Trick or Treat,"$6,797,218","$6,797,218",100%,-,-,No
9½ Weeks,"$6,735,922","$6,735,922",100%,-,-,No
Black Moon Rising,"$6,637,565","$6,637,565",100%,-,-,No
Just Between Friends,"$6,408,791","$6,408,791",100%,-,-,No
A Fine Mess,"$6,029,824","$6,029,824",100%,-,-,No
My Little Pony: The Movie,"$5,958,456","$5,958,456",100%,-,-,No
Highlander,"$5,900,000","$5,900,000",100%,-,-,No
The Transformers: The Movie,"$5,849,647","$5,849,647",100%,-,-,No
The Hitcher,"$5,844,868","$5,844,868",100%,-,-,No
Crossroads,"$5,839,031","$5,839,031",100%,-,-,No
Mona Lisa,"$5,794,184","$5,794,184",100%,-,-,No
Troll,"$5,450,815","$5,450,815",100%,-,-,No
52 Pick-Up,"$5,186,646","$5,186,646",100%,-,-,No
Out of Bounds,"$5,099,316","$5,099,316",100%,-,-,No
Vamp,"$4,941,117","$4,941,117",100%,-,-,No
Invaders from Mars,"$4,884,663","$4,884,663",100%,-,-,No
Band of the Hand,"$4,865,912","$4,865,912",100%,-,-,No
American Anthem,"$4,845,724","$4,845,724",100%,-,-,No
Off Beat,"$4,842,778","$4,842,778",100%,-,-,No
My Chauffeur,"$4,781,448","$4,781,448",100%,-,-,No
Violets Are Blue...,"$4,743,287","$4,743,287",100%,-,-,No
King Kong Lives,"$4,711,220","$4,711,220",100%,-,-,No
Avenging Force,"$4,679,650","$4,679,650",100%,-,-,No
"No Retreat, No Surrender","$4,662,137","$4,662,137",100%,-,-,No
Fire with Fire,"$4,636,169","$4,636,169",100%,-,-,No
Eliminators,"$4,601,256","$4,601,256",100%,-,-,No
That's Life!,"$4,079,895","$4,079,895",100%,-,-,No
Tai-Pan,"$4,007,250","$4,007,250",100%,-,-,No
The Manhattan Project,"$3,900,000","$3,900,000",100%,-,-,No
Power,"$3,800,000","$3,800,000",100%,-,-,No
The Wraith,"$3,500,000","$3,500,000",100%,-,-,No
Head Office,"$3,393,807","$3,393,807",100%,-,-,No
Born American,"$3,388,020","$3,388,020",100%,-,-,No
'Round Midnight,"$3,272,593","$3,272,593",100%,-,-,No
The Naked Cage,"$3,136,701","$3,136,701",100%,-,-,No
Bullies,"$2,995,527","$2,995,527",100%,-,-,No
Sid and Nancy,"$2,826,523","$2,826,523",100%,-,-,No
Deadtime Stories,"$2,750,741","$2,750,741",100%,-,-,No
Playing for Keeps,"$2,669,366","$2,669,366",100%,-,-,No
Heathcliff: The Movie,"$2,610,686","$2,610,686",100%,-,-,No
The Men's Club,"$2,556,361","$2,556,361",100%,-,-,No
Streets of Gold,"$2,546,238","$2,546,238",100%,-,-,No
True Stories,"$2,545,142","$2,545,142",100%,-,-,No
Reform School Girls,"$2,510,433","$2,510,433",100%,-,-,No
P.O.W. the Escape,"$2,497,233","$2,497,233",100%,-,-,No
Desert Hearts,"$2,492,088","$2,492,088",100%,-,-,No
My Beautiful Laundrette,"$2,451,545","$2,451,545",100%,-,-,No
"Hey There, It's Yogi Bear","$2,438,233","$2,438,233",100%,-,-,No
Dangerously Close,"$2,390,525","$2,390,525",100%,-,-,No
At Close Range,"$2,347,000","$2,347,000",100%,-,-,No
Shanghai Surprise,"$2,315,683","$2,315,683",100%,-,-,No
Sky Bandits,"$2,295,500","$2,295,500",100%,-,-,No
Nomads,"$2,278,264","$2,278,264",100%,-,-,No
Turtle Diary,"$2,156,772","$2,156,772",100%,-,-,No
Three Men and a Cradle,"$2,052,466","$2,052,466",100%,-,-,No
Rad,"$2,015,882","$2,015,882",100%,-,-,No
Betty Blue,"$2,003,822","$2,003,822",100%,-,-,No
The Clan of the Cave Bear,"$1,953,732","$1,953,732",100%,-,-,No
Jake Speed,"$1,943,751","$1,943,751",100%,-,-,No
The Decline of the American Empire,"$1,902,706","$1,902,706",100%,-,-,No
Quiet Cool,"$1,900,000","$1,900,000",100%,-,-,No
Link,"$1,720,450","$1,720,450",100%,-,-,No
Pirates,"$1,641,825","$1,641,825",100%,-,-,No
Solarbabies,"$1,579,260","$1,579,260",100%,-,-,No
Salvador,"$1,500,000","$1,500,000",100%,-,-,No
Clockwise,"$1,476,356","$1,476,356",100%,-,-,No
Down by Law,"$1,435,668","$1,435,668",100%,-,-,No
GoBots: Battle of the Rock Lords,"$1,338,264","$1,338,264",100%,-,-,No
8 Million Ways to Die,"$1,305,114","$1,305,114",100%,-,-,No
Native Son,"$1,301,121","$1,301,121",100%,-,-,No
The Adventures of the American Rabbit,"$1,268,443","$1,268,443",100%,-,-,No
From Beyond,"$1,261,000","$1,261,000",100%,-,-,No
Water,"$1,256,862","$1,256,862",100%,-,-,No
Touch and Go,"$1,254,040","$1,254,040",100%,-,-,No
Home of the Brave: A Film by Laurie Anderson,"$1,250,000","$1,250,000",100%,-,-,No
Belizaire the Cajun,"$1,142,243","$1,142,243",100%,-,-,No
Half Moon Street,"$1,131,399","$1,131,399",100%,-,-,No
Absolute Beginners,"$930,211","$930,211",100%,-,-,No
Marlene,"$852,676","$852,676",100%,-,-,No
The Adventures of Mark Twain,"$849,915","$849,915",100%,-,-,No
Ginger & Fred,"$837,623","$837,623",100%,-,-,No
Nutcracker,"$781,727","$781,727",100%,-,-,No
Defense of the Realm,"$750,000","$750,000",100%,-,-,No
Where the River Runs Black,"$676,166","$676,166",100%,-,-,No
Modern Girls,"$604,849","$604,849",100%,-,-,No
Knights of the City,"$601,451","$601,451",100%,-,-,No
Code Name: Wild Geese,"$600,000","$600,000",100%,-,-,No
Night of the Creeps,"$591,366","$591,366",100%,-,-,No
Nobody's Fool,"$563,358","$563,358",100%,-,-,No
The Assault,"$512,403","$512,403",100%,-,-,No
Dream Lover,"$502,237","$502,237",100%,-,-,No
"'night, Mother","$441,863","$441,863",100%,-,-,No
Desert Bloom,"$416,393","$416,393",100%,-,-,No
