title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Three Men and a Baby,"$167,780,960","$167,780,960",100%,-,-,No
Fatal Attraction,"$156,645,756","$156,645,693",100%,-,-,Yes
Beverly Hills Cop II,"$153,665,036","$153,665,036",100%,-,-,No
"Good Morning, Vietnam","$123,922,578","$123,922,370",100%,$208,<0.1%,Yes
Moonstruck,"$80,641,316","$80,640,528",100%,-,-,Yes
The Untouchables,"$76,270,454","$76,270,454",100%,-,-,No
The Secret of My Success,"$66,995,879","$66,995,879",100%,-,-,No
Stakeout,"$65,673,233","$65,673,233",100%,-,-,No
Lethal Weapon,"$65,207,187","$65,207,127",100%,-,-,Yes
The Witches of Eastwick,"$63,766,510","$63,766,510",100%,-,-,No
Dirty Dancing,"$63,463,682","$63,446,382",100%,-,-,Yes
Predator,"$59,740,758","$59,735,548",100%,-,-,Yes
Throw Momma from the Train,"$57,915,972","$57,915,972",100%,-,-,No
Dragnet,"$57,387,516","$57,387,516",100%,-,-,No
La Bamba,"$54,215,416","$54,215,416",100%,-,-,No
RoboCop,"$53,424,681","$53,424,681",100%,-,-,No
Outrageous Fortune,"$52,864,741","$52,864,741",100%,-,-,No
Broadcast News,"$51,249,404","$51,249,404",100%,-,-,No
The Living Daylights,"$51,186,196","$51,185,897",100%,-,-,Yes
Eddie Murphy: Raw,"$50,504,655","$50,504,655",100%,-,-,No
"Planes, Trains & Automobiles","$49,530,280","$49,530,280",100%,-,-,No
Snow White and the Seven Dwarfs 1987 Re-release,"$46,594,212","$46,594,212",100%,-,-,No
Full Metal Jacket,"$46,360,743","$46,357,676",100%,-,-,Yes
A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222","$44,793,222",100%,-,-,No
The Last Emperor,"$43,985,340","$43,984,230",100%,-,-,Yes
Wall Street,"$43,848,069","$43,848,069",100%,-,-,No
Mannequin,"$42,721,196","$42,721,196",100%,-,-,No
Roxanne,"$40,050,884","$40,050,884",100%,-,-,No
Blind Date,"$39,321,715","$39,321,715",100%,-,-,No
The Running Man,"$38,122,105","$38,122,105",100%,-,-,No
Spaceballs,"$38,119,483","$38,119,483",100%,-,-,No
Summer School,"$35,659,098","$35,659,098",100%,-,-,No
No Way Out,"$35,509,515","$35,509,515",100%,-,-,No
Like Father Like Son,"$34,377,585","$34,377,585",100%,-,-,No
Adventures in Babysitting,"$34,368,475","$34,368,475",100%,-,-,No
Cinderella 1987 Re-release,"$34,101,149","$34,101,149",100%,-,-,No
*batteries not included,"$32,945,797","$32,945,797",100%,-,-,No
The Lost Boys,"$32,222,567","$32,222,567",100%,-,-,No
Can't Buy Me Love,"$31,623,833","$31,623,833",100%,-,-,No
Nuts,"$30,950,002","$30,950,002",100%,-,-,No
The Princess Bride,"$30,903,054","$30,857,814",99.9%,-,-,Yes
Superman IV: The Quest for Peace,"$30,281,020","$15,681,020",51.8%,"$14,600,000",48.2%,Yes
Revenge of the Nerds II: Nerds in Paradise,"$30,063,289","$30,063,289",100%,-,-,No
Harry and the Hendersons,"$29,760,613","$29,760,613",100%,-,-,No
Police Academy 4: Citizens on Patrol,"$28,061,343","$28,061,343",100%,-,-,No
Overboard,"$26,713,187","$26,713,187",100%,-,-,No
Baby Boom,"$26,712,476","$26,712,476",100%,-,-,No
Innerspace,"$25,893,810","$25,893,810",100%,-,-,No
Tin Men,"$25,411,386","$25,411,386",100%,-,-,No
Black Widow,"$25,205,460","$25,205,460",100%,-,-,No
Ernest Goes to Camp,"$23,509,382","$23,509,382",100%,-,-,No
Raising Arizona,"$22,847,564","$22,847,564",100%,-,-,No
Benji the Hunted,"$22,257,624","$22,257,624",100%,-,-,No
Empire of the Sun,"$22,238,696","$22,238,696",100%,-,-,No
Jaws: The Revenge,"$20,763,013","$20,763,013",100%,-,-,No
Hello Again,"$20,419,446","$20,419,446",100%,-,-,No
Critical Condition,"$20,240,502","$20,240,502",100%,-,-,No
The Principal,"$19,734,940","$19,734,940",100%,-,-,No
Suspect,"$18,782,400","$18,782,400",100%,-,-,No
The Believers,"$18,753,438","$18,753,438",100%,-,-,No
Some Kind of Wonderful,"$18,553,948","$18,553,948",100%,-,-,No
Project X,"$18,532,286","$18,532,286",100%,-,-,No
The Big Easy,"$17,685,307","$17,685,307",100%,-,-,No
The Aristocats 1987 Re-release,"$17,452,658","$17,452,658",100%,-,-,No
Born in East L.A.,"$17,355,263","$17,355,263",100%,-,-,No
Masters of the Universe,"$17,336,683","$17,336,370",100%,$313,<0.1%,Yes
Angel Heart,"$17,185,632","$17,185,632",100%,-,-,No
Burglar,"$16,337,355","$16,337,355",100%,-,-,No
Over the Top,"$16,057,580","$16,057,580",100%,-,-,No
Flowers in the Attic,"$15,151,736","$15,151,736",100%,-,-,No
Radio Days,"$14,792,779","$14,792,779",100%,-,-,No
Hellraiser,"$14,564,027","$14,564,027",100%,-,-,No
Ishtar,"$14,375,181","$14,375,181",100%,-,-,No
Prince of Darkness,"$14,182,492","$14,182,492",100%,-,-,No
Creepshow 2,"$14,000,000","$14,000,000",100%,-,-,No
Hamburger Hill,"$13,839,404","$13,839,404",100%,-,-,No
The Gate,"$13,539,458","$13,539,458",100%,-,-,No
The Pick-up Artist,"$13,290,368","$13,290,368",100%,-,-,No
Back to the Beach,"$13,110,903","$13,110,903",100%,-,-,No
The Bedroom Window,"$12,640,385","$12,640,385",100%,-,-,No
The Fourth Protocol,"$12,423,831","$12,423,831",100%,-,-,No
Less Than Zero,"$12,396,383","$12,396,383",100%,-,-,No
Fatal Beauty,"$12,046,526","$12,046,526",100%,-,-,No
Extreme Prejudice,"$11,307,844","$11,307,844",100%,-,-,No
Light of Day,"$10,489,617","$10,489,617",100%,-,-,No
Disorderlies,"$10,348,437","$10,348,437",100%,-,-,No
Someone to Watch Over Me,"$10,278,549","$10,278,549",100%,-,-,No
Hope and Glory,"$10,021,120","$10,021,120",100%,-,-,No
Maid to Order,"$9,868,521","$9,868,521",100%,-,-,No
The Hidden,"$9,747,988","$9,747,988",100%,-,-,No
From the Hip,"$9,518,342","$9,518,342",100%,-,-,No
My Life as a Dog,"$8,345,266","$8,345,266",100%,-,-,No
Teen Wolf Too,"$7,888,703","$7,888,703",100%,-,-,No
House II: The Second Story,"$7,800,000","$7,800,000",100%,-,-,No
Wanted: Dead or Alive,"$7,555,000","$7,555,000",100%,-,-,No
Ironweed,"$7,393,346","$7,393,346",100%,-,-,No
Who's That Girl,"$7,305,209","$7,305,209",100%,-,-,No
Hiding Out,"$7,019,441","$7,019,441",100%,-,-,No
Death Wish 4: The Crackdown,"$6,880,310","$6,880,310",100%,-,-,No
The Chipmunk Adventure,"$6,804,312","$6,804,312",100%,-,-,No
Assassination,"$6,075,793","$6,075,793",100%,-,-,No
Evil Dead II,"$5,924,743","$5,923,044",100%,-,-,Yes
Cry Freedom,"$5,899,797","$5,899,797",100%,-,-,No
Wisdom,"$5,715,174","$5,715,174",100%,-,-,No
Surrender,"$5,711,976","$5,711,976",100%,-,-,No
Nadine,"$5,669,831","$5,669,831",100%,-,-,No
The Sicilian,"$5,406,879","$5,406,879",100%,-,-,No
Gardens of Stone,"$5,262,047","$5,262,047",100%,-,-,No
Hollywood Shuffle,"$5,228,617","$5,228,617",100%,-,-,No
Jean de Florette,"$4,940,939","$4,940,939",100%,-,-,No
Hannah and Her Sisters 1987 Re-release,"$4,691,838","$4,691,838",100%,-,-,No
Leonard Part 6,"$4,615,255","$4,615,255",100%,-,-,No
River's Edge,"$4,600,000","$4,600,000",100%,-,-,No
Made in Heaven,"$4,572,845","$4,572,845",100%,-,-,No
Death Before Dishonor,"$4,546,244","$4,546,244",100%,-,-,No
The Dead,"$4,370,078","$4,370,078",100%,-,-,No
The Color Purple 1987 Re-release,"$4,292,009","$4,292,009",100%,-,-,No
Best Seller,"$4,278,150","$4,278,150",100%,-,-,No
Hot Pursuit,"$4,215,849","$4,215,849",100%,-,-,No
American Ninja 2: The Confrontation,"$4,000,000","$4,000,000",100%,-,-,No
Manon of the Spring,"$3,940,542","$3,940,542",100%,-,-,No
My Demon Lover,"$3,922,273","$3,922,273",100%,-,-,No
North Shore,"$3,832,228","$3,832,228",100%,-,-,No
The Monster Squad,"$3,769,990","$3,769,990",100%,-,-,No
Allan Quatermain and the Lost City of Gold,"$3,751,699","$3,751,699",100%,-,-,No
Three O'Clock High,"$3,685,862","$3,685,862",100%,-,-,No
Big Shots,"$3,390,043","$3,390,043",100%,-,-,No
Near Dark,"$3,369,628","$3,369,307",100%,-,-,Yes
Wish You Were Here,"$3,283,832","$3,283,832",100%,-,-,No
Pinocchio and the Emperor of the Night,"$3,261,638","$3,261,638",100%,-,-,No
Barfly,"$3,221,568","$3,221,568",100%,-,-,No
Malone,"$3,060,858","$3,060,858",100%,-,-,No
Sign 'o' the Times,"$3,000,073","$3,000,073",100%,-,-,No
No Man's Land,"$2,877,571","$2,877,571",100%,-,-,No
Heat,"$2,793,214","$2,793,214",100%,-,-,No
The Allnighter,"$2,700,000","$2,700,000",100%,-,-,No
Hello Mary Lou: Prom Night II,"$2,683,519","$2,683,519",100%,-,-,No
The Care Bears Adventure in Wonderland,"$2,608,000","$2,608,000",100%,-,-,No
House of Games,"$2,585,639","$2,585,639",100%,-,-,No
The Stepfather,"$2,488,740","$2,488,740",100%,-,-,No
Maurice,"$2,439,061","$2,438,304",100%,-,-,Yes
Dead of Winter,"$2,413,427","$2,413,427",100%,-,-,No
The Kindred,"$2,407,024","$2,407,024",100%,-,-,No
Weeds,"$2,325,444","$2,325,444",100%,-,-,No
The Squeeze,"$2,228,951","$2,228,951",100%,-,-,No
Dark Eyes,"$2,201,428","$2,201,428",100%,-,-,No
Russkies,"$2,189,047","$2,189,047",100%,-,-,No
Meatballs III: Summer Job,"$2,147,228","$2,147,228",100%,-,-,No
Morgan Stewart's Coming Home,"$2,136,381","$2,136,381",100%,-,-,No
Date with an Angel,"$1,988,962","$1,988,962",100%,-,-,No
The Curse,"$1,930,001","$1,930,001",100%,-,-,No
Working Girls,"$1,777,378","$1,777,378",100%,-,-,No
Hunk,"$1,749,956","$1,749,956",100%,-,-,No
Personal Services,"$1,744,164","$1,744,164",100%,-,-,No
The Big Town,"$1,733,017","$1,733,017",100%,-,-,No
The Rosary Murders,"$1,730,337","$1,730,337",100%,-,-,No
Matewan,"$1,680,358","$1,680,358",100%,-,-,No
Prick Up Your Ears,"$1,654,743","$1,654,743",100%,-,-,No
Making Mr. Right,"$1,584,970","$1,584,970",100%,-,-,No
The Garbage Pail Kids Movie,"$1,576,615","$1,576,615",100%,-,-,No
Three for the Road,"$1,539,000","$1,539,000",100%,-,-,No
The Whistle Blower,"$1,500,000","$1,500,000",100%,-,-,No
A Prayer for the Dying,"$1,432,687","$1,432,687",100%,-,-,No
I've Heard the Mermaids Singing,"$1,408,491","$1,408,491",100%,-,-,No
Penitentiary III,"$1,392,616","$1,392,616",100%,-,-,No
From a Whisper to a Scream,"$1,355,728","$1,355,728",100%,-,-,No
The Whales of August,"$1,338,198","$1,338,198",100%,-,-,No
Steele Justice,"$1,327,740","$1,327,740",100%,-,-,No
China Girl,"$1,262,091","$1,262,091",100%,-,-,No
Sammy and Rosie Get Laid,"$1,196,336","$1,196,336",100%,-,-,No
Dancers,"$1,190,416","$1,190,416",100%,-,-,No
Return to Horror High,"$1,189,709","$1,189,709",100%,-,-,No
Nightflyers,"$1,149,470","$1,149,470",100%,-,-,No
Street Smart,"$1,119,112","$1,119,112",100%,-,-,No
Swimming to Cambodia,"$1,092,911","$1,092,911",100%,-,-,No
84 Charing Cross Road,"$1,083,486","$1,083,486",100%,-,-,No
Housekeeping,"$1,083,282","$1,083,282",100%,-,-,No
Cross My Heart,"$1,025,762","$1,025,762",100%,-,-,No
In the Mood,"$999,382","$999,382",100%,-,-,No
Campus Man,"$989,528","$989,528",100%,-,-,No
Million Dollar Mystery,"$989,033","$989,033",100%,-,-,No
Gothic,"$916,172","$916,172",100%,-,-,No
The Glass Menagerie,"$895,904","$895,904",100%,-,-,No
Real Men,"$873,903","$873,903",100%,-,-,No
Tough Guys Don't Dance,"$858,250","$858,250",100%,-,-,No
The Barbarians,"$800,000","$800,000",100%,-,-,No
Beyond Therapy,"$790,000","$790,000",100%,-,-,No
The Hanoi Hilton,"$760,000","$760,000",100%,-,-,No
Waiting for the Moon,"$751,555","$751,555",100%,-,-,No
Chuck Berry: Hail! Hail! Rock 'n' Roll,"$719,323","$719,323",100%,-,-,No
Siesta,"$700,000","$700,000",100%,-,-,No
Oviri,"$583,800","$583,800",100%,-,-,No
Steel Dawn,"$562,187","$562,187",100%,-,-,No
Amazon Women on the Moon,"$548,696","$548,696",100%,-,-,No
Devil in the Flesh,"$546,904","$546,904",100%,-,-,No
Man on Fire,"$519,596","$519,596",100%,-,-,No
The Killing Time,"$500,283","$500,283",100%,-,-,No
September,"$486,434","$486,434",100%,-,-,No
The Good Father,"$421,201","$421,201",100%,-,-,No
Number One with a Bullet,"$410,952","$410,952",100%,-,-,No
