title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Independence Day,"$306,172,558","$306,169,268",100%,-,-,Yes
Twister,"$241,721,524","$241,721,524",100%,-,-,No
Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-,No
Jerry Maguire,"$153,952,627","$153,952,592",100%,-,-,Yes
Ransom,"$136,492,681","$136,492,681",100%,-,-,No
101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-,No
The Rock,"$134,069,511","$134,069,511",100%,-,-,No
The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-,No
The Birdcage,"$124,060,892","$124,060,553",100%,-,-,Yes
A Time to Kill,"$108,766,007","$108,766,007",100%,-,-,No
The First Wives Club,"$105,489,203","$105,489,203",100%,-,-,No
Phenomenon,"$104,636,382","$104,636,382",100%,-,-,No
Scream,"$103,067,302","$103,046,663",100%,"$20,639",<0.1%,Yes
Eraser,"$101,295,562","$101,295,562",100%,-,-,No
The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-,No
Michael,"$95,318,203","$95,318,203",100%,-,-,No
Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-,No
Space Jam,"$90,418,342","$90,418,342",100%,-,-,No
The English Patient,"$78,676,425","$78,676,425",100%,-,-,No
Broken Arrow,"$70,770,147","$70,770,147",100%,-,-,No
Evita,"$68,265,837","$50,047,179",73.3%,"$18,218,658",26.7%,Yes
Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-,No
Jingle All the Way,"$60,592,389","$60,592,389",100%,-,-,No
The Cable Guy,"$60,240,295","$60,240,295",100%,-,-,No
Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-,No
Jack,"$58,620,973","$58,620,973",100%,-,-,No
Executive Decision,"$56,569,216","$56,569,216",100%,-,-,No
Primal Fear,"$56,116,183","$56,116,183",100%,-,-,No
Tin Cup,"$53,854,588","$53,854,588",100%,-,-,No
Sleepers,"$53,315,285","$53,315,285",100%,-,-,No
DragonHeart,"$51,367,375","$51,367,375",100%,-,-,No
Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-,No
The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-,No
Romeo + Juliet,"$46,351,345","$46,351,345",100%,-,-,No
