title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Who Framed Roger Rabbit,"$238,092,487","$156,452,370",65.7%,"$81,639,668",34.3%,Yes
Rain Man,"$172,835,580","$172,825,435",100%,"$10,145",<0.1%,Yes
Coming to America,"$128,152,301","$128,152,301",100%,-,-,No
Big,"$114,968,970","$114,968,774",100%,$122,<0.1%,Yes
Twins,"$111,938,388","$111,938,388",100%,-,-,No
Crocodile Dundee II,"$109,306,210","$109,306,210",100%,-,-,No
Die Hard,"$83,052,633","$83,008,852",99.9%,"$14,188",<0.1%,Yes
The Naked Gun: From the Files of Police Squad!,"$78,756,177","$78,756,177",100%,-,-,No
Cocktail,"$78,222,753","$78,222,753",100%,-,-,No
Beetlejuice,"$73,709,960","$73,707,461",100%,"$2,099",<0.1%,Yes
Working Girl,"$63,779,477","$63,779,477",100%,-,-,No
A Fish Called Wanda,"$62,493,712","$62,493,712",100%,-,-,No
Scrooged,"$60,328,558","$60,328,558",100%,-,-,No
Willow,"$57,269,863","$57,269,863",100%,-,-,No
Beaches,"$57,041,866","$57,041,866",100%,-,-,No
Rambo III,"$53,715,611","$53,715,611",100%,-,-,No
Oliver & Company,"$53,279,055","$53,279,055",100%,-,-,No
Bull Durham,"$50,888,729","$50,888,729",100%,-,-,No
A Nightmare on Elm Street 4: The Dream Master,"$49,369,899","$49,369,899",100%,-,-,No
The Land Before Time,"$48,336,291","$48,336,291",100%,-,-,No
Colors,"$46,616,067","$46,616,067",100%,-,-,No
Young Guns,"$45,661,556","$45,661,556",100%,-,-,No
Biloxi Blues,"$43,184,798","$43,184,798",100%,-,-,No
Dirty Rotten Scoundrels,"$42,039,085","$42,039,085",100%,-,-,No
The Great Outdoors,"$41,455,230","$41,455,230",100%,-,-,No
Tequila Sunrise,"$41,292,551","$41,292,551",100%,-,-,No
Big Business,"$40,150,487","$40,150,487",100%,-,-,No
Bambi 1988 Re-release,"$39,047,150","$39,047,150",100%,-,-,No
Midnight Run,"$38,413,606","$38,413,606",100%,-,-,No
The Dead Pool,"$37,903,295","$37,903,295",100%,-,-,No
Red Heat,"$34,994,648","$34,994,648",100%,-,-,No
Dangerous Liaisons,"$34,670,720","$34,670,720",100%,-,-,No
Mississippi Burning,"$34,603,943","$34,603,943",100%,-,-,No
Child's Play,"$33,399,041","$33,244,684",99.5%,"$154,212",0.5%,Yes
The Accidental Tourist,"$32,632,093","$32,632,093",100%,-,-,No
The Accused,"$32,078,318","$32,078,318",100%,-,-,No
Shoot to Kill,"$29,300,090","$29,300,090",100%,-,-,No
Ernest Saves Christmas,"$28,202,109","$28,202,109",100%,-,-,No
Betrayed,"$25,816,139","$25,816,139",100%,-,-,No
Funny Farm,"$25,537,221","$25,537,221",100%,-,-,No
Alien Nation,"$25,216,243","$25,216,243",100%,-,-,No
Gorillas in the Mist,"$24,720,479","$24,720,479",100%,-,-,No
The Fox and the Hound 1988 Re-release,"$23,556,988","$23,556,988",100%,-,-,No
License to Drive,"$22,433,275","$22,433,275",100%,-,-,No
Short Circuit 2,"$21,630,088","$21,630,088",100%,-,-,No
Married to the Mob,"$21,486,757","$21,486,757",100%,-,-,No
Punchline,"$21,042,667","$21,042,667",100%,-,-,No
The Presidio,"$20,324,096","$20,324,096",100%,-,-,No
Action Jackson,"$20,256,975","$20,256,975",100%,-,-,No
Tucker: The Man and His Dream,"$19,652,638","$19,652,638",100%,-,-,No
The Serpent and the Rainbow,"$19,595,031","$19,595,031",100%,-,-,No
Police Academy 5: Assignment: Miami Beach,"$19,510,371","$19,510,371",100%,-,-,No
