title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Friday the 13th: The New Blood,"$19,170,001","$19,170,001",100%,-,-,No
Cocoon: The Return,"$18,924,919","$18,924,919",100%,-,-,No
The Seventh Sign,"$18,875,011","$18,875,011",100%,-,-,No
Above the Law,"$18,869,631","$18,869,631",100%,-,-,No
Halloween 4: The Return of Michael Myers,"$17,768,757","$17,768,757",100%,-,-,No
Frantic,"$17,637,950","$17,637,950",100%,-,-,No
Johnny Be Good,"$17,550,399","$17,550,399",100%,-,-,No
For Keeps?,"$17,514,553","$17,514,553",100%,-,-,No
Crossing Delancey,"$16,262,415","$16,262,415",100%,-,-,No
"Bright Lights, Big City","$16,118,077","$16,118,077",100%,-,-,No
She's Having a Baby,"$16,031,707","$16,031,707",100%,-,-,No
Masquerade,"$15,855,828","$15,855,828",100%,-,-,No
Big Top Pee-wee,"$15,122,324","$15,122,324",100%,-,-,No
Arthur 2: On the Rocks,"$14,681,192","$14,681,192",100%,-,-,No
School Daze,"$14,545,844","$14,545,844",100%,-,-,No
Poltergeist III,"$14,114,488","$14,114,488",100%,-,-,No
Stand and Deliver,"$13,994,920","$13,994,920",100%,-,-,No
My Stepmother Is an Alien,"$13,854,000","$13,854,000",100%,-,-,No
The Milagro Beanfield War,"$13,825,794","$13,825,794",100%,-,-,No
Return to Snowy River,"$13,687,027","$13,687,027",100%,-,-,No
Vice Versa,"$13,664,060","$13,664,060",100%,-,-,No
They Live,"$13,447,978","$13,447,978",100%,-,-,No
I'm Gonna Git You Sucka,"$13,030,057","$13,030,057",100%,-,-,No
Mystic Pizza,"$12,793,213","$12,793,213",100%,-,-,No
D.O.A.,"$12,706,478","$12,706,478",100%,-,-,No
Everybody's All-American,"$12,638,294","$12,638,294",100%,-,-,No
Casual Sex?,"$12,277,096","$12,277,096",100%,-,-,No
Hellbound: Hellraiser II,"$12,090,735","$12,090,735",100%,-,-,No
Bloodsport,"$11,806,119","$11,806,119",100%,-,-,No
Caddyshack II,"$11,798,302","$11,798,302",100%,-,-,No
Moon Over Parador,"$11,444,204","$11,444,204",100%,-,-,No
The Couch Trip,"$11,005,304","$11,005,304",100%,-,-,No
Moving,"$10,815,378","$10,815,378",100%,-,-,No
Iron Eagle II,"$10,497,324","$10,497,324",100%,-,-,No
Shakedown,"$10,068,039","$10,068,039",100%,-,-,No
The Unbearable Lightness of Being,"$10,006,806","$10,006,806",100%,-,-,No
Bad Dreams,"$9,797,098","$9,797,098",100%,-,-,No
Return of the Living Dead II,"$9,205,924","$9,205,924",100%,-,-,No
Switching Channels,"$9,129,999","$9,129,999",100%,-,-,No
Salsa,"$8,892,589","$8,892,589",100%,-,-,No
Clean and Sober,"$8,674,093","$8,674,093",100%,-,-,No
U2: Rattle and Hum,"$8,600,823","$8,600,823",100%,-,-,No
High Spirits,"$8,578,231","$8,578,231",100%,-,-,No
Without a Clue,"$8,539,181","$8,539,181",100%,-,-,No
The Last Temptation of Christ,"$8,373,585","$8,373,585",100%,-,-,No
Satisfaction,"$8,253,123","$8,253,123",100%,-,-,No
The Blob,"$8,247,943","$8,247,943",100%,-,-,No
Dead Ringers,"$8,038,508","$8,038,508",100%,-,-,No
A New Life,"$7,721,852","$7,721,852",100%,-,-,No
Stealing Home,"$7,467,504","$7,467,504",100%,-,-,No
Phantasm II,"$7,282,851","$7,282,851",100%,-,-,No
Off Limits,"$7,242,035","$7,242,035",100%,-,-,No
Women on the Verge of a Nervous Breakdown,"$7,179,298","$7,179,298",100%,-,-,No
A Cry in the Dark,"$6,908,797","$6,908,797",100%,-,-,No
Hairspray,"$6,672,312","$6,671,108",100%,$179,<0.1%,Yes
Fresh Horses,"$6,640,346","$6,640,346",100%,-,-,No
Hot to Trot,"$6,436,211","$6,436,211",100%,-,-,No
Mac and Me,"$6,424,112","$6,424,112",100%,-,-,No
The Unholy,"$6,337,299","$6,337,299",100%,-,-,No
A Night in the Life of Jimmy Reardon,"$6,264,058","$6,264,058",100%,-,-,No
Braddock: Missing in Action III,"$6,193,901","$6,193,901",100%,-,-,No
1969,"$5,979,011","$5,979,011",100%,-,-,No
The Rescue,"$5,855,392","$5,855,392",100%,-,-,No
Eight Men Out,"$5,680,515","$5,680,515",100%,-,-,No
Elvira: Mistress of the Dark,"$5,596,267","$5,596,267",100%,-,-,No
Heartbreak Hotel,"$5,509,417","$5,509,417",100%,-,-,No
Monkey Shines,"$5,344,577","$5,344,577",100%,-,-,No
Hero and the Terror,"$5,301,200","$5,301,200",100%,-,-,No
Clara's Heart,"$5,194,491","$5,194,491",100%,-,-,No
Torch Song Trilogy,"$4,868,450","$4,865,997",99.9%,"$2,453",<0.1%,Yes
The Good Mother,"$4,764,606","$4,764,606",100%,-,-,No
Sunset,"$4,594,452","$4,594,452",100%,-,-,No
"Goodbye, Children","$4,542,825","$4,542,825",100%,-,-,No
Babette's Feast,"$4,398,938","$4,398,938",100%,-,-,No
Bat*21,"$3,966,256","$3,966,256",100%,-,-,No
Memories of Me,"$3,965,604","$3,965,604",100%,-,-,No
Feds,"$3,838,793","$3,838,793",100%,-,-,No
Critters 2: The Main Course,"$3,813,293","$3,813,293",100%,-,-,No
Sweet Hearts Dance,"$3,790,493","$3,790,493",100%,-,-,No
Imagine: John Lennon,"$3,754,125","$3,753,977",100%,$148,<0.1%,Yes
Dead Heat,"$3,588,626","$3,588,626",100%,-,-,No
Bagdad Cafe,"$3,587,303","$3,587,303",100%,-,-,No
Tougher Than Leather,"$3,582,760","$3,582,760",100%,-,-,No
The New Adventures of Pippi Longstocking,"$3,569,939","$3,569,939",100%,-,-,No
Madame Sousatzka,"$3,548,238","$3,548,238",100%,-,-,No
Things Change,"$3,527,886","$3,527,886",100%,-,-,No
The Big Blue,"$3,500,411","$3,500,000",100%,-,-,Yes
Talk Radio,"$3,468,572","$3,468,572",100%,-,-,No
Pumpkinhead,"$3,385,516","$3,385,516",100%,-,-,No
Wings of Desire,"$3,230,386","$3,210,139",99.4%,"$19,432",0.6%,Yes
Night of the Demons,"$3,109,904","$3,109,904",100%,-,-,No
White Mischief,"$3,107,551","$3,107,551",100%,-,-,No
Dominick and Eugene,"$3,076,031","$3,076,031",100%,-,-,No
Messenger of Death,"$3,074,681","$3,074,681",100%,-,-,No
Running on Empty,"$2,835,116","$2,835,116",100%,-,-,No
The Manchurian Candidate 1988 Re-release,"$2,757,256","$2,757,256",100%,-,-,No
18 Again!,"$2,567,099","$2,567,099",100%,-,-,No
Kansas,"$2,432,536","$2,432,536",100%,-,-,No
A World Apart,"$2,326,860","$2,326,860",100%,-,-,No
Bird,"$2,181,286","$2,181,286",100%,-,-,No
Salaam Bombay!,"$2,080,046","$2,080,046",100%,-,-,No
Pelle the Conqueror,"$2,053,931","$2,053,931",100%,-,-,No
The Moderns,"$2,011,497","$2,011,497",100%,-,-,No
Vibes,"$1,883,811","$1,883,811",100%,-,-,No
Stormy Monday,"$1,791,328","$1,791,328",100%,-,-,No
Little Nikita,"$1,733,070","$1,733,070",100%,-,-,No
Lady in White,"$1,705,139","$1,705,139",100%,-,-,No
Vincent,"$1,577,480","$1,577,480",100%,-,-,No
Another Woman,"$1,562,749","$1,562,749",100%,-,-,No
A Handful of Dust,"$1,560,700","$1,560,700",100%,-,-,No
Two Moon Junction,"$1,547,397","$1,547,397",100%,-,-,No
Pascali's Island,"$1,451,857","$1,451,857",100%,-,-,No
Midnight Crossing,"$1,328,001","$1,328,001",100%,-,-,No
Patty Hearst,"$1,223,326","$1,223,326",100%,-,-,No
Mr. North,"$1,221,366","$1,221,366",100%,-,-,No
A Time of Destiny,"$1,212,487","$1,212,487",100%,-,-,No
The Thin Blue Line,"$1,209,846","$1,209,846",100%,-,-,No
The Lair of the White Worm,"$1,189,315","$1,189,315",100%,-,-,No
The Wrong Guys,"$1,152,786","$1,152,786",100%,-,-,No
Aria,"$1,028,679","$1,028,679",100%,-,-,No
Little Dorrit,"$1,025,228","$1,025,228",100%,-,-,No
Five Corners,"$969,205","$969,205",100%,-,-,No
Appointment with Death,"$960,040","$960,040",100%,-,-,No
Watchers,"$940,173","$940,173",100%,-,-,No
Julia and Julia,"$901,364","$901,364",100%,-,-,No
Boyfriends and Girlfriends,"$824,027","$823,243",99.9%,-,-,Yes
Waxwork,"$808,114","$808,114",100%,-,-,No
Bulletproof,"$807,947","$807,947",100%,-,-,No
"Sister, Sister","$743,445","$743,445",100%,-,-,No
And God Created Woman,"$717,376","$717,376",100%,-,-,No
Split Decisions,"$695,822","$695,822",100%,-,-,No
Maniac Cop,"$671,382","$671,382",100%,-,-,No
Spellbinder,"$657,446","$657,446",100%,-,-,No
Da,"$644,532","$644,532",100%,-,-,No
Spike of Bensonhurst,"$623,112","$623,112",100%,-,-,No
Powaqqatsi,"$589,244","$589,244",100%,-,-,No
Pound Puppies and the Legend of Big Paw,"$586,938","$586,938",100%,-,-,No
Buster,"$540,000","$540,000",100%,-,-,No
The House on Carroll Street,"$459,824","$459,824",100%,-,-,No
Full Moon in Blue Water,"$450,726","$450,726",100%,-,-,No
Track 29,"$429,028","$429,028",100%,-,-,No
Tiger Warsaw,"$422,667","$422,667",100%,-,-,No
Aloha Summer,"$418,379","$418,379",100%,-,-,No
Some Girls,"$401,421","$401,421",100%,-,-,No
The Decline of Western Civilization Part II: The Metal Years,"$373,743","$373,743",100%,-,-,No
Gandahar,"$370,698","$370,698",100%,-,-,No
The Family,"$346,730","$346,730",100%,-,-,No
The Deceivers,"$346,297","$346,297",100%,-,-,No
