title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Dune: Part Two,"$711,844,358","$282,144,358",39.6%,"$429,700,000",60.4%,Yes
Godzilla x Kong: The New Empire,"$564,100,055","$194,800,055",34.5%,"$369,300,000",65.5%,Yes
Kung Fu Panda 4,"$536,661,406","$192,945,885",36%,"$343,715,521",64%,Yes
Kingdom of the Planet of the Apes,"$244,704,796","$107,830,017",44.1%,"$136,874,779",55.9%,Yes
Ghostbusters: Frozen Empire,"$199,789,320","$112,250,006",56.2%,"$87,539,314",43.8%,Yes
Bob Marley: One Love,"$178,493,170","$96,893,170",54.3%,"$81,600,000",45.7%,Yes
The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%,Yes
The Fall Guy,"$129,981,218","$65,583,570",50.5%,"$64,397,648",49.5%,Yes
Civil War,"$112,341,202","$67,275,120",59.9%,"$45,066,082",40.1%,Yes
Mean Girls,"$104,404,248","$72,404,248",69.3%,"$32,000,000",30.7%,Yes
Madame Web,"$100,298,817","$43,817,106",43.7%,"$56,481,711",56.3%,Yes
Exhuma,"$97,097,466","$2,287,095",2.4%,"$94,810,371",97.6%,Yes
Argylle,"$96,175,012","$45,207,275",47%,"$50,967,737",53%,Yes
Detective Conan: The Million-Dollar Pentagram,"$86,902,004",-,-,"$86,902,004",100%,Yes
Challengers,"$79,877,397","$44,777,397",56.1%,"$35,100,000",43.9%,Yes
The Roundup: Punishment,"$77,775,079","$892,604",1.1%,"$76,882,475",98.9%,Yes
Haikyuu!! The Dumpster Battle,"$73,140,851",-,-,"$73,140,851",100%,Yes
IF,"$64,843,032","$40,843,032",63%,"$24,000,000",37%,Yes
Night Swim,"$54,075,969","$32,494,740",60.1%,"$21,581,229",39.9%,Yes
The First Omen,"$53,591,163","$20,065,414",37.4%,"$33,525,749",62.6%,Yes
The Garfield Movie,"$49,024,615",-,-,"$49,024,615",100%,Yes
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%,Yes
Back to Black,"$42,415,866","$3,702,365",8.7%,"$38,713,501",91.3%,Yes
Abigail,"$39,805,664","$25,752,385",64.7%,"$14,053,279",35.3%,Yes
Imaginary,"$39,143,853","$28,009,161",71.6%,"$11,134,692",28.4%,Yes
Monkey Man,"$34,500,502","$25,116,955",72.8%,"$9,383,547",27.2%,Yes
Arthur the King,"$34,279,899","$25,049,006",73.1%,"$9,230,893",26.9%,Yes
Mobile Suit Gundam Seed Freedom,"$32,032,944",-,-,"$32,032,944",100%,Yes
A Strange House,"$30,864,331",-,-,"$30,864,331",100%,Yes
Tarot,"$30,842,782","$16,130,558",52.3%,"$14,712,224",47.7%,Yes
Chantal in Fairyland,"$27,243,561",-,-,"$27,243,561",100%,Yes
