title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Batman,"$401,188,924","$251,188,924",62.6%,"$150,000,000",37.4%,Yes
Indiana Jones and the Last Crusade,"$197,171,806","$197,171,806",100%,-,-,No
Dead Poets Society,"$174,997,852","$95,860,116",54.8%,"$79,137,736",45.2%,Yes
Lethal Weapon 2,"$147,253,986","$147,253,986",100%,-,-,No
Look Who's Talking,"$140,088,813","$140,088,813",100%,-,-,No
"Honey, I Shrunk the Kids","$130,724,172","$130,724,172",100%,-,-,No
Back to the Future Part II,"$118,550,294","$118,450,002",99.9%,"$99,328",<0.1%,Yes
Ghostbusters II,"$112,494,738","$112,494,738",100%,-,-,No
Driving Miss Daisy,"$106,593,296","$106,593,296",100%,-,-,No
Parenthood,"$100,047,830","$100,047,830",100%,-,-,No
When Harry Met Sally...,"$92,823,674","$92,823,546",100%,-,-,Yes
The War of the Roses,"$86,888,546","$86,888,546",100%,-,-,No
The Little Mermaid,"$84,355,863","$84,355,863",100%,-,-,No
Steel Magnolias,"$83,759,091","$83,759,091",100%,-,-,No
National Lampoon's Christmas Vacation,"$71,321,010","$71,319,526",100%,$325,<0.1%,Yes
Turner & Hooch,"$71,079,915","$71,079,915",100%,-,-,No
Born on the Fourth of July,"$70,001,698","$70,001,698",100%,-,-,No
Uncle Buck,"$66,758,538","$66,758,538",100%,-,-,No
Field of Dreams,"$64,431,625","$64,431,625",100%,-,-,No
Tango & Cash,"$63,408,614","$63,408,614",100%,-,-,No
Harlem Nights,"$60,864,870","$60,864,870",100%,-,-,No
Sea of Love,"$58,571,513","$58,571,513",100%,-,-,No
Pet Sematary,"$57,469,467","$57,469,467",100%,-,-,No
The Abyss,"$54,222,310","$54,222,310",100%,-,-,No
Star Trek V: The Final Frontier,"$52,210,049","$52,210,049",100%,-,-,No
Major League,"$49,797,148","$49,797,148",100%,-,-,No
"See No Evil, Hear No Evil","$46,908,987","$46,908,987",100%,-,-,No
Black Rain,"$46,212,140","$46,212,055",100%,-,-,Yes
Always,"$43,858,790","$43,858,790",100%,-,-,No
K-9,"$43,247,647","$43,247,647",100%,-,-,No
Three Fugitives,"$40,586,886","$40,586,886",100%,-,-,No
Bill & Ted's Excellent Adventure,"$40,485,039","$40,485,039",100%,-,-,No
The Karate Kid Part III,"$38,956,288","$38,956,288",100%,-,-,No
The 'Burbs,"$36,602,268","$36,601,993",100%,-,-,Yes
Fletch Lives,"$35,150,960","$35,150,960",100%,-,-,No
Licence to Kill,"$34,667,388","$34,667,015",100%,-,-,Yes
Lean on Me,"$31,906,454","$31,906,454",100%,-,-,No
The Bear,"$31,753,898","$31,753,898",100%,-,-,No
Weekend at Bernie's,"$30,218,387","$30,218,387",100%,-,-,No
Road House,"$30,050,265","$30,050,028",100%,-,-,Yes
Peter Pan 1989 Re-release,"$29,445,131","$29,445,131",100%,-,-,No
The Dream Team,"$28,907,090","$28,890,240",99.9%,"$16,850",<0.1%,Yes
Do the Right Thing,"$27,545,445","$27,545,445",100%,-,-,No
All Dogs Go to Heaven,"$27,100,027","$27,100,027",100%,-,-,No
Glory,"$26,828,365","$26,828,365",100%,-,-,No
"Sex, Lies, and Videotape","$24,742,089","$24,741,667",100%,$422,<0.1%,Yes
A Nightmare on Elm Street: The Dream Child,"$22,168,359","$22,168,359",100%,-,-,No
Dad,"$22,103,037","$22,103,037",100%,-,-,No
Lock Up,"$22,099,847","$22,099,847",100%,-,-,No
Cousins,"$22,026,369","$22,026,369",100%,-,-,No
The Rescuers 1989 Re-release,"$21,215,869","$21,215,869",100%,-,-,No
Say Anything,"$20,781,987","$20,781,385",100%,-,-,Yes
An Innocent Man,"$20,047,604","$20,047,604",100%,-,-,No
The Fly II,"$20,021,322","$20,021,322",100%,-,-,No
Skin Deep,"$19,674,852","$19,674,852",100%,-,-,No
Blaze,"$19,131,246","$19,131,246",100%,-,-,No
Her Alibi,"$18,699,037","$18,699,037",100%,-,-,No
Casualties of War,"$18,671,317","$18,671,317",100%,-,-,No
Prancer,"$18,587,135","$18,587,135",100%,-,-,No
The Fabulous Baker Boys,"$18,428,904","$18,428,904",100%,-,-,No
Crimes and Misdemeanors,"$18,254,702","$18,254,702",100%,-,-,No
Shocker,"$16,554,699","$16,554,699",100%,-,-,No
Chances Are,"$16,278,590","$16,278,590",100%,-,-,No
No Holds Barred,"$16,093,651","$16,093,651",100%,-,-,No
Next of Kin,"$15,942,628","$15,942,628",100%,-,-,No
Leviathan,"$15,704,614","$15,704,614",100%,-,-,No
She-Devil,"$15,351,421","$15,351,421",100%,-,-,No
My Left Foot,"$14,743,391","$14,743,391",100%,-,-,No
Kickboxer,"$14,697,005","$14,697,005",100%,-,-,No
Friday the 13th Part VIII: Jason Takes Manhattan,"$14,343,976","$14,343,976",100%,-,-,No
The Wizard,"$14,278,900","$14,278,900",100%,-,-,No
Great Balls of Fire!,"$13,741,060","$13,741,060",100%,-,-,No
Family Business,"$12,195,695","$12,195,695",100%,-,-,No
