title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Out of Africa,"$225,526,205","$87,071,205",38.6%,"$138,455,000",61.4%,Yes
Back to the Future,"$223,337,655","$211,850,472",94.9%,"$11,483,764",5.1%,Yes
Rambo: First Blood Part II,"$150,415,432","$150,415,432",100%,-,-,No
Rocky IV,"$127,891,353","$127,873,716",100%,"$17,637",<0.1%,Yes
The Color Purple,"$94,175,854","$94,175,854",100%,-,-,No
Cocoon,"$76,113,124","$76,113,124",100%,-,-,No
The Jewel of the Nile,"$75,973,200","$75,973,200",100%,-,-,No
Witness,"$68,706,993","$68,706,993",100%,-,-,No
The Goonies,"$61,410,901","$61,389,680",100%,"$2,770",<0.1%,Yes
Spies Like Us,"$60,088,980","$60,088,980",100%,-,-,No
Police Academy 2: Their First Assignment,"$55,600,000","$55,600,000",100%,-,-,No
Fletch,"$50,612,888","$50,612,888",100%,-,-,No
A View to a Kill,"$50,328,158","$50,327,960",100%,-,-,Yes
National Lampoon's European Vacation,"$49,364,621","$49,364,621",100%,-,-,No
Mask,"$48,230,162","$48,230,162",100%,-,-,No
The Breakfast Club,"$45,876,558","$45,875,171",100%,-,-,Yes
White Nights,"$42,160,849","$42,160,849",100%,-,-,No
Pale Rider,"$41,410,568","$41,410,568",100%,-,-,No
Pee-wee's Big Adventure,"$40,940,662","$40,940,662",100%,-,-,No
Brewster's Millions,"$40,833,132","$40,833,132",100%,-,-,No
E.T. the Extra-Terrestrial 1985 Re-release,"$40,607,502","$40,607,502",100%,-,-,No
Jagged Edge,"$40,491,165","$40,491,165",100%,-,-,No
St. Elmo's Fire,"$37,803,872","$37,803,872",100%,-,-,No
Mad Max Beyond Thunderdome,"$36,230,925","$36,230,219",100%,-,-,Yes
Commando,"$35,100,000","$35,100,000",100%,-,-,No
Teen Wolf,"$33,087,306","$33,086,611",100%,-,-,Yes
One Hundred and One Dalmatians 1985 Re-release,"$33,049,729","$33,049,729",100%,-,-,No
Silverado,"$32,192,570","$32,192,570",100%,-,-,No
Murphy's Romance,"$30,867,525","$30,867,525",100%,-,-,No
A Nightmare on Elm Street 2: Freddy's Revenge,"$29,999,213","$29,999,213",100%,-,-,No
Desperately Seeking Susan,"$27,398,584","$27,398,584",100%,-,-,No
Prizzi's Honor,"$26,657,534","$26,657,534",100%,-,-,No
The Last Dragon,"$25,755,277","$25,754,284",100%,$749,<0.1%,Yes
Agnes of God,"$25,627,836","$25,627,836",100%,-,-,No
Fright Night,"$24,923,585","$24,922,237",100%,-,-,Yes
Summer Rental,"$24,689,703","$24,689,703",100%,-,-,No
The Emerald Forest,"$24,468,550","$24,468,550",100%,-,-,No
Weird Science,"$23,834,048","$23,834,048",100%,-,-,No
Santa Claus: The Movie,"$23,717,291","$23,717,291",100%,-,-,No
The Care Bears Movie,"$22,934,622","$22,934,622",100%,-,-,No
Friday the 13th: A New Beginning,"$21,930,418","$21,930,418",100%,-,-,No
The Black Cauldron,"$21,288,692","$21,288,692",100%,-,-,No
Porky's Revenge,"$20,518,905","$20,518,905",100%,-,-,No
Code of Silence,"$20,345,361","$20,345,361",100%,-,-,No
Volunteers,"$19,875,740","$19,875,740",100%,-,-,No
Young Sherlock Holmes,"$19,739,575","$19,739,575",100%,-,-,No
Year of the Dragon,"$18,707,466","$18,707,466",100%,-,-,No
Ladyhawke,"$18,432,000","$18,432,000",100%,-,-,No
The Sure Thing,"$18,135,531","$18,135,531",100%,-,-,No
Invasion U.S.A.,"$17,536,256","$17,536,256",100%,-,-,No
To Live and Die in L.A.,"$17,307,108","$17,307,019",100%,-,-,Yes
The Falcon and the Snowman,"$17,130,087","$17,130,087",100%,-,-,No
Kiss of the Spider Woman,"$17,005,229","$17,005,229",100%,-,-,No
