title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Toy Story,"$244,652,254","$191,796,233",78.4%,"$52,855,355",21.6%,Yes
Apollo 13,"$223,837,411","$172,071,312",76.9%,"$51,766,099",23.1%,Yes
Batman Forever,"$184,031,112","$184,031,112",100%,-,-,No
Pocahontas,"$141,579,773","$141,579,773",100%,-,-,No
Ace Ventura: When Nature Calls,"$108,385,533","$108,385,533",100%,-,-,No
GoldenEye,"$106,430,619","$106,429,941",100%,-,-,Yes
Jumanji,"$100,475,429","$100,475,249",100%,-,-,Yes
Casper,"$100,439,549","$100,439,549",100%,-,-,No
Se7en,"$100,125,643","$100,125,643",100%,-,-,No
Die Hard with a Vengeance,"$100,012,499","$100,012,499",100%,-,-,No
Crimson Tide,"$91,387,195","$91,387,195",100%,-,-,No
Waterworld,"$88,246,905","$88,246,220",100%,-,-,Yes
12 Monkeys,"$87,020,996","$57,141,459",65.7%,"$29,879,537",34.3%,Yes
Dangerous Minds,"$84,919,401","$84,919,401",100%,-,-,No
Mr. Holland's Opus,"$82,569,971","$82,569,971",100%,-,-,No
While You Were Sleeping,"$81,057,016","$81,057,016",100%,-,-,No
Congo,"$81,022,101","$81,022,101",100%,-,-,No
Father of the Bride Part II,"$76,594,107","$76,594,107",100%,-,-,No
Braveheart,"$75,609,945","$75,609,945",100%,-,-,No
Get Shorty,"$72,101,622","$72,101,622",100%,-,-,No
Grumpier Old Men,"$71,518,503","$71,518,503",100%,-,-,No
The Bridges of Madison County,"$71,516,617","$71,516,617",100%,-,-,No
Mortal Kombat,"$70,455,286","$70,454,098",100%,-,-,Yes
Nine Months,"$69,684,532","$69,684,532",100%,-,-,No
Casino,"$68,972,551","$42,512,375",61.6%,"$26,460,176",38.4%,Yes
Outbreak,"$67,659,560","$67,659,560",100%,-,-,No
Heat,"$67,442,734","$67,436,818",100%,$491,<0.1%,Yes
Waiting to Exhale,"$67,052,156","$67,052,156",100%,-,-,No
Bad Boys,"$65,807,024","$65,807,024",100%,-,-,No
Babe,"$63,659,146","$63,658,910",100%,-,-,Yes
The American President,"$60,079,496","$60,079,496",100%,-,-,No
Species,"$60,074,103","$60,074,103",100%,-,-,No
Clueless,"$56,664,520","$56,631,572",99.9%,-,-,Yes
