title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Sabrina,"$53,696,278","$53,672,080",100%,"$24,198",<0.1%,Yes
Something to Talk About,"$50,865,589","$50,865,589",100%,-,-,No
The Net,"$50,727,965","$50,727,965",100%,-,-,No
Under Siege 2: Dark Territory,"$50,024,083","$50,024,083",100%,-,-,No
A Walk in the Clouds,"$50,008,143","$50,008,143",100%,-,-,No
The Brady Bunch Movie,"$46,576,136","$46,576,136",100%,-,-,No
Sense and Sensibility,"$43,184,363","$43,182,776",100%,-,-,Yes
Man of the House,"$40,070,995","$40,070,995",100%,-,-,No
Dead Man Walking,"$39,363,635","$39,363,635",100%,-,-,No
French Kiss,"$38,896,854","$38,896,854",100%,-,-,No
Higher Learning,"$38,290,723","$38,290,723",100%,-,-,No
Mighty Morphin Power Rangers,"$38,187,431","$38,187,431",100%,-,-,No
First Knight,"$37,600,435","$37,600,435",100%,-,-,No
Just Cause,"$36,853,222","$36,853,222",100%,-,-,No
"To Wong Foo, Thanks for Everything! Julie Newmar","$36,474,193","$36,474,193",100%,-,-,No
The Indian in the Cupboard,"$35,656,131","$35,656,131",100%,-,-,No
Money Train,"$35,431,113","$35,431,113",100%,-,-,No
A Goofy Movie,"$35,348,597","$35,348,597",100%,-,-,No
Judge Dredd,"$34,693,481","$34,693,481",100%,-,-,No
Forget Paris,"$33,177,694","$33,177,694",100%,-,-,No
Tommy Boy,"$32,679,899","$32,679,899",100%,-,-,No
Copycat,"$32,051,917","$32,051,917",100%,-,-,No
Leaving Las Vegas,"$32,029,928","$32,029,928",100%,-,-,No
Rob Roy,"$31,596,911","$31,596,911",100%,-,-,No
Powder,"$30,862,156","$30,862,156",100%,-,-,No
Assassins,"$30,303,072","$30,303,072",100%,-,-,No
Free Willy 2: The Adventure Home,"$30,077,111","$30,077,111",100%,-,-,No
Major Payne,"$29,412,050","$29,412,050",100%,-,-,No
Friday,"$27,467,564","$27,467,564",100%,-,-,No
Now and Then,"$27,112,329","$27,112,329",100%,-,-,No
Houseguest,"$26,325,256","$26,325,256",100%,-,-,No
Billy Madison,"$25,588,734","$25,588,734",100%,-,-,No
Desperado,"$25,405,445","$25,405,445",100%,-,-,No
Operation Dumbo Drop,"$24,670,346","$24,670,346",100%,-,-,No
Dolores Claiborne,"$24,361,867","$24,361,867",100%,-,-,No
Dead Presidents,"$24,147,179","$24,147,179",100%,-,-,No
Virtuosity,"$24,047,675","$24,047,675",100%,-,-,No
Tom and Huck,"$23,920,048","$23,920,048",100%,-,-,No
How to Make an American Quilt,"$23,600,020","$23,600,020",100%,-,-,No
Boys on the Side,"$23,440,188","$23,440,188",100%,-,-,No
Circle of Friends,"$23,389,975","$23,389,975",100%,-,-,No
The Usual Suspects,"$23,341,568","$23,341,568",100%,-,-,No
Don Juan DeMarco,"$22,150,451","$22,150,451",100%,-,-,No
The Postman,"$21,848,932","$21,848,932",100%,-,-,No
To Die For,"$21,284,695","$21,284,514",100%,$181,<0.1%,Yes
Tales from the Crypt: Demon Knight,"$21,089,146","$21,089,146",100%,-,-,No
Showgirls,"$20,351,978","$20,350,754",100%,-,-,Yes
Sudden Death,"$20,350,171","$20,350,171",100%,-,-,No
Vampire in Brooklyn,"$19,751,736","$19,751,736",100%,-,-,No
It Takes Two,"$19,474,589","$19,474,589",100%,-,-,No
Johnny Mnemonic,"$19,077,036","$19,075,720",100%,-,-,Yes
The Quick and the Dead,"$18,636,537","$18,636,537",100%,-,-,No
The Big Green,"$17,736,619","$17,736,619",100%,-,-,No
Heavyweights,"$17,689,177","$17,689,177",100%,-,-,No
Home for the Holidays,"$17,519,169","$17,519,169",100%,-,-,No
Murder in the First,"$17,381,942","$17,381,942",100%,-,-,No
Viaggi di nozze,"$17,142,208",-,-,"$17,142,208",100%,Yes
Jury Duty,"$17,014,653","$17,014,653",100%,-,-,No
Devil in a Blue Dress,"$16,140,822","$16,140,822",100%,-,-,No
The Prophecy,"$16,115,878","$16,115,878",100%,-,-,No
Across the Sea of Time,"$16,015,639","$16,015,639",100%,-,-,No
Muriel's Wedding,"$15,482,277","$15,119,639",97.7%,"$362,638",2.3%,Yes
Mad Love,"$15,453,274","$15,453,274",100%,-,-,No
Halloween: The Curse of Michael Myers,"$15,116,634","$15,116,634",100%,-,-,No
Wings of Courage,"$15,054,636","$15,054,636",100%,-,-,No
Kiss of Death,"$14,942,422","$14,942,422",100%,-,-,No
Candyman: Farewell to the Flesh,"$13,940,383","$13,940,383",100%,-,-,No
Nixon,"$13,681,765","$13,681,765",100%,-,-,No
A Kid in King Arthur's Court,"$13,406,717","$13,406,717",100%,-,-,No
Lord of Illusions,"$13,294,422","$13,294,422",100%,-,-,No
Clockers,"$13,071,518","$13,071,518",100%,-,-,No
Highlander: The Final Dimension,"$12,303,080","$12,303,080",100%,-,-,No
Hideaway,"$12,201,255","$12,201,255",100%,-,-,No
Roommates,"$12,096,881","$12,096,881",100%,-,-,No
Bye Bye Love,"$12,096,673","$12,096,673",100%,-,-,No
Tales from the Hood,"$11,837,928","$11,837,928",100%,-,-,No
Far from Home: The Adventures of Yellow Dog,"$11,642,946","$11,642,946",100%,-,-,No
Fair Game,"$11,534,477","$11,534,477",100%,-,-,No
Balto,"$11,348,324","$11,348,324",100%,-,-,No
My Family/Mi familia,"$11,079,373","$11,079,373",100%,-,-,No
The Englishman Who Went Up a Hill But Came Down a Mountain,"$10,904,930","$10,904,930",100%,-,-,No
Dracula: Dead and Loving It,"$10,772,144","$10,772,144",100%,-,-,No
The Brothers McMullen,"$10,426,506","$10,426,506",100%,-,-,No
The Scarlet Letter,"$10,382,407","$10,382,407",100%,-,-,No
Cutthroat Island,"$10,017,322","$10,017,322",100%,-,-,No
A Little Princess,"$10,015,449","$10,015,449",100%,-,-,No
Jade,"$9,851,610","$9,851,610",100%,-,-,No
The Baby-Sitters Club,"$9,685,976","$9,685,976",100%,-,-,No
Village of the Damned,"$9,418,365","$9,418,365",100%,-,-,No
In the Mouth of Madness,"$8,925,757","$8,924,549",100%,-,-,Yes
Shallow Grave,"$8,386,118","$2,079,569",24.8%,"$6,306,549",75.2%,Yes
Smoke,"$8,367,636","$8,367,636",100%,-,-,No
Tall Tale,"$8,247,627","$8,247,627",100%,-,-,No
Nick of Time,"$8,175,346","$8,175,346",100%,-,-,No
Strange Days,"$7,959,291","$7,959,291",100%,-,-,No
Unstrung Heroes,"$7,929,434","$7,929,434",100%,-,-,No
Bushwhacked,"$7,919,823","$7,919,823",100%,-,-,No
Losing Isaiah,"$7,603,766","$7,603,766",100%,-,-,No
Hackers,"$7,563,728","$7,563,728",100%,-,-,No
The Jerky Boys,"$7,557,877","$7,557,877",100%,-,-,No
The Amazing Panda Adventure,"$7,506,759","$7,506,759",100%,-,-,No
Kids,"$7,412,216","$7,412,216",100%,-,-,No
Three Wishes,"$7,027,517","$7,027,517",100%,-,-,No
Last of the Dogmen,"$7,024,389","$7,024,389",100%,-,-,No
Never Talk to Strangers,"$6,858,261","$6,858,261",100%,-,-,No
Panther,"$6,834,525","$6,834,525",100%,-,-,No
The Hunted,"$6,609,661","$6,609,661",100%,-,-,No
Mighty Aphrodite,"$6,468,498","$6,468,498",100%,-,-,No
The Secret of Roan Inish,"$6,159,269","$6,159,269",100%,-,-,No
Gold Diggers: The Secret of Bear Mountain,"$6,029,091","$6,029,091",100%,-,-,No
The Walking Dead,"$6,014,341","$6,014,341",100%,-,-,No
The Tie That Binds,"$5,830,454","$5,772,529",99%,"$57,925",1%,Yes
Beyond Rangoon,"$5,750,110","$5,750,110",100%,-,-,No
Before Sunrise,"$5,537,461","$5,535,405",100%,-,-,Yes
Screen Two: Persuasion,"$5,269,757","$5,269,757",100%,-,-,No
Miami Rhapsody,"$5,221,281","$5,221,281",100%,-,-,No
Top Dog,"$5,093,707","$5,093,707",100%,-,-,No
Angus,"$4,821,759","$4,821,759",100%,-,-,No
National Lampoon's Senior Trip,"$4,686,937","$4,686,937",100%,-,-,No
Four Rooms,"$4,257,354","$4,257,354",100%,-,-,No
Exotica,"$4,221,036","$4,221,036",100%,-,-,No
Priest,"$4,165,845","$4,165,845",100%,-,-,No
Tank Girl,"$4,064,495","$4,064,495",100%,-,-,No
Belle de Jour,"$4,037,017","$4,037,017",100%,-,-,No
Restoration,"$4,005,941","$4,005,941",100%,-,-,No
Fluke,"$3,987,768","$3,987,768",100%,-,-,No
The Pebble and the Penguin,"$3,983,912","$3,983,912",100%,-,-,No
Gordy,"$3,941,146","$3,941,146",100%,-,-,No
White Man's Burden,"$3,734,870","$3,734,870",100%,-,-,No
Born to Be Wild,"$3,730,409","$3,730,409",100%,-,-,No
Bad Company,"$3,674,841","$3,674,841",100%,-,-,No
New Jersey Drive,"$3,565,508","$3,565,508",100%,-,-,No
Jeffrey,"$3,487,767","$3,487,767",100%,-,-,No
The Glass Shield,"$3,291,163","$3,291,163",100%,-,-,No
Carrington,"$3,242,342","$3,242,342",100%,-,-,No
Steal Big Steal Little,"$3,150,170","$3,150,170",100%,-,-,No
Crumb,"$3,041,083","$3,041,083",100%,-,-,No
Unzipped,"$2,875,086","$2,875,086",100%,-,-,No
Othello,"$2,844,379","$2,844,379",100%,-,-,No
The Perez Family,"$2,832,826","$2,832,826",100%,-,-,No
Dr. Jekyll and Ms. Hyde,"$2,763,020","$2,763,020",100%,-,-,No
The Show,"$2,702,578","$2,702,578",100%,-,-,No
Richard III,"$2,684,904","$2,684,904",100%,-,-,No
Magic in the Water,"$2,680,717","$2,680,717",100%,-,-,No
The Cure,"$2,568,425","$2,568,425",100%,-,-,No
Moonlight and Valentino,"$2,484,226","$2,484,226",100%,-,-,No
Jefferson in Paris,"$2,473,668","$2,473,668",100%,-,-,No
The Basketball Diaries,"$2,381,087","$2,381,087",100%,-,-,No
Burnt by the Sun,"$2,302,338","$2,302,338",100%,-,-,No
The Incredibly True Adventure of Two Girls in Love,"$2,210,408","$2,210,408",100%,-,-,No
Wild Bill,"$2,193,982","$2,193,982",100%,-,-,No
Mallrats,"$2,122,561","$2,122,561",100%,-,-,No
A Month by the Lake,"$2,101,087","$2,101,087",100%,-,-,No
Shanghai Triad,"$2,086,101","$2,086,101",100%,-,-,No
Strawberry & Chocolate,"$2,084,187","$2,080,805",99.8%,"$3,382",0.2%,Yes
Endless Winter,"$1,966,454","$1,966,454",100%,-,-,No
The City of Lost Children,"$1,781,750","$1,738,611",97.6%,"$43,139",2.4%,Yes
The Mangler,"$1,781,383","$1,781,383",100%,-,-,No
Once Were Warriors,"$1,608,610","$1,608,570",100%,-,-,Yes
Farinelli,"$1,573,411","$1,573,411",100%,-,-,No
The Horseman on the Roof,"$1,320,043","$1,320,043",100%,-,-,No
Blue in the Face,"$1,268,636","$1,268,636",100%,-,-,No
Picture Bride,"$1,238,905","$1,238,905",100%,-,-,No
Destiny Turns on the Radio,"$1,176,982","$1,176,982",100%,-,-,No
La seconda volta,"$1,151,013",-,-,"$1,151,013",100%,Yes
Mute Witness,"$1,125,910","$1,125,910",100%,-,-,No
Living in Oblivion,"$1,111,790","$1,111,790",100%,-,-,No
