title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Jurassic Park,"$978,167,947","$357,067,947",36.5%,"$621,100,000",63.5%,Yes
Mrs. Doubtfire,"$219,195,446","$219,195,243",100%,-,-,Yes
The Fugitive,"$183,875,779","$183,875,760",100%,$19,<0.1%,Yes
The Firm,"$158,348,367","$158,348,367",100%,-,-,No
Sleepless in Seattle,"$126,680,884","$126,680,884",100%,-,-,No
Indecent Proposal,"$106,614,059","$106,614,059",100%,-,-,No
In the Line of Fire,"$102,314,823","$102,314,823",100%,-,-,No
The Pelican Brief,"$100,768,056","$100,768,056",100%,-,-,No
Schindler's List,"$96,065,768","$96,065,768",100%,-,-,No
Cliffhanger,"$84,049,211","$84,049,211",100%,-,-,No
Free Willy,"$77,698,625","$77,698,625",100%,-,-,No
Philadelphia,"$77,446,440","$77,446,440",100%,-,-,No
Groundhog Day,"$70,907,146","$70,906,973",100%,-,-,Yes
Grumpy Old Men,"$70,172,621","$70,172,621",100%,-,-,No
Cool Runnings,"$68,856,263","$68,856,263",100%,-,-,No
Dave,"$63,270,710","$63,270,710",100%,-,-,No
Rising Sun,"$63,179,523","$63,179,523",100%,-,-,No
Demolition Man,"$58,055,768","$58,055,768",100%,-,-,No
Sister Act 2: Back in the Habit,"$57,319,029","$57,319,029",100%,-,-,No
Tombstone,"$56,505,065","$56,505,065",100%,-,-,No
The Three Musketeers,"$53,898,845","$53,898,845",100%,-,-,No
Rookie of the Year,"$53,615,089","$53,615,089",100%,-,-,No
Beethoven's 2nd,"$53,443,066","$53,443,066",100%,-,-,No
Dennis the Menace,"$51,270,765","$51,270,765",100%,-,-,No
Sommersby,"$50,081,992","$50,081,992",100%,-,-,No
The Nightmare Before Christmas,"$50,033,869","$50,003,043",99.9%,"$30,826",<0.1%,Yes
Last Action Hero,"$50,016,394","$50,016,394",100%,-,-,No
Addams Family Values,"$48,919,043","$48,919,043",100%,-,-,No
Malice,"$46,405,336","$46,405,336",100%,-,-,No
Made in America,"$44,942,695","$44,942,695",100%,-,-,No
The Good Son,"$44,789,789","$44,789,789",100%,-,-,No
The Beverly Hillbillies,"$44,029,386","$44,029,386",100%,-,-,No
Teenage Mutant Ninja Turtles III,"$42,273,609","$42,273,609",100%,-,-,No
Homeward Bound: The Incredible Journey,"$41,833,324","$41,833,324",100%,-,-,No
Snow White and the Seven Dwarfs 1993 Re-release,"$41,634,471","$41,634,471",100%,-,-,No
Falling Down,"$40,903,593","$40,903,593",100%,-,-,No
The Piano,"$40,157,856","$40,157,856",100%,-,-,No
Hocus Pocus,"$39,523,707","$39,514,713",100%,"$8,994",<0.1%,Yes
