title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
The Lion King,"$763,455,561","$312,855,561",41%,"$450,600,000",59%,Yes
Forrest Gump,"$329,695,743","$329,694,499",100%,-,-,Yes
True Lies,"$146,282,411","$146,282,411",100%,-,-,No
The Santa Clause,"$144,833,964","$144,833,357",100%,$165,<0.1%,Yes
The Flintstones,"$130,531,208","$130,531,208",100%,-,-,No
Dumb and Dumber,"$127,175,668","$127,175,374",100%,$294,<0.1%,Yes
Clear and Present Danger,"$122,187,717","$122,187,717",100%,-,-,No
Speed,"$121,248,452","$121,248,145",100%,-,-,Yes
The Mask,"$119,938,730","$119,938,730",100%,-,-,No
Pulp Fiction,"$107,979,735","$107,928,762",100%,"$50,973",<0.1%,Yes
Interview with the Vampire: The Vampire Chronicles,"$105,295,870","$105,264,608",100%,"$31,262",<0.1%,Yes
Maverick,"$101,631,272","$101,631,272",100%,-,-,No
Street Fighter,"$99,431,786","$33,423,521",33.6%,"$66,008,265",66.4%,Yes
The Client,"$92,115,211","$92,115,211",100%,-,-,No
Disclosure,"$83,015,089","$83,015,089",100%,-,-,No
Star Trek: Generations,"$75,671,125","$75,671,125",100%,-,-,No
Ace Ventura: Pet Detective,"$72,217,396","$72,217,396",100%,-,-,No
Stargate,"$71,567,262","$71,567,262",100%,-,-,No
Legends of the Fall,"$66,638,883","$66,638,883",100%,-,-,No
Wolf,"$65,002,597","$65,002,597",100%,-,-,No
The Specialist,"$57,362,582","$57,362,582",100%,-,-,No
Four Weddings and a Funeral,"$52,700,832","$52,700,832",100%,-,-,No
The Little Rascals,"$52,125,282","$52,125,282",100%,-,-,No
Naked Gun 33 1/3: The Final Insult,"$51,132,598","$51,132,598",100%,-,-,No
The Crow,"$50,701,425","$50,693,129",100%,"$8,296",<0.1%,Yes
Natural Born Killers,"$50,283,942","$50,282,766",100%,-,-,Yes
Angels in the Outfield,"$50,236,831","$50,236,831",100%,-,-,No
Little Women,"$50,085,123","$50,083,616",100%,-,-,Yes
When a Man Loves a Woman,"$50,021,959","$50,021,959",100%,-,-,No
The River Wild,"$46,816,343","$46,816,343",100%,-,-,No
D2: The Mighty Ducks,"$45,610,410","$45,610,410",100%,-,-,No
Timecop,"$44,853,581","$44,853,581",100%,-,-,No
City Slickers II: The Legend of Curly's Gold,"$43,622,150","$43,622,150",100%,-,-,No
The Jungle Book,"$43,229,904","$43,229,904",100%,-,-,No
Beverly Hills Cop III,"$42,614,912","$42,614,912",100%,-,-,No
Nobody's Fool,"$39,491,975","$39,491,975",100%,-,-,No
The Paper,"$38,824,341","$38,824,341",100%,-,-,No
On Deadly Ground,"$38,590,458","$38,590,458",100%,-,-,No
Richie Rich,"$38,087,756","$38,087,756",100%,-,-,No
It Could Happen to You,"$37,939,757","$37,939,757",100%,-,-,No
Junior,"$36,763,355","$36,763,355",100%,-,-,No
Nell,"$33,683,817","$33,683,817",100%,-,-,No
The Shadow,"$32,063,435","$32,063,435",100%,-,-,No
I Love Trouble,"$30,806,194","$30,806,194",100%,-,-,No
Major League II,"$30,626,182","$30,626,182",100%,-,-,No
Blank Check,"$30,577,969","$30,577,969",100%,-,-,No
Blown Away,"$30,156,002","$30,156,002",100%,-,-,No
A Low Down Dirty Shame,"$29,392,418","$29,392,418",100%,-,-,No
In the Army Now,"$28,881,266","$28,881,266",100%,-,-,No
Drop Zone,"$28,735,315","$28,735,315",100%,-,-,No
The Shawshank Redemption,"$28,647,473","$28,341,469",98.9%,"$303,546",1.1%,Yes
Guarding Tess,"$27,058,304","$27,058,304",100%,-,-,No
I.Q.,"$26,381,221","$26,381,221",100%,-,-,No
My Father the Hero,"$25,479,558","$25,479,558",100%,-,-,No
Wyatt Earp,"$25,052,000","$25,052,000",100%,-,-,No
Quiz Show,"$24,822,619","$24,822,619",100%,-,-,No
Renaissance Man,"$24,332,324","$24,332,324",100%,-,-,No
Blue Chips,"$23,070,663","$23,070,663",100%,-,-,No
Frankenstein,"$22,006,296","$22,006,296",100%,-,-,No
Intersection,"$21,355,893","$21,355,893",100%,-,-,No
The Air Up There,"$21,011,318","$21,011,318",100%,-,-,No
Iron Will,"$21,006,361","$21,006,361",100%,-,-,No
Reality Bites,"$20,982,639","$20,982,557",100%,-,-,Yes
Jason's Lyric,"$20,851,521","$20,851,521",100%,-,-,No
Speechless,"$20,667,959","$20,667,959",100%,-,-,No
The Cowboy Way,"$20,280,016","$20,280,016",100%,-,-,No
"Corrina, Corrina","$20,164,171","$20,164,171",100%,-,-,No
Only You,"$20,059,210","$20,059,210",100%,-,-,No
With Honors,"$20,016,254","$20,016,254",100%,-,-,No
Léon: The Professional,"$19,881,965","$19,501,238",98.1%,"$380,228",1.9%,Yes
Color of Night,"$19,726,050","$19,726,050",100%,-,-,No
New Nightmare,"$19,721,741","$18,090,181",91.7%,"$1,631,560",8.3%,Yes
8 Seconds,"$19,623,396","$19,623,396",100%,-,-,No
Little Giants,"$19,306,362","$19,306,362",100%,-,-,No
House Party 3,"$19,281,235","$19,281,235",100%,-,-,No
Getting Even with Dad,"$18,869,594","$18,869,594",100%,-,-,No
Love Affair,"$18,272,894","$18,272,894",100%,-,-,No
Sugar Hill,"$18,225,518","$18,225,518",100%,-,-,No
Milk Money,"$18,137,661","$18,137,661",100%,-,-,No
My Girl 2,"$17,359,799","$17,359,799",100%,-,-,No
Miracle on 34th Street,"$17,320,136","$17,320,136",100%,-,-,No
The War,"$16,928,556","$16,928,556",100%,-,-,No
Baby's Day Out,"$16,827,402","$16,827,402",100%,-,-,No
Lightning Jack,"$16,821,273","$16,821,273",100%,-,-,No
Andre,"$16,820,893","$16,820,893",100%,-,-,No
Blink,"$16,696,219","$16,696,219",100%,-,-,No
Terminal Velocity,"$16,487,349","$16,487,349",100%,-,-,No
Monkey Trouble,"$16,453,258","$16,453,258",100%,-,-,No
Above the Rim,"$16,192,320","$16,192,320",100%,-,-,No
The Getaway,"$16,094,974","$16,094,974",100%,-,-,No
The Next Karate Kid,"$15,876,353","$8,914,777",56.2%,"$6,961,576",43.8%,Yes
No Escape,"$15,339,030","$15,339,030",100%,-,-,No
Bad Girls,"$15,240,435","$15,240,435",100%,-,-,No
The Madness of King George,"$15,238,689","$15,238,689",100%,-,-,No
Threesome,"$14,815,317","$14,815,317",100%,-,-,No
The Pagemaster,"$13,670,688","$13,670,688",100%,-,-,No
Crooklyn,"$13,642,861","$13,642,861",100%,-,-,No
Bullets Over Broadway,"$13,383,747","$13,383,747",100%,-,-,No
Greedy,"$13,137,484","$13,137,484",100%,-,-,No
Little Big League,"$12,267,790","$12,267,790",100%,-,-,No
3 Ninjas Kick Back,"$11,798,854","$11,798,854",100%,-,-,No
The Ref,"$11,439,193","$11,439,193",100%,-,-,No
Cops and Robbersons,"$11,391,093","$11,391,093",100%,-,-,No
Thumbelina,"$11,373,501","$11,373,501",100%,-,-,No
Ready to Wear,"$11,300,653","$11,300,653",100%,-,-,No
"The Adventures of Priscilla, Queen of the Desert","$11,228,136","$11,220,670",99.9%,-,-,Yes
Camp Nowhere,"$10,475,705","$10,475,705",100%,-,-,No
I'll Do Anything,"$10,424,645","$10,424,645",100%,-,-,No
Martin Lawrence: You So Crazy,"$10,184,701","$10,184,701",100%,-,-,No
Lassie,"$9,994,609","$9,979,683",99.9%,"$14,926",0.1%,Yes
Immortal Beloved,"$9,914,409","$9,914,409",100%,-,-,No
The Swan Princess,"$9,771,658","$9,771,658",100%,-,-,No
Angie,"$9,398,308","$9,398,308",100%,-,-,No
The Inkwell,"$8,880,705","$8,880,705",100%,-,-,No
White Fang 2: Myth of the White Wolf,"$8,878,839","$8,878,839",100%,-,-,No
The Puppet Masters,"$8,647,042","$8,647,042",100%,-,-,No
Fresh,"$8,094,616","$8,094,616",100%,-,-,No
The Nightmare Before Christmas 1994 Re-release,"$8,016,418",-,-,"$8,016,418",100%,Yes
Blankman,"$7,941,977","$7,941,977",100%,-,-,No
The Chase,"$7,924,955","$7,924,955",100%,-,-,No
Hoop Dreams,"$7,830,611","$7,830,611",100%,-,-,No
Serial Mom,"$7,823,437","$7,820,688",100%,"$2,749",<0.1%,Yes
Sirens,"$7,770,731","$7,770,731",100%,-,-,No
Surviving the Game,"$7,727,256","$7,727,256",100%,-,-,No
Clifford,"$7,408,745","$7,408,745",100%,-,-,No
Clean Slate,"$7,355,425","$7,355,425",100%,-,-,No
Eat Drink Man Woman,"$7,294,403","$7,294,403",100%,-,-,No
Barcelona,"$7,266,973","$7,266,973",100%,-,-,No
North,"$7,182,747","$7,182,747",100%,-,-,No
Trial by Jury,"$6,971,777","$6,971,777",100%,-,-,No
Exit to Eden,"$6,841,570","$6,841,570",100%,-,-,No
Mixed Nuts,"$6,821,850","$6,821,850",100%,-,-,No
The Road to Wellville,"$6,562,513","$6,562,513",100%,-,-,No
The House of the Spirits,"$6,265,311","$6,265,311",100%,-,-,No
Widows' Peak,"$6,243,722","$6,243,722",100%,-,-,No
Trapped in Paradise,"$6,017,509","$6,017,509",100%,-,-,No
Ed Wood,"$5,887,457","$5,887,457",100%,-,-,No
The Last Seduction,"$5,842,603","$5,842,603",100%,-,-,No
Airheads,"$5,751,882","$5,751,882",100%,-,-,No
Belle Epoque,"$5,418,502","$5,418,216",100%,$286,<0.1%,Yes
Little Buddha,"$4,858,139","$4,858,139",100%,-,-,No
Black Beauty,"$4,630,377","$4,630,377",100%,-,-,No
Wagons East,"$4,412,297","$4,412,297",100%,-,-,No
Brainscan,"$4,352,094","$4,352,094",100%,-,-,No
PCU,"$4,330,020","$4,330,020",100%,-,-,No
Jimmy Hollywood,"$3,783,003","$3,783,003",100%,-,-,No
Cabin Boy,"$3,662,459","$3,662,459",100%,-,-,No
Three Colors: Red,"$3,599,538","$3,581,969",99.5%,"$17,569",0.5%,Yes
A Simple Twist of Fate,"$3,430,583","$3,430,583",100%,-,-,No
Gunmen,"$3,411,885","$3,411,885",100%,-,-,No
Blue Sky,"$3,359,465","$3,359,465",100%,-,-,No
Squanto: A Warrior's Tale,"$3,342,223","$3,342,223",100%,-,-,No
Romeo Is Bleeding,"$3,275,585","$3,275,585",100%,-,-,No
My Crazy Life,"$3,267,313","$3,267,313",100%,-,-,No
Silent Fall,"$3,180,674","$3,180,674",100%,-,-,No
Clerks,"$3,151,130","$3,151,130",100%,-,-,No
The Favor,"$3,134,381","$3,134,381",100%,-,-,No
Death and the Maiden,"$3,103,716","$3,103,716",100%,-,-,No
Princess Caraboo,"$3,062,530","$3,062,530",100%,-,-,No
Heavenly Creatures,"$3,049,950","$3,049,135",100%,$815,<0.1%,Yes
China Moon,"$3,038,499","$3,038,499",100%,-,-,No
The Hudsucker Proxy,"$2,816,518","$2,816,518",100%,-,-,No
The Scout,"$2,694,234","$2,694,234",100%,-,-,No
Red Rock West,"$2,502,551","$2,502,551",100%,-,-,No
Backbeat,"$2,392,589","$2,392,589",100%,-,-,No
Double Dragon,"$2,341,309","$2,341,309",100%,-,-,No
To Live,"$2,332,728","$2,332,728",100%,-,-,No
A Good Man in Africa,"$2,308,390","$2,308,390",100%,-,-,No
Leprechaun 2,"$2,260,622","$2,260,622",100%,-,-,No
The Endless Summer 2,"$2,155,385","$2,155,385",100%,-,-,No
Mrs. Parker and the Vicious Circle,"$2,144,667","$2,144,667",100%,-,-,No
The Princess and the Goblin,"$2,105,078","$2,105,078",100%,-,-,No
Kika,"$2,019,581","$2,019,581",100%,-,-,No
Vertical Reality,"$1,951,429","$1,951,429",100%,-,-,No
Bitter Moon,"$1,862,805","$1,862,805",100%,-,-,No
I Like It Like That,"$1,760,527","$1,760,527",100%,-,-,No
Vanya on 42nd Street,"$1,746,050","$1,746,050",100%,-,-,No
Even Cowgirls Get the Blues,"$1,708,873","$1,708,873",100%,-,-,No
Death Wish: The Face of Death,"$1,702,394","$1,702,394",100%,-,-,No
The Scent of Green Papaya,"$1,700,992","$1,700,992",100%,-,-,No
Safe Passage,"$1,618,282","$1,618,282",100%,-,-,No
Chasers,"$1,596,687","$1,596,687",100%,-,-,No
Being Human,"$1,519,366","$1,519,366",100%,-,-,No
Spanking the Monkey,"$1,359,736","$1,359,736",100%,-,-,No
Radioland Murders,"$1,316,865","$1,316,865",100%,-,-,No
Queen Margot,"$1,292,232","$1,292,232",100%,-,-,No
Three Colors: White,"$1,247,122","$1,237,219",99.2%,"$9,903",0.8%,Yes
"Car 54, Where Are You?","$1,238,080","$1,238,080",100%,-,-,No
A Million to Juan,"$1,220,842","$1,220,842",100%,-,-,No
"Ciao, Professore!","$1,113,435","$1,113,435",100%,-,-,No
Naked in New York,"$1,038,959","$1,038,959",100%,-,-,No
Cobb,"$1,007,583","$1,007,583",100%,-,-,No
A Man of No Importance,"$920,916","$920,916",100%,-,-,No
Mother's Boys,"$737,548","$737,548",100%,-,-,No
Drop Squad,"$734,693","$734,693",100%,-,-,No
Holy Matrimony,"$713,234","$713,234",100%,-,-,No
Savage Nights,"$662,341","$662,341",100%,-,-,No
Cronos,"$621,392","$621,392",100%,-,-,No
The Advocate,"$602,329","$602,329",100%,-,-,No
Where the Rivers Flow North,"$595,505","$595,505",100%,-,-,No
