title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Armageddon,"$553,709,788","$201,578,182",36.4%,"$352,131,606",63.6%,Yes
Saving Private Ryan,"$481,840,909","$216,540,909",44.9%,"$265,300,000",55.1%,Yes
Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%,Yes
There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%,Yes
A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,Yes
Mulan,"$304,320,254","$120,620,254",39.6%,"$183,700,000",60.4%,Yes
Doctor Dolittle,"$294,456,605","$144,156,605",49%,"$150,300,000",51%,Yes
Shakespeare in Love,"$289,317,794","$100,317,794",34.7%,"$189,000,000",65.3%,Yes
Lethal Weapon 4,"$285,444,603","$130,444,603",45.7%,"$155,000,000",54.3%,Yes
The Truman Show,"$264,118,201","$125,618,201",47.6%,"$138,500,000",52.4%,Yes
Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%,Yes
You've Got Mail,"$250,821,495","$115,821,495",46.2%,"$135,000,000",53.8%,Yes
The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%,Yes
Rush Hour,"$244,386,864","$141,186,864",57.8%,"$103,200,000",42.2%,Yes
Life Is Beautiful,"$228,847,384","$57,247,384",25%,"$171,600,000",75%,Yes
The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%,Yes
Patch Adams,"$202,292,902","$135,026,902",66.7%,"$67,266,000",33.3%,Yes
City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%,Yes
The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%,Yes
The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%,Yes
The Man in the Iron Mask,"$182,968,902","$56,968,902",31.1%,"$126,000,000",68.9%,Yes
Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%,Yes
Six Days Seven Nights,"$164,839,294","$74,339,294",45.1%,"$90,500,000",54.9%,Yes
Stepmom,"$159,710,793","$91,137,662",57.1%,"$68,573,131",42.9%,Yes
Meet Joe Black,"$142,940,100","$44,619,100",31.2%,"$98,321,000",68.8%,Yes
The Rugrats Movie,"$140,894,675","$100,494,675",71.3%,"$40,400,000",28.7%,Yes
Deep Impact,"$140,694,752","$140,464,664",99.8%,"$230,088",0.2%,Yes
Lost in Space,"$136,159,423","$69,117,629",50.8%,"$67,041,794",49.2%,Yes
Blade,"$131,183,530","$70,087,718",53.4%,"$61,095,812",46.6%,Yes
A Perfect Murder,"$128,038,368","$67,638,368",52.8%,"$60,400,000",47.2%,Yes
The Wedding Singer,"$123,306,987","$80,245,725",65.1%,"$43,061,262",34.9%,Yes
The Siege,"$116,672,912","$40,981,289",35.1%,"$75,691,623",64.9%,Yes
Star Trek: Insurrection,"$112,587,658","$70,187,658",62.3%,"$42,400,000",37.7%,Yes
T-Rex: Back to the Cretaceous,"$103,960,367","$53,354,743",51.3%,"$50,605,624",48.7%,Yes
Snake Eyes,"$103,891,409","$55,591,409",53.5%,"$48,300,000",46.5%,Yes
U.S. Marshals,"$102,367,405","$57,167,405",55.8%,"$45,200,000",44.2%,Yes
Ever After: A Cinderella Story,"$98,005,666","$65,705,771",67%,"$32,299,895",33%,Yes
Mercury Rising,"$93,107,289","$32,935,289",35.4%,"$60,172,000",64.6%,Yes
The Parent Trap,"$92,108,518","$66,308,518",72%,"$25,800,000",28%,Yes
The X Files,"$87,535,637","$83,898,313",95.8%,"$3,637,324",4.2%,Yes
Everest,"$87,178,599","$87,178,599",100%,-,-,No
Elizabeth,"$82,150,642","$30,082,699",36.6%,"$52,067,943",63.4%,Yes
Hope Floats,"$81,471,882","$60,053,195",73.7%,"$21,418,687",26.3%,Yes
Out of Sight,"$77,745,568","$37,562,568",48.3%,"$40,183,000",51.7%,Yes
Urban Legend,"$72,527,595","$38,072,438",52.5%,"$34,455,157",47.5%,Yes
Babe: Pig in the City,"$69,131,860","$18,319,860",26.5%,"$50,812,000",73.5%,Yes
A Civil Action,"$56,709,981","$56,709,981",100%,-,-,No
Great Expectations,"$55,494,066","$26,420,672",47.6%,"$29,073,394",52.4%,Yes
What Dreams May Come,"$55,382,927","$55,382,927",100%,-,-,No
Waking Ned Devine,"$55,257,450","$24,792,251",44.9%,"$30,465,199",55.1%,Yes
Halloween H20: 20 Years Later,"$55,041,738","$55,041,738",100%,-,-,No
Small Soldiers,"$54,682,547","$54,682,547",100%,-,-,No
Primary Colors,"$52,090,187","$39,001,187",74.9%,"$13,089,000",25.1%,Yes
Bride of Chucky,"$50,688,658","$32,400,658",63.9%,"$18,288,000",36.1%,Yes
Mighty Joe Young,"$50,632,037","$50,632,037",100%,-,-,No
Pleasantville,"$49,805,462","$40,584,421",81.5%,"$9,221,041",18.5%,Yes
The Big Lebowski,"$47,409,582","$18,718,818",39.5%,"$28,690,764",60.5%,Yes
The Object of My Affection,"$46,905,889","$29,187,243",62.2%,"$17,718,646",37.8%,Yes
Practical Magic,"$46,733,235","$46,732,881",100%,$354,<0.1%,Yes
Mysteries of Egypt,"$44,703,731","$40,593,486",90.8%,"$4,110,245",9.2%,Yes
The Negotiator,"$44,547,681","$44,547,681",100%,-,-,No
Ronin,"$41,616,262","$41,616,262",100%,-,-,No
The Faculty,"$40,283,321","$40,283,321",100%,-,-,No
I Still Know What You Did Last Summer,"$40,002,112","$40,002,112",100%,-,-,No
The Thin Red Line,"$39,873,111","$36,400,491",91.3%,"$3,472,620",8.7%,Yes
How Stella Got Her Groove Back,"$39,278,722","$37,672,941",95.9%,"$1,605,781",4.1%,Yes
Psycho,"$37,170,655","$21,485,655",57.8%,"$15,685,000",42.2%,Yes
Sphere,"$37,020,277","$37,020,277",100%,-,-,No
Jack Frost,"$34,562,556","$34,562,556",100%,-,-,No
A Night at the Roxbury,"$30,331,740","$30,331,165",100%,-,-,Yes
Wild Things,"$30,147,739","$30,147,739",100%,-,-,No
Madeline,"$29,967,750","$29,967,750",100%,-,-,No
Spice World,"$29,345,427","$29,342,592",100%,-,-,Yes
Bulworth,"$29,202,884","$26,528,185",90.8%,"$2,674,699",9.2%,Yes
Grease 1998 Re-release,"$28,411,018","$28,411,018",100%,-,-,No
Dark City,"$27,200,316","$14,378,331",52.9%,"$12,821,985",47.1%,Yes
The Big Hit,"$27,007,143","$27,007,143",100%,-,-,No
Paulie,"$26,875,268","$26,875,268",100%,-,-,No
One True Thing,"$26,616,840","$23,245,840",87.3%,"$3,371,000",12.7%,Yes
Can't Hardly Wait,"$25,605,015","$25,605,015",100%,-,-,No
Fallen,"$25,232,289","$25,232,289",100%,-,-,No
American History X,"$23,875,127","$6,719,864",28.1%,"$17,155,263",71.9%,Yes
The Avengers,"$23,384,939","$23,384,939",100%,-,-,No
The Players Club,"$23,261,485","$23,047,939",99.1%,"$213,546",0.9%,Yes
Rounders,"$22,912,409","$22,912,409",100%,-,-,No
Beloved,"$22,852,487","$22,852,487",100%,-,-,No
The Borrowers,"$22,619,589","$22,619,589",100%,-,-,No
Quest for Camelot,"$22,510,798","$22,510,798",100%,-,-,No
He Got Game,"$21,567,853","$21,567,853",100%,-,-,No
Vampires,"$20,308,772","$20,308,772",100%,-,-,No
Mafia!,"$19,889,299","$19,889,299",100%,-,-,No
Hard Rain,"$19,870,567","$19,870,567",100%,-,-,No
Species II,"$19,221,939","$19,221,939",100%,-,-,No
The Replacement Killers,"$19,204,929","$19,204,929",100%,-,-,No
The Odd Couple II,"$18,912,328","$18,912,328",100%,-,-,No
Mr. Nice Guy,"$18,814,720","$12,716,953",67.6%,"$6,097,767",32.4%,Yes
Simon Birch,"$18,253,415","$18,253,415",100%,-,-,No
Disturbing Behavior,"$17,514,980","$17,514,980",100%,-,-,No
Half Baked,"$17,460,020","$17,460,020",100%,-,-,No
Rushmore,"$17,105,219","$17,105,219",100%,-,-,No
54,"$16,757,163","$16,757,163",100%,-,-,No
A Simple Plan,"$16,316,273","$16,316,273",100%,-,-,No
Dance with Me,"$15,923,122","$15,923,122",100%,-,-,No
Living Out Loud,"$15,610,299","$12,905,901",82.7%,"$2,704,398",17.3%,Yes
Dead Man on Campus,"$15,064,946","$15,064,946",100%,-,-,No
Twilight,"$15,055,091","$15,055,091",100%,-,-,No
The Wizard of Oz 1998 Re-release,"$14,836,984","$14,836,984",100%,-,-,No
Soldier,"$14,594,226","$14,594,226",100%,-,-,No
Les Misérables,"$14,096,321","$14,096,321",100%,-,-,No
Blues Brothers 2000,"$14,051,384","$14,051,384",100%,-,-,No
Desperate Measures,"$13,806,137","$13,806,137",100%,-,-,No
Hush,"$13,605,304","$13,583,690",99.8%,"$21,614",0.2%,Yes
Africa's Elephant Kingdom,"$13,485,455","$13,485,455",100%,-,-,No
Black Dog,"$12,951,088","$12,951,088",100%,-,-,No
Senseless,"$12,874,899","$12,874,899",100%,-,-,No
Why Do Fools Fall in Love,"$12,461,773","$12,461,773",100%,-,-,No
Barney's Great Adventure,"$12,218,638","$12,218,638",100%,-,-,No
I'll Be Home for Christmas,"$12,214,338","$12,214,338",100%,-,-,No
Holy Man,"$12,069,719","$12,069,719",100%,-,-,No
Sliding Doors,"$11,841,544","$11,841,544",100%,-,-,No
Deep Rising,"$11,203,026","$11,203,026",100%,-,-,No
Fear and Loathing in Las Vegas,"$10,680,275","$10,680,275",100%,-,-,No
Home Fries,"$10,493,366","$10,493,366",100%,-,-,No
The Newton Boys,"$10,452,012","$10,452,012",100%,-,-,No
Knock Off,"$10,319,915","$10,319,915",100%,-,-,No
I Got the Hook Up,"$10,317,779","$10,317,779",100%,-,-,No
Air Bud: Golden Receiver,"$10,224,116","$10,224,116",100%,-,-,No
Dirty Work,"$10,023,282","$10,023,282",100%,-,-,No
The Red Violin,"$10,019,109","$10,019,109",100%,-,-,No
Very Bad Things,"$9,898,412","$9,898,412",100%,-,-,No
Belly,"$9,639,390","$9,639,390",100%,-,-,No
Wrongfully Accused,"$9,623,329","$9,623,329",100%,-,-,No
The Spanish Prisoner,"$9,584,314","$9,584,314",100%,-,-,No
Ringmaster,"$9,257,103","$9,257,103",100%,-,-,No
Apt Pupil,"$8,863,193","$8,863,193",100%,-,-,No
Return to Paradise,"$8,341,087","$8,341,087",100%,-,-,No
Woo,"$8,165,984","$8,064,972",98.8%,"$101,012",1.2%,Yes
Firestorm,"$8,165,212","$8,165,212",100%,-,-,No
My Giant,"$8,072,007","$8,072,007",100%,-,-,No
Krippendorf's Tribe,"$7,571,115","$7,571,115",100%,-,-,No
Star Kid,"$7,029,025","$7,029,025",100%,-,-,No
BASEketball,"$7,027,290","$7,027,290",100%,-,-,No
Caught Up,"$6,754,958","$6,754,958",100%,-,-,No
Gone with the Wind 1998 Re-release,"$6,750,112","$6,750,112",100%,-,-,No
Smoke Signals,"$6,745,362","$6,745,362",100%,-,-,No
Gods and Monsters,"$6,451,628","$6,451,628",100%,-,-,No
Affliction,"$6,330,054","$6,330,054",100%,-,-,No
Almost Heroes,"$6,136,856","$6,136,856",100%,-,-,No
Les Boys II,"$5,974,732","$5,974,732",100%,-,-,No
