title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Central Station,"$5,969,553","$5,969,553",100%,-,-,No
The Opposite of Sex,"$5,881,367","$5,881,367",100%,-,-,No
Palmetto,"$5,878,911","$5,878,911",100%,-,-,No
Down in the Delta,"$5,672,903","$5,672,903",100%,-,-,No
Phantoms,"$5,624,282","$5,624,282",100%,-,-,No
Slums of Beverly Hills,"$5,502,773","$5,502,773",100%,-,-,No
Ride,"$5,485,295","$5,485,295",100%,-,-,No
Celebrity,"$5,078,660","$5,078,660",100%,-,-,No
Hilary and Jackie,"$4,912,892","$4,912,892",100%,-,-,No
Your Friends and Neighbors,"$4,714,658","$4,714,658",100%,-,-,No
Little Voice,"$4,611,784","$4,611,784",100%,-,-,No
Dangerous Beauty,"$4,553,271","$4,553,271",100%,-,-,No
Meet the Deedles,"$4,356,216","$4,356,216",100%,-,-,No
Kissing a Fool,"$4,106,588","$4,106,588",100%,-,-,No
The Governess,"$3,719,509","$3,719,509",100%,-,-,No
Major League: Back to the Minors,"$3,572,443","$3,572,443",100%,-,-,No
Next Stop Wonderland,"$3,395,581","$3,395,581",100%,-,-,No
Mrs Dalloway,"$3,309,421","$3,309,421",100%,-,-,No
Pi,"$3,221,152","$3,221,152",100%,-,-,No
The Last Days of Disco,"$3,020,601","$3,020,601",100%,-,-,No
Happiness,"$2,982,321","$2,982,011",100%,$310,<0.1%,Yes
Freeriders,"$2,750,064","$2,750,064",100%,-,-,No
The Mighty,"$2,652,246","$2,652,246",100%,-,-,No
Love and Death on Long Island,"$2,581,012","$2,581,012",100%,-,-,No
Buffalo '66,"$2,375,097","$2,375,097",100%,-,-,No
Mark Twain's America in,"$2,297,096","$2,297,096",100%,-,-,No
Dancing at Lughnasa,"$2,287,818","$2,287,818",100%,-,-,No
Hav Plenty,"$2,284,034","$2,284,034",100%,-,-,No
Pecker,"$2,281,761","$2,281,761",100%,-,-,No
Touch of Evil 1998 Re-release,"$2,247,465","$2,247,465",100%,-,-,No
The Impostors,"$2,198,044","$2,198,044",100%,-,-,No
Chinese Box,"$2,178,160","$2,178,160",100%,-,-,No
Tarzan and the Lost City,"$2,172,941","$2,172,941",100%,-,-,No
Wilde,"$2,158,775","$2,158,775",100%,-,-,No
Zero Effect,"$2,087,471","$2,087,471",100%,-,-,No
Billy's Hollywood Screen Kiss,"$2,070,399","$2,070,399",100%,-,-,No
Two Girls and a Guy,"$2,057,193","$2,057,193",100%,-,-,No
The Butcher Boy,"$1,995,911","$1,995,911",100%,-,-,No
High Art,"$1,960,216","$1,960,216",100%,-,-,No
Oscar and Lucinda,"$1,897,404","$1,897,404",100%,-,-,No
Hurlyburly,"$1,798,862","$1,798,862",100%,-,-,No
Clay Pigeons,"$1,794,086","$1,794,086",100%,-,-,No
A Soldier's Daughter Never Cries,"$1,782,005","$1,782,005",100%,-,-,No
Suicide Kings,"$1,740,156","$1,740,156",100%,-,-,No
Live Flesh,"$1,713,459","$1,713,459",100%,-,-,No
The Gingerbread Man,"$1,677,131","$1,677,131",100%,-,-,No
The Celebration,"$1,657,778","$1,656,223",99.9%,"$1,555",<0.1%,Yes
In God's Hands,"$1,546,414","$1,546,414",100%,-,-,No
Henry Fool,"$1,338,335","$1,338,335",100%,-,-,No
Cousin Bette,"$1,295,194","$1,295,194",100%,-,-,No
One Tough Cop,"$1,223,034","$1,223,034",100%,-,-,No
