title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3%,Yes
The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%,Yes
Ice Age: The Meltdown,"$660,998,756","$195,330,621",29.6%,"$465,668,135",70.4%,Yes
Casino Royale,"$606,000,064","$167,445,960",27.6%,"$438,553,632",72.4%,Yes
Night at the Museum,"$574,480,841","$250,863,268",43.7%,"$323,617,573",56.3%,Yes
Cars,"$461,983,149","$244,082,982",52.8%,"$217,900,167",47.2%,Yes
X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%,Yes
Mission: Impossible III,"$398,479,497","$134,029,801",33.6%,"$264,449,696",66.4%,Yes
Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%,Yes
Happy Feet,"$384,335,608","$198,000,317",51.5%,"$186,335,291",48.5%,Yes
Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%,Yes
The Devil Wears Prada,"$326,710,203","$124,740,460",38.2%,"$201,965,442",61.8%,Yes
The Pursuit of Happyness,"$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%,Yes
The Departed,"$291,465,034","$132,384,315",45.4%,"$159,080,719",54.6%,Yes
Borat,"$262,552,893","$128,505,958",48.9%,"$134,046,935",51.1%,Yes
Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%,Yes
Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%,Yes
The Holiday,"$205,844,805","$63,224,849",30.7%,"$142,617,036",69.3%,Yes
The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,Yes
Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%,Yes
Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%,Yes
Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%,Yes
Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%,Yes
Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%,Yes
Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%,Yes
Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%,Yes
Saw III,"$164,874,275","$80,238,724",48.7%,"$84,635,551",51.3%,Yes
The Pink Panther,"$164,115,897","$82,226,474",50.1%,"$81,889,423",49.9%,Yes
Miami Vice,"$163,794,509","$63,450,470",38.7%,"$100,344,039",61.3%,Yes
