title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377",90.7%,"$15,148,718",9.3%,Yes
World Trade Center,"$163,247,198","$70,278,893",43.1%,"$92,968,305",56.9%,Yes
The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415",39.3%,"$96,450,195",60.7%,Yes
Rocky Balboa,"$155,929,020","$70,270,943",45.1%,"$85,658,077",54.9%,Yes
Dreamgirls,"$155,430,335","$103,365,956",66.5%,"$52,064,379",33.5%,Yes
Charlotte's Web,"$148,964,090","$82,985,708",55.7%,"$65,978,114",44.3%,Yes
Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%,Yes
Monster House,"$141,861,243","$73,661,010",51.9%,"$68,200,233",48.1%,Yes
Big Momma's House 2,"$141,522,961","$70,165,972",49.6%,"$71,356,989",50.4%,Yes
Babel,"$135,330,182","$34,302,837",25.3%,"$101,027,345",74.7%,Yes
Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.6%,"$132,816,631",98.4%,Yes
V for Vendetta,"$132,511,035","$70,511,035",53.2%,"$62,000,000",46.8%,Yes
"You, Me and Dupree","$130,628,903","$75,628,110",57.9%,"$55,000,793",42.1%,Yes
Failure to Launch,"$130,224,158","$88,715,192",68.1%,"$41,508,966",31.9%,Yes
The Queen,"$123,384,128","$56,441,711",45.7%,"$66,942,417",54.3%,Yes
Apocalypto,"$120,654,337","$50,866,635",42.2%,"$69,787,702",57.8%,Yes
Eight Below,"$120,455,994","$81,612,565",67.8%,"$38,843,429",32.2%,Yes
The Omen,"$119,974,972","$54,607,383",45.5%,"$65,367,589",54.5%,Yes
Final Destination 3,"$118,890,272","$54,098,051",45.5%,"$64,792,221",54.5%,Yes
Barnyard,"$116,755,080","$72,637,803",62.2%,"$44,117,277",37.8%,Yes
The Lake House,"$114,830,111","$52,330,111",45.6%,"$62,500,000",54.4%,Yes
Step Up,"$114,194,847","$65,328,121",57.2%,"$48,866,726",42.8%,Yes
Underworld: Evolution,"$111,476,513","$62,318,875",55.9%,"$49,157,638",44.1%,Yes
The Santa Clause 3: The Escape Clause,"$110,768,122","$84,500,122",76.3%,"$26,268,000",23.7%,Yes
The Prestige,"$109,676,311","$53,089,891",48.4%,"$56,586,420",51.6%,Yes
Arthur and the Invisibles,"$107,944,236","$15,132,763",14%,"$92,811,473",86%,Yes
Little Man,"$104,003,322","$58,645,052",56.4%,"$45,358,270",43.6%,Yes
The Wild,"$102,338,515","$37,384,046",36.5%,"$64,954,469",63.5%,Yes
Little Miss Sunshine,"$101,058,954","$59,891,098",59.3%,"$41,167,856",40.7%,Yes
Silent Hill,"$100,605,135","$46,982,632",46.7%,"$53,622,503",53.3%,Yes
The Good Shepherd,"$100,266,865","$59,952,835",59.8%,"$40,314,030",40.2%,Yes
Nacho Libre,"$99,255,460","$80,197,993",80.8%,"$19,057,467",19.2%,Yes
Deep Sea,"$98,230,905","$46,412,757",47.2%,"$51,818,148",52.8%,Yes
The Guardian,"$94,973,540","$55,011,732",57.9%,"$39,961,808",42.1%,Yes
The Host,"$89,431,890","$2,201,923",2.5%,"$87,229,967",97.5%,Yes
The Illusionist,"$87,892,388","$39,868,642",45.4%,"$48,023,746",54.6%,Yes
RV,"$87,528,173","$71,726,025",81.9%,"$15,802,148",18.1%,Yes
The Shaggy Dog,"$87,134,280","$61,123,569",70.1%,"$26,010,711",29.9%,Yes
Date Movie,"$85,749,034","$48,548,426",56.6%,"$37,200,608",43.4%,Yes
Volver,"$85,585,177","$12,899,867",15.1%,"$72,685,310",84.9%,Yes
Jackass Number Two,"$84,645,164","$72,778,712",86%,"$11,866,452",14%,Yes
French Fried Vacation 3: Friends Forever,"$84,152,064",-,-,"$84,152,064",100%,Yes
Pan's Labyrinth,"$83,850,267","$37,634,615",44.9%,"$46,215,652",55.1%,Yes
Firewall,"$82,751,189","$48,751,189",58.9%,"$34,000,000",41.1%,Yes
Hostel,"$81,979,826","$47,326,473",57.7%,"$34,653,353",42.3%,Yes
The Sentinel,"$78,810,595","$36,280,697",46%,"$42,529,898",54%,Yes
Curse of the Golden Flower,"$78,568,977","$6,566,773",8.4%,"$72,002,204",91.6%,Yes
The Lives of Others,"$77,356,942","$11,286,112",14.6%,"$66,070,830",85.4%,Yes
United 93,"$76,700,659","$31,483,450",41%,"$45,217,209",59%,Yes
Lady in the Water,"$72,785,169","$42,285,169",58.1%,"$30,500,000",41.9%,Yes
The Grudge 2,"$70,711,175","$39,143,839",55.4%,"$31,567,336",44.6%,Yes
Children of Men,"$70,455,770","$35,552,383",50.5%,"$34,903,387",49.5%,Yes
The Hills Have Eyes,"$70,008,952","$41,778,863",59.7%,"$28,230,089",40.3%,Yes
Curious George,"$69,865,924","$58,360,760",83.5%,"$11,505,164",16.5%,Yes
John Tucker Must Die,"$68,844,775","$41,011,711",59.6%,"$27,833,064",40.4%,Yes
Letters from Iwo Jima,"$68,673,228","$13,756,082",20%,"$54,917,146",80%,Yes
Tales from Earthsea,"$68,625,104",-,-,"$68,625,104",100%,Yes
Fearless,"$68,072,848","$24,633,730",36.2%,"$43,439,118",63.8%,Yes
When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%,Yes
Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%,Yes
Flags of Our Fathers,"$65,900,249","$33,602,376",51%,"$32,297,873",49%,Yes
16 Blocks,"$65,664,721","$36,895,141",56.2%,"$28,769,580",43.8%,Yes
The Benchwarmers,"$64,962,629","$59,843,754",92.1%,"$5,118,875",7.9%,Yes
Madea's Family Reunion,"$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%,Yes
Snakes on a Plane,"$62,022,014","$34,020,814",54.9%,"$28,001,200",45.1%,Yes
My Super Ex-Girlfriend,"$61,108,981","$22,530,295",36.9%,"$38,578,686",63.1%,Yes
Marie Antoinette,"$60,917,189","$15,962,471",26.2%,"$44,954,718",73.8%,Yes
Limit of Love: Umizaru,"$60,369,589",-,-,"$60,369,589",100%,Yes
Invincible,"$58,480,828","$57,806,952",98.8%,"$673,876",1.2%,Yes
She's the Man,"$57,194,667","$33,741,133",59%,"$23,453,534",41%,Yes
Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%,Yes
The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%,Yes
Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%,Yes
The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%,Yes
Doomsday: The Sinking of Japan,"$51,127,401",-,-,"$51,127,401",100%,Yes
Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%,Yes
An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%,Yes
The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%,Yes
The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%,Yes
Suite Dreams,"$48,090,431",-,-,"$48,090,431",100%,Yes
Death Note: The Last Name,"$47,917,637",-,-,"$47,917,637",100%,Yes
Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%,Yes
The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%,Yes
We Are Marshall,"$43,545,364","$43,545,364",100%,-,-,No
Last Holiday,"$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%,Yes
Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%,Yes
Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%,Yes
Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%,Yes
A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%,Yes
200 Pounds Beauty,"$42,013,016",-,-,"$42,013,016",100%,Yes
Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%,Yes
Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%,Yes
Scoop,"$39,220,946","$10,525,717",26.8%,"$28,695,229",73.2%,Yes
Tazza: The High Rollers,"$39,212,715",-,-,"$39,212,715",100%,Yes
The Wicker Man,"$38,805,380","$23,649,127",60.9%,"$15,156,253",39.1%,Yes
Basic Instinct 2,"$38,629,478","$5,971,336",15.5%,"$32,658,142",84.5%,Yes
Accepted,"$38,623,262","$36,323,505",94%,"$2,299,757",6%,Yes
Employee of the Month,"$38,528,984","$28,444,855",73.8%,"$10,084,129",26.2%,Yes
Day Watch,"$38,411,815",-,-,"$38,411,815",100%,Yes
Just My Luck,"$38,159,905","$17,326,650",45.4%,"$20,833,255",54.6%,Yes
Camping,"$37,912,041",-,-,"$37,912,041",100%,Yes
The Covenant,"$37,598,767","$23,380,495",62.2%,"$14,218,272",37.8%,Yes
Miss Potter,"$35,078,241","$3,005,605",8.6%,"$32,072,636",91.4%,Yes
Bambi II,"$34,958,637",-,-,"$34,958,637",100%,Yes
Love and Honor,"$33,755,574","$60,910",0.2%,"$33,694,664",99.8%,Yes
Tell No One,"$33,406,992","$6,177,192",18.5%,"$27,229,800",81.5%,Yes
7 Dwarves: The Forest Is Not Enough,"$32,863,752",-,-,"$32,863,752",100%,Yes
Dhoom 2,"$32,396,427","$2,643,586",8.2%,"$29,752,841",91.8%,Yes
Stick It,"$31,976,848","$26,910,736",84.2%,"$5,066,112",15.8%,Yes
Deutschland. Ein Sommermärchen,"$31,257,991",-,-,"$31,257,991",100%,Yes
Ultraviolet,"$31,070,211","$18,535,812",59.7%,"$12,534,399",40.3%,Yes
Doraemon the Movie: Nobita's Dinosaur,"$30,963,292",-,-,"$30,963,292",100%,Yes
Twosabu ilchae,"$30,622,421",-,-,"$30,622,421",100%,Yes
Natale a New York,"$30,437,121",-,-,"$30,437,121",100%,Yes
I Do: How to Get Married and Stay Single,"$30,057,369",-,-,"$30,057,369",100%,Yes
Pulse,"$29,907,685","$20,264,436",67.8%,"$9,643,249",32.2%,Yes
Death Note,"$29,630,359",-,-,"$29,630,359",100%,Yes
An American Haunting,"$29,612,137","$16,298,046",55%,"$13,314,091",45%,Yes
The Valet,"$29,414,553","$1,926,800",6.6%,"$27,487,753",93.4%,Yes
Tristan + Isolde,"$28,047,963","$14,734,633",52.5%,"$13,313,330",47.5%,Yes
Priceless,"$27,949,650","$2,165,188",7.7%,"$25,784,462",92.3%,Yes
Pokémon Ranger and the Temple of the Sea,"$27,638,625",-,-,"$27,638,625",100%,Yes
Stay Alive,"$27,298,695","$23,086,480",84.6%,"$4,212,215",15.4%,Yes
Clerks II,"$26,984,975","$24,148,068",89.5%,"$2,836,907",10.5%,Yes
The Painted Veil,"$26,910,847","$8,060,487",30%,"$18,850,360",70%,Yes
Black Book,"$26,768,563","$4,398,532",16.4%,"$22,370,031",83.6%,Yes
Detective Conan: The Private Eyes' Requiem,"$26,251,232",-,-,"$26,251,232",100%,Yes
A Prairie Home Companion,"$25,978,867","$20,342,852",78.3%,"$5,636,015",21.7%,Yes
You Are So Beautiful,"$25,329,576",-,-,"$25,329,576",100%,Yes
Tears for You,"$25,300,338",-,-,"$25,300,338",100%,Yes
Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444",13%,"$21,953,724",87%,Yes
School for Scoundrels,"$23,947,685","$17,807,569",74.4%,"$6,140,116",25.6%,Yes
Stormbreaker,"$23,937,870","$677,646",2.8%,"$23,260,224",97.2%,Yes
Il mio miglior nemico,"$23,710,143",-,-,"$23,710,143",100%,Yes
Valley of the Wolves: Iraq,"$23,465,471",-,-,"$23,465,471",100%,Yes
Captain Alatriste: The Spanish Musketeer,"$23,321,954",-,-,"$23,321,954",100%,Yes
"OSS 117: Cairo, Nest of Spies","$23,055,884","$303,543",1.3%,"$22,752,341",98.7%,Yes
Aquamarine,"$22,989,957","$18,597,342",80.9%,"$4,392,615",19.1%,Yes
Days of Glory,"$22,963,701","$320,700",1.4%,"$22,643,001",98.6%,Yes
The Wind that Shakes the Barley,"$22,899,908","$1,836,089",8%,"$21,063,819",92%,Yes
The Banquet,"$22,598,772",-,-,"$22,598,772",100%,Yes
Asterix and the Vikings,"$22,501,596",-,-,"$22,501,596",100%,Yes
Fanaa,"$22,175,908","$2,105,352",9.5%,"$20,070,556",90.5%,Yes
The Marine,"$22,165,608","$18,844,784",85%,"$3,320,824",15%,Yes
Unaccompanied Minors,"$21,949,234","$16,655,224",75.9%,"$5,294,010",24.1%,Yes
Flicka,"$21,893,591","$21,000,147",95.9%,"$893,444",4.1%,Yes
Rob-B-Hood,"$21,836,580",-,-,"$21,836,580",100%,Yes
Wolfhound,"$21,573,338",-,-,"$21,573,338",100%,Yes
Black Christmas,"$21,510,851","$16,273,581",75.7%,"$5,237,270",24.3%,Yes
Waist Deep,"$21,353,303","$21,344,312",100%,"$8,991",<0.1%,Yes
ATL,"$21,170,563","$21,170,563",100%,-,-,No
Bobby,"$20,704,591","$11,242,801",54.3%,"$9,461,790",45.7%,Yes
Beerfest,"$20,387,597","$19,185,184",94.1%,"$1,202,413",5.9%,Yes
Don,"$19,640,129","$2,223,961",11.3%,"$17,416,168",88.7%,Yes
Movie: Marrying the Mafia 3 - Family Hustle,"$19,606,487",-,-,"$19,606,487",100%,Yes
Akeelah and the Bee,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%,Yes
See No Evil,"$18,564,467","$15,032,800",81%,"$3,531,667",19%,Yes
Hanbando,"$18,483,140",-,-,"$18,483,140",100%,Yes
Bandidas,"$18,381,890",-,-,"$18,381,890",100%,Yes
Friends with Money,"$18,245,244","$13,368,437",73.3%,"$4,876,807",26.7%,Yes
Krrish,"$18,041,250","$1,430,721",7.9%,"$16,610,529",92.1%,Yes
Lage Raho Munna Bhai,"$17,897,527","$2,217,562",12.4%,"$15,679,965",87.6%,Yes
Flyboys,"$17,834,865","$13,090,630",73.4%,"$4,744,235",26.6%,Yes
Battle of the Warriors,"$17,812,601",-,-,"$17,812,601",100%,Yes
Memories of Tomorrow,"$17,696,020","$140,200",0.8%,"$17,555,820",99.2%,Yes
Grave Decisions,"$17,685,834",-,-,"$17,685,834",100%,Yes
Orchestra Seats,"$17,574,836","$2,044,858",11.6%,"$15,529,978",88.4%,Yes
Annapolis,"$17,496,992","$17,127,992",97.9%,"$369,000",2.1%,Yes
"Paris, I Love You","$17,471,727","$4,899,278",28%,"$12,572,449",72%,Yes
Material Girls,"$16,907,725","$11,449,638",67.7%,"$5,458,087",32.3%,Yes
Zhara,"$16,877,870",-,-,"$16,877,870",100%,Yes
