title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Red Cliff,"$129,708,433","$627,047",0.5%,"$129,081,386",99.5%,Yes
The Forbidden Kingdom,"$128,779,982","$52,075,270",40.4%,"$76,704,712",59.6%,Yes
Step Brothers,"$128,107,642","$100,468,793",78.4%,"$27,638,849",21.6%,Yes
Body of Lies,"$115,900,897","$39,394,666",34%,"$76,506,231",66%,Yes
Saw V,"$113,864,059","$56,746,769",49.8%,"$57,117,290",50.2%,Yes
Changeling,"$113,398,237","$35,739,802",31.5%,"$77,658,435",68.5%,Yes
Rambo,"$113,244,290","$42,754,105",37.8%,"$70,490,185",62.2%,Yes
Fool's Gold,"$111,231,041","$70,231,041",63.1%,"$41,000,000",36.9%,Yes
Transporter 3,"$108,979,549","$31,715,062",29.1%,"$77,264,487",70.9%,Yes
The Reader,"$108,902,486","$34,194,407",31.4%,"$74,708,079",68.6%,Yes
Made of Honor,"$106,407,672","$46,012,734",43.2%,"$60,394,938",56.8%,Yes
Forgetting Sarah Marshall,"$105,833,257","$63,172,463",59.7%,"$42,660,794",40.3%,Yes
Pineapple Express,"$101,624,843","$87,341,380",85.9%,"$14,283,463",14.1%,Yes
Nim's Island,"$100,104,565","$48,006,762",48%,"$52,097,803",52%,Yes
Vicky Cristina Barcelona,"$96,409,830","$23,216,709",24.1%,"$73,192,591",75.9%,Yes
Speed Racer,"$93,945,766","$43,945,766",46.8%,"$50,000,000",53.2%,Yes
Role Models,"$92,649,419","$67,294,270",72.6%,"$25,355,149",27.4%,Yes
Max Payne,"$87,066,930","$40,689,393",46.7%,"$46,377,537",53.3%,Yes
The Tale of Despereaux,"$86,957,280","$50,877,145",58.5%,"$36,080,135",41.5%,Yes
Meet the Spartans,"$85,897,593","$38,233,676",44.5%,"$47,663,917",55.5%,Yes
Nights in Rodanthe,"$84,375,346","$41,850,659",49.6%,"$42,524,687",50.4%,Yes
The Strangers,"$82,410,456","$52,597,610",63.8%,"$29,812,846",36.2%,Yes
Righteous Kill,"$78,460,699","$40,081,410",51.1%,"$38,379,289",48.9%,Yes
The Other Boleyn Girl,"$78,199,679","$26,814,957",34.3%,"$51,384,722",65.7%,Yes
Mirrors,"$78,094,714","$30,691,439",39.3%,"$47,403,275",60.7%,Yes
Death Race,"$76,014,335","$36,316,032",47.8%,"$39,698,303",52.2%,Yes
Revolutionary Road,"$75,981,180","$22,911,480",30.2%,"$53,069,700",69.8%,Yes
Boys Over Flowers: Final,"$72,243,609",-,-,"$72,243,609",100%,Yes
Babylon A.D.,"$72,109,200","$22,532,572",31.2%,"$49,576,628",68.8%,Yes
Superhero Movie,"$71,538,062","$25,881,068",36.2%,"$45,656,994",63.8%,Yes
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$70,642,966","$65,281,781",92.4%,"$5,361,185",7.6%,Yes
Departures,"$70,442,129","$1,498,210",2.1%,"$68,943,919",97.9%,Yes
The House Bunny,"$70,439,696","$48,237,389",68.5%,"$22,202,307",31.5%,Yes
The X Files: I Want to Believe,"$69,363,381","$20,982,478",30.3%,"$48,380,903",69.7%,Yes
Star Wars: The Clone Wars,"$68,282,844","$35,161,554",51.5%,"$33,121,290",48.5%,Yes
Street Kings,"$66,476,363","$26,418,667",39.7%,"$40,057,696",60.3%,Yes
Space Chimps,"$65,097,693","$30,105,968",46.2%,"$34,991,725",53.8%,Yes
The Bank Job,"$64,822,796","$30,060,660",46.4%,"$34,762,136",53.6%,Yes
Baby Mama,"$64,444,713","$60,494,212",93.9%,"$3,950,501",6.1%,Yes
Inkheart,"$62,803,180","$17,303,424",27.6%,"$45,499,756",72.4%,Yes
The Eye,"$58,010,320","$31,418,697",54.2%,"$26,591,623",45.8%,Yes
Prom Night,"$57,197,876","$43,869,350",76.7%,"$13,328,526",23.3%,Yes
"Definitely, Maybe","$55,990,299","$32,241,649",57.6%,"$23,748,650",42.4%,Yes
Suspect X,"$54,846,110",-,-,"$54,846,110",100%,Yes
Milk,"$54,589,558","$31,841,299",58.3%,"$22,748,259",41.7%,Yes
Untraceable,"$52,933,513","$28,687,835",54.2%,"$24,245,678",45.8%,Yes
Doubt,"$51,699,984","$33,446,470",64.7%,"$18,253,514",35.3%,Yes
College Road Trip,"$51,549,674","$45,610,425",88.5%,"$5,939,249",11.5%,Yes
Meet Dave,"$51,339,567","$11,803,254",23%,"$39,536,313",77%,Yes
Defiance,"$51,262,751","$28,644,813",55.9%,"$22,617,938",44.1%,Yes
The Women,"$50,007,546","$26,902,075",53.8%,"$23,105,471",46.2%,Yes
Drillbit Taylor,"$49,944,325","$32,862,104",65.8%,"$17,082,221",34.2%,Yes
CJ7,"$49,529,913","$207,378",0.4%,"$49,322,535",99.6%,Yes
The Hurt Locker,"$49,230,772","$17,017,811",34.6%,"$32,212,961",65.4%,Yes
Shutter,"$48,555,306","$25,928,550",53.4%,"$22,626,756",46.6%,Yes
Pokémon: Giratina and the Sky Warrior,"$47,511,422",-,-,"$47,511,422",100%,Yes
One Missed Call,"$45,847,751","$26,890,041",58.7%,"$18,957,710",41.3%,Yes
If You Are the One,"$45,521,453",-,-,"$45,521,453",100%,Yes
The Wrestler,"$44,734,660","$26,238,243",58.7%,"$18,496,417",41.3%,Yes
Lakeview Terrace,"$44,655,002","$39,263,506",87.9%,"$5,391,496",12.1%,Yes
The Sisterhood of the Traveling Pants 2,"$44,352,417","$44,089,964",99.4%,"$262,453",0.6%,Yes
The Good the Bad the Weird,"$44,261,209","$128,486",0.3%,"$44,132,723",99.7%,Yes
Semi-Pro,"$44,004,502","$33,479,698",76.1%,"$10,524,804",23.9%,Yes
"Welcome Home, Roscoe Jenkins","$43,655,418","$42,436,517",97.2%,"$1,218,901",2.8%,Yes
Harold & Kumar Escape from Guantanamo Bay,"$43,495,888","$38,108,728",87.6%,"$5,387,160",12.4%,Yes
The Duchess,"$43,343,384","$13,848,978",32%,"$29,494,406",68%,Yes
Zack and Miri Make a Porno,"$42,782,463","$31,457,946",73.5%,"$11,324,517",26.5%,Yes
Bangkok Dangerous,"$42,487,390","$15,298,133",36%,"$27,189,257",64%,Yes
Meet the Browns,"$41,975,388","$41,975,388",100%,-,-,No
Scandal Makers,"$41,745,790",-,-,"$41,745,790",100%,Yes
Fly Me to the Moon 3D,"$41,721,414","$13,816,982",33.1%,"$27,904,432",66.9%,Yes
Never Back Down,"$41,627,431","$24,850,922",59.7%,"$16,776,509",40.3%,Yes
My Best Friend's Girl,"$41,624,687","$19,219,250",46.2%,"$22,405,437",53.8%,Yes
Escape Captivity: The Movie,"$41,550,983",-,-,"$41,550,983",100%,Yes
Quarantine,"$41,319,906","$31,691,811",76.7%,"$9,628,095",23.3%,Yes
Leatherheads,"$41,319,039","$31,373,938",75.9%,"$9,945,101",24.1%,Yes
The Love Guru,"$40,877,556","$32,235,793",78.9%,"$8,641,763",21.1%,Yes
The Boy in the Striped Pajamas,"$40,416,563","$9,046,156",22.4%,"$31,370,407",77.6%,Yes
The Secret Life of Bees,"$39,952,437","$37,770,162",94.5%,"$2,182,275",5.5%,Yes
The Spirit,"$39,164,441","$19,806,188",50.6%,"$19,358,253",49.4%,Yes
Admiral,"$39,143,985",-,-,"$39,143,985",100%,Yes
First Sunday,"$38,810,311","$37,931,869",97.7%,"$878,442",2.3%,Yes
Ghajini,"$38,316,584","$2,430,627",6.3%,"$35,885,957",93.7%,Yes
20th Century Boys 1: Beginning of the End,"$38,231,562",-,-,"$38,231,562",100%,Yes
Painted Skin,"$37,579,689",-,-,"$37,579,689",100%,Yes
The Family That Preys,"$37,105,289","$37,105,289",100%,-,-,No
Natale a Rio,"$36,702,844",-,-,"$36,702,844",100%,Yes
The Chaser,"$36,467,587",-,-,"$36,467,587",100%,Yes
The Magic Hour,"$36,023,586",-,-,"$36,023,586",100%,Yes
Death Note: L Change the World,"$35,319,632",-,-,"$35,319,632",100%,Yes
Gomorrah,"$34,861,529","$1,579,146",4.5%,"$33,282,383",95.5%,Yes
Disaster Movie,"$34,816,824","$14,190,901",40.8%,"$20,625,923",59.2%,Yes
Nick and Norah's Infinite Playlist,"$33,556,631","$31,487,293",93.8%,"$2,069,338",6.2%,Yes
Fireproof,"$33,473,297","$33,456,317",99.9%,"$16,980",<0.1%,Yes
In Bruges,"$33,394,440","$7,800,824",23.4%,"$25,593,616",76.6%,Yes
Che: Part One,"$33,266,274",-,-,"$33,266,274",100%,Yes
Last Chance Harvey,"$32,566,966","$14,889,042",45.7%,"$17,677,924",54.3%,Yes
The Wave,"$32,350,637",-,-,"$32,350,637",100%,Yes
Doraemon the Movie: Nobita and the Green Giant Legend,"$31,684,949",-,-,"$31,684,949",100%,Yes
Pride and Glory,"$31,200,557","$15,740,721",50.5%,"$15,459,836",49.5%,Yes
Igor,"$30,893,885","$19,528,602",63.2%,"$11,365,283",36.8%,Yes
Be Kind Rewind,"$30,579,406","$11,175,164",36.5%,"$19,404,242",63.5%,Yes
The Best Movie,"$30,525,503",-,-,"$30,525,503",100%,Yes
Mesrine: Killer Instinct,"$30,503,743",-,-,"$30,503,743",100%,Yes
Rab Ne Bana Di Jodi,"$29,914,469","$2,078,956",6.9%,"$27,835,513",93.1%,Yes
W.,"$29,560,587","$25,534,493",86.4%,"$4,026,094",13.6%,Yes
The Class,"$29,303,505","$3,766,810",12.9%,"$25,536,695",87.1%,Yes
Singh Is King,"$29,169,677","$2,159,376",7.4%,"$27,010,301",92.6%,Yes
Recep Ivedik,"$28,548,025",-,-,"$28,548,025",100%,Yes
Appaloosa,"$27,712,362","$20,211,394",72.9%,"$7,500,968",27.1%,Yes
Traitor,"$27,674,464","$23,530,831",85%,"$4,143,633",15%,Yes
Frost/Nixon,"$27,426,335","$18,622,031",67.9%,"$8,804,304",32.1%,Yes
Forever the Moment,"$27,259,300",-,-,"$27,259,300",100%,Yes
Public Enemy 3,"$27,226,420",-,-,"$27,226,420",100%,Yes
Ghost Town,"$27,090,159","$13,367,624",49.3%,"$13,722,535",50.7%,Yes
The Baader Meinhof Complex,"$26,937,355","$476,270",1.8%,"$26,461,085",98.2%,Yes
Jodhaa Akbar,"$26,890,354","$3,440,718",12.8%,"$23,449,636",87.2%,Yes
Mad Money,"$26,412,163","$20,668,843",78.3%,"$5,743,320",21.7%,Yes
RocknRolla,"$25,742,207","$5,700,626",22.1%,"$20,040,237",77.8%,Yes
I'm a Cat Stalker,"$25,221,446",-,-,"$25,221,446",100%,Yes
Race,"$24,503,269","$1,367,024",5.6%,"$23,136,245",94.4%,Yes
Detroit Metal City,"$23,744,571",-,-,"$23,744,571",100%,Yes
Disco,"$23,524,551",-,-,"$23,524,551",100%,Yes
Paris,"$23,328,518","$1,010,194",4.3%,"$22,318,324",95.7%,Yes
Under the Same Moon,"$23,313,049","$12,590,147",54%,"$10,722,902",46%,Yes
"Sorry, If I Love You","$23,249,815",-,-,"$23,249,815",100%,Yes
Detective Conan: Full Score of Fear,"$22,996,756",-,-,"$22,996,756",100%,Yes
Kung Fu Dunk,"$22,945,567",-,-,"$22,945,567",100%,Yes
The Merry Widow,"$22,872,698",-,-,"$22,872,698",100%,Yes
The Ruins,"$22,818,256","$17,432,844",76.4%,"$5,385,412",23.6%,Yes
U2 3D,"$22,730,842","$10,363,341",45.6%,"$12,367,501",54.4%,Yes
The Accidental Husband,"$22,707,064",-,-,"$22,707,064",100%,Yes
Paco and the Magical Book,"$22,679,633",-,-,"$22,679,633",100%,Yes
Doomsday,"$22,472,631","$11,008,770",49%,"$11,463,861",51%,Yes
I've Loved You So Long,"$22,272,176","$3,169,305",14.2%,"$19,102,871",85.8%,Yes
A.R.O.G,"$22,212,369",-,-,"$22,212,369",100%,Yes
Ip Man,"$22,108,789",-,-,"$22,108,789",100%,Yes
Wild Child,"$21,972,336",-,-,"$21,972,336",100%,Yes
"Grande, grosso e... Verdone","$21,860,130",-,-,"$21,860,130",100%,Yes
The Flight Before Christmas,"$21,822,495",-,-,"$21,822,495",100%,Yes
Over Her Dead Body,"$21,458,111","$7,563,670",35.2%,"$13,894,441",64.8%,Yes
K-20: The Fiend with Twenty Faces,"$21,443,265",-,-,"$21,443,265",100%,Yes
Three Kingdoms,"$21,159,916",-,-,"$21,159,916",100%,Yes
The Divine Weapon,"$19,991,573",-,-,"$19,991,573",100%,Yes
Jaane Tu... Ya Jaane Na,"$19,852,786","$604,037",3%,"$19,248,749",97%,Yes
Blindness,"$19,844,979","$3,351,751",16.9%,"$16,493,228",83.1%,Yes
Il cosmo sul comò,"$19,494,191",-,-,"$19,494,191",100%,Yes
Lyubov 2 Morkov,"$19,171,562",-,-,"$19,171,562",100%,Yes
How to Lose Friends & Alienate People,"$19,152,009","$2,778,752",14.5%,"$16,373,257",85.5%,Yes
