title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Beverly Hills Cop,"$234,760,478","$234,760,478",100%,-,-,No
Ghostbusters,"$229,376,332","$229,242,989",99.9%,"$122,597",<0.1%,Yes
Indiana Jones and the Temple of Doom,"$179,876,727","$179,870,271",100%,-,-,Yes
Gremlins,"$148,171,538","$148,168,459",100%,-,-,Yes
The Karate Kid,"$90,817,155","$90,815,558",100%,-,-,Yes
Police Academy,"$81,198,894","$81,198,894",100%,-,-,No
Footloose,"$80,038,626","$80,035,402",100%,-,-,Yes
Romancing the Stone,"$76,572,547","$76,572,238",100%,$137,<0.1%,Yes
Star Trek III: The Search for Spock,"$76,471,046","$76,471,046",100%,-,-,No
Splash,"$69,821,334","$69,821,334",100%,-,-,No
Purple Rain,"$68,393,249","$68,392,977",100%,-,-,Yes
Amadeus,"$51,567,444","$51,564,280",100%,-,-,Yes
Tightrope,"$48,143,579","$48,143,579",100%,-,-,No
The Natural,"$47,951,979","$47,951,979",100%,-,-,No
"Greystoke: The Legend of Tarzan, Lord of the Apes","$45,858,563","$45,858,563",100%,-,-,No
Revenge of the Nerds,"$40,874,452","$40,874,452",100%,-,-,No
2010,"$40,400,657","$40,400,657",100%,-,-,No
Breakin',"$38,682,707","$38,682,707",100%,-,-,No
Bachelor Party,"$38,435,947","$38,435,947",100%,-,-,No
Red Dawn,"$38,376,497","$38,376,497",100%,-,-,No
The Terminator,"$38,374,581","$38,371,200",100%,-,-,Yes
City Heat,"$38,348,988","$38,348,988",100%,-,-,No
All of Me,"$36,403,064","$36,403,064",100%,-,-,No
Places in the Heart,"$34,901,614","$34,901,614",100%,-,-,No
The Killing Fields,"$34,700,291","$34,700,291",100%,-,-,No
Friday the 13th: The Final Chapter,"$32,980,880","$32,980,880",100%,-,-,No
Conan the Destroyer,"$31,042,035","$31,042,035",100%,-,-,No
Dune,"$30,928,421","$30,925,690",100%,"$1,175",<0.1%,Yes
The Gods Must Be Crazy,"$30,031,783","$30,031,783",100%,-,-,No
Starman,"$28,744,356","$28,744,356",100%,-,-,No
The Last Starfighter,"$28,733,290","$28,733,290",100%,-,-,No
Cannonball Run II,"$28,078,073","$28,078,073",100%,-,-,No
Teachers,"$27,774,237","$27,774,237",100%,-,-,No
A Passage to India,"$27,187,653","$27,187,653",100%,-,-,No
