title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
E.T. the Extra-Terrestrial,"$359,198,112","$359,197,037",100%,-,-,Yes
Tootsie,"$177,200,000","$177,200,000",100%,-,-,No
An Officer and a Gentleman,"$129,795,554","$129,795,554",100%,-,-,No
Rocky III,"$124,146,897","$124,146,897",100%,-,-,No
Porky's,"$105,492,483","$105,492,483",100%,-,-,No
Star Trek II: The Wrath of Khan,"$78,913,882","$78,912,963",100%,-,-,Yes
48 Hrs.,"$78,868,508","$78,868,508",100%,-,-,No
Poltergeist,"$76,606,280","$76,606,280",100%,-,-,No
The Best Little Whorehouse in Texas,"$69,701,637","$69,701,637",100%,-,-,No
Annie,"$57,059,003","$57,059,003",100%,-,-,No
The Verdict,"$53,977,250","$53,977,250",100%,-,-,No
Gandhi,"$52,767,889","$52,767,889",100%,-,-,No
First Blood,"$47,212,904","$47,212,904",100%,-,-,No
The Toy,"$47,118,057","$47,118,057",100%,-,-,No
Firefox,"$46,708,276","$46,708,276",100%,-,-,No
The Dark Crystal,"$43,569,899","$40,577,001",93.1%,"$2,992,898",6.9%,Yes
Conan the Barbarian,"$39,565,475","$39,565,475",100%,-,-,No
The Sword and the Sorcerer,"$39,103,425","$39,103,425",100%,-,-,No
Best Friends,"$36,821,203","$36,821,203",100%,-,-,No
Richard Pryor: Live on the Sunset Strip,"$36,299,720","$36,299,720",100%,-,-,No
Friday the 13th: Part 3,"$34,583,256","$34,581,519",100%,-,-,Yes
Tron,"$33,001,374","$33,000,000",100%,-,-,Yes
Young Doctors in Love,"$30,688,860","$30,688,860",100%,-,-,No
Sophie's Choice,"$30,036,166","$30,036,000",100%,$166,<0.1%,Yes
The World According to Garp,"$29,712,172","$29,712,172",100%,-,-,No
Victor/Victoria,"$28,215,453","$28,215,453",100%,-,-,No
Blade Runner,"$27,596,338","$27,580,111",99.9%,-,-,Yes
Airplane II: The Sequel,"$27,150,534","$27,150,534",100%,-,-,No
Fast Times at Ridgemont High,"$27,092,880","$27,092,880",100%,-,-,No
Some Kind of Hero,"$23,671,186","$23,671,186",100%,-,-,No
Mad Max 2: The Road Warrior,"$23,667,907","$23,667,907",100%,-,-,No
Bambi 1982 Re-release,"$23,000,000","$23,000,000",100%,-,-,No
Pink Floyd: The Wall,"$22,244,537","$22,244,207",100%,-,-,Yes
Raiders of the Lost Ark 1982 Re-release,"$21,437,879","$21,437,879",100%,-,-,No
Things Are Tough All Over,"$21,134,374","$21,134,374",100%,-,-,No
Night Shift,"$21,095,638","$21,095,638",100%,-,-,No
Creepshow,"$21,029,383","$21,028,755",100%,-,-,Yes
Quest for Fire,"$20,959,585","$20,959,585",100%,-,-,No
The Man from Snowy River,"$20,659,423","$20,659,423",100%,-,-,No
Six Pack,"$20,225,989","$20,225,989",100%,-,-,No
My Favorite Year,"$20,123,620","$20,123,620",100%,-,-,No
The Thing,"$19,858,631","$19,857,465",100%,"$1,166",<0.1%,Yes
Deathtrap,"$19,282,134","$19,282,134",100%,-,-,No
Dead Men Don't Wear Plaid,"$18,196,170","$18,196,170",100%,-,-,No
Peter Pan 1982 Re-release,"$17,200,000","$17,200,000",100%,-,-,No
Zapped!,"$16,897,768","$16,897,768",100%,-,-,No
They Call Me Bruce,"$16,894,678","$16,894,678",100%,-,-,No
Death Wish II,"$16,100,000","$16,100,000",100%,-,-,No
Kiss Me Goodbye,"$15,782,759","$15,782,759",100%,-,-,No
Star Wars: Episode IV - A New Hope 1982 Re-release,"$15,476,785","$15,476,785",100%,-,-,No
Grease 2,"$15,171,476","$15,171,476",100%,-,-,No
The Secret of NIMH,"$14,665,733","$14,665,733",100%,-,-,No
Halloween III: Season of the Witch,"$14,400,000","$14,400,000",100%,-,-,No
Diner,"$14,099,953","$14,099,953",100%,-,-,No
The Beastmaster,"$14,056,528","$14,056,528",100%,-,-,No
Missing,"$14,000,000","$14,000,000",100%,-,-,No
Star Wars: Episode V - The Empire Strikes Back 1982 Re-release,"$13,276,241","$13,276,241",100%,-,-,No
Visiting Hours,"$13,258,670","$13,258,670",100%,-,-,No
Vice Squad,"$13,253,583","$13,253,583",100%,-,-,No
Author! Author!,"$13,111,101","$13,111,101",100%,-,-,No
