title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Barbie,"$1,445,638,421","$636,238,421",44%,"$809,400,000",56%,Yes
The Super Mario Bros. Movie,"$1,361,992,475","$574,934,330",42.2%,"$787,058,145",57.8%,Yes
Oppenheimer,"$974,584,960","$329,862,540",33.8%,"$644,722,420",66.2%,Yes
Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%,Yes
Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%,Yes
Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319",55.2%,"$309,304,156",44.8%,Yes
Wonka,"$632,302,312","$218,402,312",34.5%,"$413,900,000",65.5%,Yes
The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%,Yes
Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%,Yes
Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%,Yes
Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%,Yes
John Wick: Chapter 4,"$440,157,245","$187,131,806",42.5%,"$253,025,439",57.5%,Yes
Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%,Yes
Aquaman and the Lost Kingdom,"$434,381,226","$124,481,226",28.7%,"$309,900,000",71.3%,Yes
Meg 2: The Trench,"$397,700,317","$82,600,317",20.8%,"$315,100,000",79.2%,Yes
Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%,Yes
The Hunger Games: The Ballad of Songbirds & Snakes,"$337,371,917","$166,350,594",49.3%,"$171,021,323",50.7%,Yes
Migration,"$298,255,490","$127,306,285",42.7%,"$170,949,205",57.3%,Yes
Five Nights at Freddy's,"$291,493,620","$137,275,620",47.1%,"$154,218,000",52.9%,Yes
Creed III,"$276,148,615","$156,248,615",56.6%,"$119,900,000",43.4%,Yes
The Flash,"$271,333,313","$108,133,313",39.9%,"$163,200,000",60.1%,Yes
The Nun II,"$269,467,073","$86,267,073",32%,"$183,200,000",68%,Yes
Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.1%,"$80,900,000",30.9%,Yes
Wish,"$254,997,360","$63,973,821",25.1%,"$191,023,539",74.9%,Yes
Sound of Freedom,"$250,570,396","$184,178,046",73.5%,"$66,392,350",26.5%,Yes
Napoleon,"$221,044,520","$61,524,375",27.8%,"$159,520,145",72.2%,Yes
Anyone But You,"$219,737,477","$88,319,668",40.2%,"$131,417,809",59.8%,Yes
Trolls Band Together,"$209,333,014","$102,996,915",49.2%,"$106,336,099",50.8%,Yes
Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%,Yes
The Marvels,"$206,136,557","$84,500,223",41%,"$121,636,334",59%,Yes
PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.3%,"$137,000,000",67.7%,Yes
The Equalizer 3,"$191,067,560","$92,373,751",48.3%,"$98,693,809",51.7%,Yes
Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%,Yes
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%,Yes
The Boy and the Heron,"$173,703,449","$46,830,188",27%,"$126,873,261",73%,Yes
Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%,Yes
Killers of the Flower Moon,"$157,026,901","$68,026,901",43.3%,"$89,000,000",56.7%,Yes
Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%,Yes
The Exorcist: Believer,"$136,284,218","$65,537,395",48.1%,"$70,746,823",51.9%,Yes
Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%,Yes
Blue Beetle,"$130,788,072","$72,488,072",55.4%,"$58,300,000",44.6%,Yes
A Haunting in Venice,"$122,290,456","$42,471,412",34.7%,"$79,819,044",65.3%,Yes
