title,worldwide_gross,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,is_international
Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,Yes
The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.7%,"$700,900,000",73.3%,Yes
Guardians of the Galaxy,"$772,776,600","$333,176,600",43.1%,"$439,600,000",56.9%,Yes
Maleficent,"$758,410,378","$241,410,378",31.8%,"$517,000,000",68.2%,Yes
The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826",55.4%,Yes
X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.4%,"$512,124,166",68.6%,Yes
Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931",63.6%,Yes
Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.3%,"$502,098,977",70.7%,Yes
The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.6%,"$506,128,390",71.4%,Yes
Interstellar,"$681,070,397","$188,020,017",27.6%,"$493,050,380",72.4%,Yes
Big Hero 6,"$657,827,828","$222,527,828",33.8%,"$435,300,000",66.2%,Yes
How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595",71.5%,Yes
American Sniper,"$547,626,372","$350,126,372",63.9%,"$197,500,000",36.1%,Yes
Godzilla,"$524,976,069","$200,676,069",38.2%,"$324,300,000",61.8%,Yes
Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%,Yes
Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000",60.6%,Yes
The Lego Movie,"$468,060,692","$257,760,692",55.1%,"$210,300,000",44.9%,Yes
Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000",72.4%,Yes
Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710",77.6%,Yes
Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%,Yes
Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%,Yes
Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,Yes
Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,Yes
The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,Yes
300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%,Yes
22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539",42.1%,Yes
The Fault in Our Stars,"$307,166,834","$124,872,350",40.7%,"$182,294,484",59.3%,Yes
Divergent,"$288,885,818","$150,947,895",52.3%,"$137,937,923",47.7%,Yes
Paddington,"$282,370,135","$76,271,832",27%,"$206,098,303",73%,Yes
Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609",59.6%,Yes
Neighbors,"$270,665,134","$150,157,400",55.5%,"$120,507,734",44.5%,Yes
Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.2%,"$203,161,118",75.8%,Yes
Annabelle,"$257,047,661","$84,273,813",32.8%,"$172,773,848",67.2%,Yes
Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248",70.3%,Yes
RoboCop,"$242,688,965","$58,607,007",24.1%,"$184,081,958",75.9%,Yes
The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025",61%,Yes
Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000",58.6%,Yes
Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%,Yes
The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,Yes
Into the Woods,"$212,902,372","$128,002,372",60.1%,"$84,900,000",39.9%,Yes
Fury,"$211,817,906","$85,817,906",40.5%,"$126,000,000",59.5%,Yes
Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000",78.6%,Yes
The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203",57.3%,Yes
