Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"February 13-March 9, 2018",54 markets,"$700,059,566","$646,853,595","$1,346,913,161",tt1825683
2020 Re-release,"June 11-October 15, 2020",9 markets,"$367,000","$317,812","$729,993",tt1825683
