Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"July 11-March 1, 2020",56 markets,"$543,638,043","$1,113,305,351","$1,656,943,394",tt6105098
2020 Re-release,"July 23, 2020",EMEA,–,"$5,773,266","$5,773,266",tt6105098
2021 Re-release,,"APAC, EMEA",–,"$358,741","$362,399",tt6105098
