Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"April 1-17, 2015",68 markets,"$353,007,020","$1,162,040,651","$1,515,047,671",tt2820852
2020 Re-release,"June 18, 2020","APAC, EMEA",–,"$293,728","$294,786",tt2820852
