Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"April 25, 2012-April 26, 2020",60 markets,"$623,357,910","$895,455,078","$1,518,812,988",tt0848228
2020 Re-release,"March 1, 2020",Russia/CIS,–,"$2,527","$2,527",tt0848228
