Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"December 15-June 30, 2022",72 markets,"$804,793,477","$1,107,440,116","$1,912,233,593",tt10872600
2022 Re-release,"September 2-October 5, 2022",3 markets,"$9,321,593","$291,925","$9,613,518",tt10872600
Columbia 100th Anniversary Series,"April 15, 2024",Domestic,"$5,794,517",–,"$5,794,517",tt10872600
