Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"December 16-January 9, 2016",62 markets,"$936,662,225","$1,131,561,399","$2,068,223,624",tt2488496
2020 Re-release,"July 9-August 13, 2020","EMEA, APAC",–,"$230,525","$230,525",tt2488496
2021 Re-release,,"EMEA, APAC",–,"$1,067,551","$1,067,551",tt2488496
