Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"December 13-January 5, 2018",52 markets,"$620,181,382","$712,358,507","$1,332,539,889",tt2527336
2020 Re-release,"July 2-August 13, 2020","APAC, EMEA",–,"$158,941","$159,695",tt2527336
