Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"December 16-January 15, 2010",77 markets,"$749,766,139","$1,993,811,448","$2,743,577,587",tt0499549
2010 Special Edition,"August 26-October 13, 2011",50 markets,"$10,741,486","$34,097,062","$44,838,548",tt0499549
2020 Re-release,"August 20-December 4, 2020",APAC,–,"$1,281,204","$1,281,204",tt0499549
2021 Re-release,"March 12, 2021",China,–,"$57,995,770","$57,995,770",tt0499549
2022  Re-release,"September 21-30, 2022",47 markets,"$24,714,024","$51,298,893","$76,012,917",tt0499549
