Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"April 25-May 11, 2018",54 markets,"$678,815,482","$1,369,544,272","$2,048,359,754",tt4154756
2020 Re-release,"April 27, 2018-August 20, 2020",EMEA,–,–,"$3,795",tt4154756
