Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"June 10-August 5, 2015",66 markets,"$652,270,625","$1,018,130,012","$1,670,400,637",tt0369610
2020 Re-release,"August 20, 2020",New Zealand,–,$807,$807,tt0369610
2021 Re-release,,Domestic,"$1,136,000",–,"$1,136,000",tt0369610
