Release Group,Rollout,Markets,Domestic,International,Worldwide,ID
Original Release,"April 22, 2015-April 23, 2020",66 markets,"$459,005,868","$943,800,000","$1,402,805,868",tt2395427
2020 Re-release,"May 30-August 13, 2020","APAC, EMEA",–,"$3,672","$3,748",tt2395427
