date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 2004,New Year's Eve 2004,Friday,366,"$35,793,257",+2.9%,+93.9%,40,Meet the Fockers,"$12,140,180"
Dec 30 2004,,Thursday,365,"$34,785,671",+6.5%,+22.2%,39,Meet the Fockers,"$12,172,280"
Dec 29 2004,,Wednesday,364,"$32,660,802",-6%,+26.7%,39,Meet the Fockers,"$11,486,275"
Dec 28 2004,,Tuesday,363,"$34,752,459",-5.7%,+113.3%,37,Meet the Fockers,"$12,629,620"
Dec 27 2004,,Monday,362,"$36,868,944",-23.6%,+139%,37,Meet the Fockers,"$13,913,690"
Dec 26 2004,,Sunday,361,"$48,255,501",+1%,+76%,40,Meet the Fockers,"$19,419,360"
Dec 25 2004,Christmas Day 2004,Saturday,360,"$47,769,723",+3.3%,+86.3%,40,Meet the Fockers,"$19,542,490"
Dec 24 2004,,Friday,359,"$18,457,226",-35.2%,-39%,40,Meet the Fockers,"$7,159,130"
Dec 23 2004,,Thursday,358,"$28,471,440",+10.5%,+264.3%,39,Meet the Fockers,"$12,330,000"
Dec 22 2004,,Wednesday,357,"$25,771,034",+58.1%,+247.3%,39,Meet the Fockers,"$12,066,740"
Dec 21 2004,,Tuesday,356,"$16,296,427",+5.6%,+109%,37,A Series of Unfortunate Events,"$4,218,332"
Dec 20 2004,,Monday,355,"$15,429,077",-43.7%,+107.2%,37,A Series of Unfortunate Events,"$4,420,036"
Dec 19 2004,,Sunday,354,"$27,410,146",-26.8%,+11.6%,41,A Series of Unfortunate Events,"$8,348,562"
Dec 18 2004,,Saturday,353,"$37,432,437",+23.7%,-11.1%,41,A Series of Unfortunate Events,"$11,349,235"
Dec 17 2004,,Friday,352,"$30,269,931",+287.3%,-5.1%,41,A Series of Unfortunate Events,"$10,363,959"
Dec 16 2004,,Thursday,351,"$7,815,784",+5.3%,+5.6%,34,Ocean's Twelve,"$2,614,002"
Dec 15 2004,,Wednesday,350,"$7,420,420",-4.8%,-26.7%,34,Ocean's Twelve,"$2,611,236"
Dec 14 2004,,Tuesday,349,"$7,796,906",+4.7%,+51%,33,Ocean's Twelve,"$3,002,399"
Dec 13 2004,,Monday,348,"$7,447,502",-69.7%,+56.7%,33,Ocean's Twelve,"$3,019,362"
Dec 12 2004,,Sunday,347,"$24,555,790",-41.7%,+20.9%,35,Ocean's Twelve,"$8,683,880"
Dec 11 2004,,Saturday,346,"$42,086,876",+31.9%,+25.7%,35,Ocean's Twelve,"$15,730,244"
Dec 10 2004,,Friday,345,"$31,901,739",+331.2%,+46.5%,35,Ocean's Twelve,"$14,739,256"
Dec 9 2004,,Thursday,344,"$7,398,019",-26.9%,+26.6%,33,Blade: Trinity,"$2,902,225"
Dec 8 2004,,Wednesday,343,"$10,127,076",+96.1%,+76.7%,32,Blade: Trinity,"$5,521,319"
Dec 7 2004,,Tuesday,342,"$5,165,008",+8.7%,-16.4%,32,National Treasure,"$1,128,134"
Dec 6 2004,,Monday,341,"$4,751,407",-76.6%,-27.2%,32,National Treasure,"$1,107,220"
Dec 5 2004,,Sunday,340,"$20,306,794",-39.3%,-33.2%,34,National Treasure,"$4,276,042"
Dec 4 2004,,Saturday,339,"$33,478,862",+53.8%,-41.2%,34,National Treasure,"$7,666,947"
Dec 3 2004,,Friday,338,"$21,771,297",+272.6%,-63%,34,National Treasure,"$5,061,978"
Dec 2 2004,,Thursday,337,"$5,843,183",+1.9%,-81.8%,31,National Treasure,"$1,355,323"
Dec 1 2004,,Wednesday,336,"$5,732,768",-7.2%,-78.9%,32,National Treasure,"$1,367,414"
Nov 30 2004,,Tuesday,335,"$6,180,074",-5.3%,-50.2%,32,National Treasure,"$1,505,792"
Nov 29 2004,,Monday,334,"$6,525,616",-78.5%,-35.2%,31,National Treasure,"$1,608,974"
Nov 28 2004,,Sunday,333,"$30,395,811",-46.6%,-19.4%,33,National Treasure,"$6,518,163"
Nov 27 2004,,Saturday,332,"$56,940,909",-3.3%,-6.6%,33,National Treasure,"$12,689,604"
Nov 26 2004,,Friday,331,"$58,878,544",+83.2%,+46.1%,34,National Treasure,"$12,949,150"
Nov 25 2004,Thanksgiving 2004,Thursday,330,"$32,137,151",+18.3%,+385.5%,34,National Treasure,"$7,810,116"
Nov 24 2004,,Wednesday,329,"$27,174,798",+119%,+313.4%,34,National Treasure,"$5,647,775"
Nov 23 2004,,Tuesday,328,"$12,409,673",+23.2%,+71.9%,34,National Treasure,"$3,526,682"
Nov 22 2004,,Monday,327,"$10,069,722",-73.3%,+43.3%,34,National Treasure,"$2,986,831"
Nov 21 2004,,Sunday,326,"$37,706,472",-38.1%,+8.6%,37,National Treasure,"$9,435,319"
Nov 20 2004,,Saturday,325,"$60,961,047",+51.2%,+6.9%,37,National Treasure,"$14,588,162"
Nov 19 2004,,Friday,324,"$40,306,000",+508.9%,+3.3%,38,National Treasure,"$11,119,073"
Nov 18 2004,,Thursday,323,"$6,619,322",+0.7%,-71%,37,The Incredibles,"$1,850,071"
Nov 17 2004,,Wednesday,322,"$6,572,834",-9%,-44.1%,37,The Incredibles,"$1,817,795"
Nov 16 2004,,Tuesday,321,"$7,219,231",+2.7%,-2.4%,36,The Incredibles,"$1,967,299"
Nov 15 2004,,Monday,320,"$7,026,318",-79.8%,-9.5%,36,The Incredibles,"$2,140,624"
