date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 1993,New Year's Eve 1993,Friday,365,"$1,148,611",+2.1%,+295.9%,3,Batman: Mask of the Phantasm,"$469,816"
Dec 30 1993,,Thursday,364,"$1,125,248",+7%,+250.5%,3,Schindler's List,"$464,166"
Dec 29 1993,,Wednesday,363,"$1,051,873",-5.5%,+298.5%,3,Batman: Mask of the Phantasm,"$418,529"
Dec 28 1993,,Tuesday,362,"$1,113,250",-0.5%,+328.9%,3,Batman: Mask of the Phantasm,"$470,454"
Dec 27 1993,,Monday,361,"$1,118,796",-21.8%,+363.4%,3,Batman: Mask of the Phantasm,"$478,589"
Dec 26 1993,,Sunday,360,"$1,430,868",+14.1%,+192.6%,3,Batman: Mask of the Phantasm,"$632,841"
Dec 25 1993,Christmas Day 1993,Saturday,359,"$1,253,992",-83.6%,+137.1%,3,Batman: Mask of the Phantasm,"$557,134"
Dec 24 1993,,Friday,358,"$290,120",-9.6%,-12.9%,2,Schindler's List,"$189,200"
Dec 23 1993,,Thursday,357,"$321,065",+21.6%,+63.6%,2,Schindler's List,"$168,815"
Dec 22 1993,,Wednesday,356,"$263,936",+1.7%,+22.7%,2,Schindler's List,"$136,886"
Dec 21 1993,,Tuesday,355,"$259,586",+7.5%,+367.6%,2,Schindler's List,"$135,486"
Dec 20 1993,,Monday,354,"$241,426",-50.6%,+330.9%,2,Schindler's List,"$131,911"
Dec 19 1993,,Sunday,353,"$488,984",-7.6%,+124.2%,2,Schindler's List,"$246,434"
Dec 18 1993,,Saturday,352,"$528,966",+58.7%,+61.7%,2,Jurassic Park,"$286,650"
Dec 17 1993,,Friday,351,"$333,261",+69.8%,+67.2%,2,Schindler's List,"$167,886"
Dec 16 1993,,Thursday,350,"$196,242",-8.8%,+182.4%,2,Schindler's List,"$127,937"
Dec 15 1993,,Wednesday,349,"$215,130",+287.6%,+195.2%,2,Schindler's List,"$150,690"
Dec 14 1993,,Tuesday,348,"$55,510",-0.9%,-24.5%,1,Jurassic Park,"$55,510"
Dec 13 1993,,Monday,347,"$56,025",-74.3%,-19.6%,1,Jurassic Park,"$56,025"
Dec 12 1993,,Sunday,346,"$218,080",-33.3%,-30.3%,1,Jurassic Park,"$218,080"
