date,occasion,day_of_week,day_number,top_10_gross,top_10_gross_change_yesterday,top_10_gross_change_week,number_releases,movie_title,gross
Dec 31 2023,New Year's Eve 2023,Sunday,365,"$23,078,184",-42.4%,+35.6%,43,Wonka,"$5,208,897"
Dec 30 2023,,Saturday,364,"$40,050,370",+7.2%,+38%,44,Wonka,"$8,637,841"
Dec 29 2023,,Friday,363,"$37,348,409",+12.3%,-6.4%,44,Wonka,"$8,630,268"
Dec 28 2023,,Thursday,362,"$33,261,609",-1.9%,+258.3%,46,Wonka,"$7,988,504"
Dec 27 2023,,Wednesday,361,"$33,892,628",-18.9%,+251.5%,45,Wonka,"$8,135,639"
Dec 26 2023,,Tuesday,360,"$41,788,862",-28.6%,+259.9%,45,Wonka,"$8,970,413"
Dec 25 2023,Christmas Day 2023,Monday,359,"$58,545,776",+34.6%,-22.8%,44,The Color Purple,"$18,151,050"
Dec 24 2023,,Sunday,358,"$17,021,324",-41.3%,-15.9%,40,Aquaman and the Lost Kingdom,"$5,001,421"
Dec 23 2023,,Saturday,357,"$29,021,089",-27.2%,+10.6%,41,Aquaman and the Lost Kingdom,"$9,003,036"
Dec 22 2023,,Friday,356,"$39,891,139",+329.7%,+77%,41,Aquaman and the Lost Kingdom,"$13,681,754"
Dec 21 2023,,Thursday,355,"$9,282,692",-3.7%,+101.3%,40,Wonka,"$4,201,613"
Dec 20 2023,,Wednesday,354,"$9,643,216",-16.9%,+79.5%,40,Wonka,"$4,387,803"
Dec 19 2023,,Tuesday,353,"$11,609,957",+40.3%,+70.5%,39,Wonka,"$5,904,173"
Dec 18 2023,,Monday,352,"$8,274,749",-59.1%,+50.5%,39,Wonka,"$4,003,328"
Dec 17 2023,,Sunday,351,"$20,231,817",-22.9%,+15.3%,40,Wonka,"$10,567,353"
Dec 16 2023,,Saturday,350,"$26,232,063",+16.4%,+10.4%,40,Wonka,"$14,025,741"
Dec 15 2023,,Friday,349,"$22,535,134",+388.8%,+25%,39,Wonka,"$14,412,706"
Dec 14 2023,,Thursday,348,"$4,610,227",-14.2%,-33.4%,39,The Boy and the Heron,"$979,407"
Dec 13 2023,,Wednesday,347,"$5,373,144",-21.1%,-13.1%,37,The Boy and the Heron,"$1,310,644"
Dec 12 2023,,Tuesday,346,"$6,811,328",+23.9%,-18%,36,The Boy and the Heron,"$1,473,215"
Dec 11 2023,,Monday,345,"$5,496,743",-68.7%,-8.6%,36,The Boy and the Heron,"$1,195,695"
Dec 10 2023,,Sunday,344,"$17,552,859",-26.1%,-22.2%,39,The Boy and the Heron,"$3,366,239"
Dec 9 2023,,Saturday,343,"$23,761,939",+31.8%,-25.4%,39,The Boy and the Heron,"$4,042,880"
Dec 8 2023,,Friday,342,"$18,025,028",+160.2%,-44.2%,39,The Boy and the Heron,"$5,602,603"
Dec 7 2023,,Thursday,341,"$6,926,918",+12%,+31.2%,34,Godzilla Minus One,"$1,279,834"
Dec 6 2023,,Wednesday,340,"$6,186,390",-25.6%,+5%,31,Godzilla Minus One,"$1,361,343"
Dec 5 2023,,Tuesday,339,"$8,310,039",+38.1%,-4.8%,31,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,798,922"
Dec 4 2023,,Monday,338,"$6,016,211",-73.3%,-3.9%,31,Godzilla Minus One,"$1,225,396"
Dec 3 2023,,Sunday,337,"$22,571,008",-29.1%,-9.7%,33,Renaissance: A Film by Beyoncé,"$4,156,694"
Dec 2 2023,,Saturday,336,"$31,833,495",-1.4%,-22.1%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,045,644"
Dec 1 2023,,Friday,335,"$32,294,447",+511.5%,-25.7%,31,Renaissance: A Film by Beyoncé,"$11,619,984"
Nov 30 2023,,Thursday,334,"$5,281,445",-10.4%,-75.5%,29,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,699,994"
Nov 29 2023,,Wednesday,333,"$5,893,355",-32.5%,-82.5%,28,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,846,120"
Nov 28 2023,,Tuesday,332,"$8,731,447",+39.5%,-47.4%,28,The Hunger Games: The Ballad of Songbirds & Snakes,"$2,682,723"
Nov 27 2023,,Monday,331,"$6,261,293",-75%,-51.7%,28,The Hunger Games: The Ballad of Songbirds & Snakes,"$1,913,274"
Nov 26 2023,,Sunday,330,"$24,998,606",-38.8%,-14.8%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,607,330"
Nov 25 2023,,Saturday,329,"$40,847,716",-6.1%,-2.1%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$11,099,872"
Nov 24 2023,,Friday,328,"$43,491,965",+102%,+9.3%,32,The Hunger Games: The Ballad of Songbirds & Snakes,"$11,335,315"
Nov 23 2023,Thanksgiving 2023,Thursday,327,"$21,534,631",-36%,+545.1%,33,The Hunger Games: The Ballad of Songbirds & Snakes,"$5,882,381"
Nov 22 2023,,Wednesday,326,"$33,657,377",+102.9%,+678.7%,35,Wish,"$8,117,419"
Nov 21 2023,,Tuesday,325,"$16,590,091",+28%,+140.4%,33,The Hunger Games: The Ballad of Songbirds & Snakes,"$6,521,266"
Nov 20 2023,,Monday,324,"$12,965,366",-55.8%,+142.5%,35,The Hunger Games: The Ballad of Songbirds & Snakes,"$5,266,808"
Nov 19 2023,,Sunday,323,"$29,342,997",-29.7%,+54.1%,36,The Hunger Games: The Ballad of Songbirds & Snakes,"$10,907,171"
