Country,Release Date,Opening,Gross,Region,ID
Domestic,"Apr 26, 2019","$357,115,007","$858,373,000",Domestic,tt4154796
United Kingdom,"Apr 25, 2019","$55,981,204","$115,000,524","Europe, Middle East, and Africa",tt4154796
Germany,"Apr 24, 2019","$27,108,549","$63,290,219","Europe, Middle East, and Africa",tt4154796
France,"Apr 24, 2019","$24,971,474","$62,191,621","Europe, Middle East, and Africa",tt4154796
Italy,"Apr 24, 2019","$19,570,574","$34,145,771","Europe, Middle East, and Africa",tt4154796
Spain,"Apr 26, 2019","$13,440,594","$32,666,859","Europe, Middle East, and Africa",tt4154796
Netherlands,"Apr 24, 2019","$5,924,591","$15,066,568","Europe, Middle East, and Africa",tt4154796
United Arab Emirates,"Apr 25, 2019","$5,935,919","$12,783,189","Europe, Middle East, and Africa",tt4154796
Sweden,"Apr 24, 2019","$4,937,120","$11,757,702","Europe, Middle East, and Africa",tt4154796
Poland,"Apr 25, 2019","$4,676,158","$10,558,455","Europe, Middle East, and Africa",tt4154796
Denmark,"Apr 24, 2019","$4,223,121","$10,254,418","Europe, Middle East, and Africa",tt4154796
Switzerland,"Apr 24, 2019","$4,061,031","$8,786,816","Europe, Middle East, and Africa",tt4154796
Belgium,"Apr 24, 2019","$3,141,578","$8,682,740","Europe, Middle East, and Africa",tt4154796
Austria,"Apr 24, 2019","$3,563,042","$8,381,072","Europe, Middle East, and Africa",tt4154796
Norway,"Apr 24, 2019","$2,563,454","$8,161,984","Europe, Middle East, and Africa",tt4154796
Türkiye,"Apr 26, 2019","$3,027,473","$7,920,068","Europe, Middle East, and Africa",tt4154796
South Africa,"Apr 26, 2019","$2,374,923","$7,167,751","Europe, Middle East, and Africa",tt4154796
Czech Republic,"Apr 25, 2019","$2,534,713","$6,610,971","Europe, Middle East, and Africa",tt4154796
Ukraine,"Apr 25, 2019","$1,935,477","$5,971,461","Europe, Middle East, and Africa",tt4154796
Finland,"Apr 24, 2019","$2,137,080","$4,942,382","Europe, Middle East, and Africa",tt4154796
Hungary,"Apr 25, 2019","$1,869,661","$4,500,776","Europe, Middle East, and Africa",tt4154796
Portugal,"Apr 25, 2019","$1,709,377","$4,296,991","Europe, Middle East, and Africa",tt4154796
Greece,"Apr 25, 2019","$719,293","$4,175,061","Europe, Middle East, and Africa",tt4154796
Romania,"Apr 26, 2019","$903,796","$3,376,295","Europe, Middle East, and Africa",tt4154796
Slovakia,"Apr 25, 2019","$847,357","$1,990,548","Europe, Middle East, and Africa",tt4154796
Egypt,"Apr 26, 2019",–,"$1,754,341","Europe, Middle East, and Africa",tt4154796
Nigeria,"Apr 26, 2019","$523,126","$1,360,313","Europe, Middle East, and Africa",tt4154796
Croatia,"Apr 25, 2019","$545,732","$1,144,369","Europe, Middle East, and Africa",tt4154796
Serbia and Montenegro,"Apr 25, 2019",–,"$804,153","Europe, Middle East, and Africa",tt4154796
Iceland,"Apr 26, 2019","$210,341","$749,185","Europe, Middle East, and Africa",tt4154796
Lithuania,"Apr 26, 2019","$250,594","$627,672","Europe, Middle East, and Africa",tt4154796
Slovenia,"Apr 25, 2019","$237,429","$611,641","Europe, Middle East, and Africa",tt4154796
Bulgaria,"Apr 26, 2019","$442,037","$128,072","Europe, Middle East, and Africa",tt4154796
Brazil,"Apr 25, 2019","$26,363,627","$85,672,282",Latin America,tt4154796
Mexico,"Apr 26, 2019","$31,905,293","$77,594,943",Latin America,tt4154796
Chile,"Apr 25, 2019","$6,501,934","$18,864,424",Latin America,tt4154796
Argentina,"Apr 25, 2019","$6,809,670","$17,729,729",Latin America,tt4154796
Colombia,"Apr 25, 2019","$6,115,286","$17,689,425",Latin America,tt4154796
Bolivia,"Apr 25, 2019","$1,136,801","$3,617,750",Latin America,tt4154796
Paraguay,"Apr 25, 2019","$624,968","$1,564,327",Latin America,tt4154796
Uruguay,"Apr 25, 2019","$594,720","$1,366,731",Latin America,tt4154796
Venezuela,"Apr 26, 2019","$149,742","$1,001,684",Latin America,tt4154796
South Korea,"Apr 24, 2020",–,"$105,483,265",Asia Pacific,tt4154796
India,"Apr 26, 2019","$26,757,337","$62,678,476",Asia Pacific,tt4154796
Australia,"Apr 24, 2019","$24,010,504","$59,113,013",Asia Pacific,tt4154796
Japan,"Apr 26, 2019","$13,176,307","$55,304,132",Asia Pacific,tt4154796
Russia/CIS,"Apr 29, 2019","$15,411,511","$46,006,725",Asia Pacific,tt4154796
Indonesia,"Apr 24, 2019","$15,427,619","$34,775,278",Asia Pacific,tt4154796
Philippines,"Apr 24, 2019","$17,977,175","$32,839,486",Asia Pacific,tt4154796
Taiwan,"Apr 24, 2019","$12,847,762","$29,386,075",Asia Pacific,tt4154796
Hong Kong,"Apr 24, 2019",–,"$29,330,722",Asia Pacific,tt4154796
Thailand,"Apr 24, 2019","$14,165,523","$27,230,829",Asia Pacific,tt4154796
Malaysia,"Apr 24, 2019","$10,059,257","$21,123,193",Asia Pacific,tt4154796
Singapore,"Apr 24, 2019","$5,517,581","$14,346,820",Asia Pacific,tt4154796
Vietnam,"Apr 26, 2019","$2,971,259","$11,703,305",Asia Pacific,tt4154796
New Zealand,"Apr 24, 2019","$4,039,510","$8,555,033",Asia Pacific,tt4154796
China,"Apr 24, 2019","$175,961,330","$632,100,298",China,tt4154796
