Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,2,"$700,426,566",6,Domestic,tt1825683
China,1,"$105,062,459",155,China,tt1825683
United Kingdom,2,"$70,750,817",56,EMEA,tt1825683
France,1,"$33,114,492",123,EMEA,tt1825683
Germany,1,"$23,392,484",211,EMEA,tt1825683
Netherlands,2,"$9,975,474",71,EMEA,tt1825683
Spain,1,"$9,716,813",428,EMEA,tt1825683
Italy,1,"$8,953,417",434,EMEA,tt1825683
South Africa,2,"$8,004,589",1,EMEA,tt1825683
Sweden,1,"$7,440,220",72,EMEA,tt1825683
United Arab Emirates,2,"$6,986,738",26,EMEA,tt1825683
Denmark,1,"$4,801,806",109,EMEA,tt1825683
Norway,2,"$4,253,638",131,EMEA,tt1825683
Belgium,1,"$3,851,510",182,EMEA,tt1825683
Switzerland,1,"$3,840,989",126,EMEA,tt1825683
Poland,1,"$3,601,530",281,EMEA,tt1825683
Austria,1,"$2,839,865",218,EMEA,tt1825683
Türkiye,2,"$2,589,746",322,EMEA,tt1825683
Ukraine,1,"$2,203,288",108,EMEA,tt1825683
Finland,1,"$2,202,472",156,EMEA,tt1825683
Czech Republic,1,"$2,104,610",136,EMEA,tt1825683
Portugal,2,"$2,099,563",156,EMEA,tt1825683
Romania,1,"$1,927,259",39,EMEA,tt1825683
Hungary,1,"$1,565,256",123,EMEA,tt1825683
Greece,1,"$1,236,996",389,EMEA,tt1825683
Slovakia,1,"$690,443",125,EMEA,tt1825683
Bulgaria,1,"$640,668",112,EMEA,tt1825683
Iceland,1,"$499,124",64,EMEA,tt1825683
Croatia,1,"$446,454",135,EMEA,tt1825683
Serbia and Montenegro,1,"$309,632",124,EMEA,tt1825683
Lithuania,1,"$232,647",290,EMEA,tt1825683
Slovenia,1,"$213,891",290,EMEA,tt1825683
South Korea,1,"$42,859,368",82,APAC,tt1825683
Australia,2,"$31,976,130",47,APAC,tt1825683
Russia/CIS,1,"$19,265,532",156,APAC,tt1825683
Japan,1,"$14,655,352",710,APAC,tt1825683
Taiwan,1,"$12,778,780",29,APAC,tt1825683
Indonesia,1,"$12,448,743",25,APAC,tt1825683
India,1,"$10,668,490",187,APAC,tt1825683
Malaysia,1,"$10,251,556",19,APAC,tt1825683
Philippines,1,"$9,743,847",23,APAC,tt1825683
Thailand,1,"$8,996,694",16,APAC,tt1825683
Hong Kong,1,"$8,636,071",37,APAC,tt1825683
Singapore,1,"$7,429,588",15,APAC,tt1825683
New Zealand,1,"$4,798,352",46,APAC,tt1825683
Brazil,1,"$36,942,425",26,LATAM,tt1825683
Mexico,1,"$28,322,788",65,LATAM,tt1825683
Colombia,1,"$6,797,886",48,LATAM,tt1825683
Chile,1,"$4,942,845",62,LATAM,tt1825683
Argentina,1,"$3,059,469",272,LATAM,tt1825683
Bolivia,1,"$1,312,260",37,LATAM,tt1825683
Venezuela,1,"$1,023,582",505,LATAM,tt1825683
Paraguay,1,"$376,976",25,LATAM,tt1825683
Uruguay,1,"$294,091",173,LATAM,tt1825683
