Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,2,"$653,406,625",10,Domestic,tt0369610
China,1,"$228,740,000",42,China,tt0369610
United Kingdom,1,"$99,669,369",20,EMEA,tt0369610
Germany,1,"$48,499,739",58,EMEA,tt0369610
France,1,"$41,284,758",77,EMEA,tt0369610
Spain,1,"$24,901,213",56,EMEA,tt0369610
Italy,1,"$16,723,119",156,EMEA,tt0369610
Netherlands,1,"$11,787,698",51,EMEA,tt0369610
Belgium,1,"$8,420,048",36,EMEA,tt0369610
Sweden,1,"$8,397,157",51,EMEA,tt0369610
United Arab Emirates,1,"$7,818,199",20,EMEA,tt0369610
Norway,1,"$5,962,622",65,EMEA,tt0369610
Austria,1,"$4,672,444",85,EMEA,tt0369610
Switzerland (German),1,"$4,111,999",14,EMEA,tt0369610
Poland,1,"$3,606,364",280,EMEA,tt0369610
South Africa,1,"$3,092,598",56,EMEA,tt0369610
Israel,1,"$2,687,729",69,EMEA,tt0369610
Türkiye,1,"$2,633,690",320,EMEA,tt0369610
Czech Republic,1,"$2,294,532",122,EMEA,tt0369610
Portugal,1,"$2,230,384",130,EMEA,tt0369610
Switzerland (French),1,"$2,222,567",4,EMEA,tt0369610
Switzerland,1,"$2,139,577",270,EMEA,tt0369610
Hungary,1,"$2,051,915",68,EMEA,tt0369610
Ukraine,1,"$1,807,789",167,EMEA,tt0369610
Denmark,1,"$1,725,562",436,EMEA,tt0369610
Greece,1,"$1,326,531",352,EMEA,tt0369610
Romania,1,"$1,186,733",93,EMEA,tt0369610
Bulgaria,1,"$804,547",69,EMEA,tt0369610
Slovakia,1,"$790,600",94,EMEA,tt0369610
Lebanon,1,"$612,643",63,EMEA,tt0369610
Egypt,1,"$608,315",97,EMEA,tt0369610
Qatar,1,"$592,514",22,EMEA,tt0369610
Estonia,1,"$420,000",49,EMEA,tt0369610
Croatia,1,"$386,000",175,EMEA,tt0369610
Iceland,1,"$379,266",109,EMEA,tt0369610
Jordan,1,"$378,419",12,EMEA,tt0369610
Slovenia,1,"$376,237",122,EMEA,tt0369610
Latvia,1,"$314,028",69,EMEA,tt0369610
Lithuania,1,"$275,223",238,EMEA,tt0369610
Kenya,1,"$207,156",19,EMEA,tt0369610
Serbia and Montenegro,1,"$168,402",268,EMEA,tt0369610
Nigeria,1,"$80,725",155,EMEA,tt0369610
Oman,1,"$51,410",155,EMEA,tt0369610
Japan,1,"$74,593,781",69,APAC,tt0369610
South Korea,1,"$39,007,329",99,APAC,tt0369610
Australia,1,"$38,978,832",20,APAC,tt0369610
Taiwan,1,"$26,732,760",4,APAC,tt0369610
Russia/CIS,1,"$23,420,356",108,APAC,tt0369610
India,1,"$22,212,557",56,APAC,tt0369610
Hong Kong,1,"$13,142,261",12,APAC,tt0369610
Malaysia,1,"$11,517,722",13,APAC,tt0369610
Philippines,1,"$11,121,208",13,APAC,tt0369610
Singapore,1,"$8,766,526",10,APAC,tt0369610
Thailand,1,"$8,216,017",21,APAC,tt0369610
New Zealand,2,"$5,101,639",41,APAC,tt0369610
Vietnam,1,"$4,400,147",34,APAC,tt0369610
Mexico,1,"$42,105,404",23,LATAM,tt0369610
Brazil,1,"$29,077,565",51,LATAM,tt0369610
Argentina,1,"$15,418,925",17,LATAM,tt0369610
Venezuela,1,"$15,076,582",8,LATAM,tt0369610
Chile,1,"$6,077,033",42,LATAM,tt0369610
Colombia,1,"$6,000,962",65,LATAM,tt0369610
Peru,1,"$4,637,964",41,LATAM,tt0369610
Ecuador,1,"$2,777,068",29,LATAM,tt0369610
Bolivia,1,"$1,499,245",25,LATAM,tt0369610
Uruguay,1,"$836,947",27,LATAM,tt0369610
