Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,3,"$785,221,649",4,Domestic,tt0499549
China,3,"$262,125,748",29,China,tt0499549
France,3,"$181,757,632",2,EMEA,tt0499549
Germany,3,"$166,725,521",1,EMEA,tt0499549
United Kingdom,3,"$153,841,911",4,EMEA,tt0499549
Spain,3,"$112,751,412",1,EMEA,tt0499549
Italy,2,"$96,634,896",1,EMEA,tt0499549
Poland,3,"$32,164,753",1,EMEA,tt0499549
Netherlands,3,"$27,874,635",3,EMEA,tt0499549
Denmark,3,"$25,443,329",1,EMEA,tt0499549
Sweden,2,"$24,700,107",2,EMEA,tt0499549
Switzerland,3,"$21,025,501",2,EMEA,tt0499549
Türkiye,3,"$18,056,907",14,EMEA,tt0499549
Belgium,3,"$16,717,407",3,EMEA,tt0499549
Austria,2,"$16,550,317",2,EMEA,tt0499549
Norway,3,"$15,118,546",2,EMEA,tt0499549
Greece,1,"$14,158,758",1,EMEA,tt0499549
Israel,1,"$13,488,099",1,EMEA,tt0499549
Czech Republic,2,"$12,767,733",2,EMEA,tt0499549
Portugal,3,"$10,496,171",1,EMEA,tt0499549
Hungary,3,"$9,517,297",1,EMEA,tt0499549
Ukraine,2,"$8,709,181",1,EMEA,tt0499549
United Arab Emirates,3,"$8,161,712",16,EMEA,tt0499549
South Africa,3,"$7,595,181",2,EMEA,tt0499549
Romania,3,"$6,723,773",2,EMEA,tt0499549
Finland,3,"$6,134,035",13,EMEA,tt0499549
Russia,1,"$4,964,889",32,EMEA,tt0499549
Bulgaria,2,"$4,091,161",1,EMEA,tt0499549
Slovakia,2,"$3,045,978",2,EMEA,tt0499549
Serbia and Montenegro,2,"$2,639,603",2,EMEA,tt0499549
Egypt,2,"$2,382,647",7,EMEA,tt0499549
Croatia,3,"$2,172,676",3,EMEA,tt0499549
Slovenia,2,"$1,917,323",1,EMEA,tt0499549
Kuwait,1,"$1,784,632",7,EMEA,tt0499549
Lebanon,1,"$1,690,463",10,EMEA,tt0499549
Lithuania,2,"$1,636,819",4,EMEA,tt0499549
Latvia,2,"$1,554,186",1,EMEA,tt0499549
Estonia,1,"$1,261,587",1,EMEA,tt0499549
Iceland,2,"$1,172,819",1,EMEA,tt0499549
Qatar,1,"$1,148,698",7,EMEA,tt0499549
Bahrain,1,"$1,034,364",5,EMEA,tt0499549
Jordan,1,"$987,790",3,EMEA,tt0499549
East Africa,2,"$808,639",5,EMEA,tt0499549
Oman,1,"$207,809",37,EMEA,tt0499549
Nigeria,1,"$132,847",88,EMEA,tt0499549
Ghana,1,"$59,590",27,EMEA,tt0499549
Japan,3,"$174,212,285",7,APAC,tt0499549
Russia/CIS,2,"$117,167,563",1,APAC,tt0499549
South Korea,3,"$112,672,707",4,APAC,tt0499549
Australia,3,"$106,654,050",1,APAC,tt0499549
India,3,"$32,141,722",28,APAC,tt0499549
Taiwan,3,"$28,377,251",3,APAC,tt0499549
Hong Kong,3,"$24,792,334",2,APAC,tt0499549
New Zealand,4,"$12,789,647",3,APAC,tt0499549
Thailand,2,"$9,765,830",11,APAC,tt0499549
Singapore,4,"$8,885,187",8,APAC,tt0499549
Malaysia,3,"$8,098,492",29,APAC,tt0499549
Indonesia,4,"$6,827,483",66,APAC,tt0499549
Philippines,3,"$6,318,126",51,APAC,tt0499549
Vietnam,3,"$2,992,411",73,APAC,tt0499549
Pakistan,2,"$417,493",20,APAC,tt0499549
Mongolia,2,"$188,558",13,APAC,tt0499549
Cambodia,1,"$9,794",23,APAC,tt0499549
Brazil,3,"$59,762,732",7,LATAM,tt0499549
Mexico,3,"$47,455,575",16,LATAM,tt0499549
Argentina,3,"$15,182,709",19,LATAM,tt0499549
Colombia,3,"$14,268,475",5,LATAM,tt0499549
Chile,3,"$11,792,223",10,LATAM,tt0499549
Venezuela,2,"$9,367,200",29,LATAM,tt0499549
Central America,1,"$5,536,710",8,LATAM,tt0499549
Peru,2,"$5,447,854",24,LATAM,tt0499549
Ecuador,2,"$2,712,812",32,LATAM,tt0499549
Bolivia,1,"$1,454,156",28,LATAM,tt0499549
Dominican Republic,1,"$1,440,545",1,LATAM,tt0499549
Uruguay,1,"$1,274,650",10,LATAM,tt0499549
Trinidad & Tobago,2,"$771,174",12,LATAM,tt0499549
Jamaica,1,"$491,669",5,LATAM,tt0499549
Paraguay,1,"$120,000",89,LATAM,tt0499549
