Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$543,638,043",16,Domestic,tt6105098
China,1,"$120,446,631",124,China,tt6105098
United Kingdom,2,"$104,528,303",16,EMEA,tt6105098
France,1,"$80,583,013",8,EMEA,tt6105098
Germany,1,"$56,915,304",43,EMEA,tt6105098
Italy,1,"$42,915,624",10,EMEA,tt6105098
Spain,1,"$41,501,866",6,EMEA,tt6105098
Netherlands,1,"$34,440,375",1,EMEA,tt6105098
Belgium,1,"$15,635,833",4,EMEA,tt6105098
Sweden,1,"$15,401,936",19,EMEA,tt6105098
Poland,1,"$12,495,443",24,EMEA,tt6105098
Switzerland,1,"$10,045,492",15,EMEA,tt6105098
Austria,1,"$9,455,563",9,EMEA,tt6105098
United Arab Emirates,1,"$9,159,125",11,EMEA,tt6105098
Portugal,2,"$8,520,602",2,EMEA,tt6105098
Denmark,1,"$7,596,053",44,EMEA,tt6105098
Norway,1,"$7,422,411",43,EMEA,tt6105098
South Africa,1,"$7,234,264",3,EMEA,tt6105098
Ukraine,2,"$5,108,352",7,EMEA,tt6105098
Finland,1,"$4,319,595",43,EMEA,tt6105098
Czech Republic,1,"$2,721,308",90,EMEA,tt6105098
Türkiye,1,"$2,498,385",334,EMEA,tt6105098
Hungary,1,"$2,056,440",67,EMEA,tt6105098
Romania,1,"$1,899,623",42,EMEA,tt6105098
Greece,1,"$1,736,342",231,EMEA,tt6105098
Bulgaria,2,"$1,650,942",9,EMEA,tt6105098
Slovakia,1,"$1,249,366",35,EMEA,tt6105098
Croatia,1,"$1,130,420",18,EMEA,tt6105098
Serbia and Montenegro,1,"$990,609",15,EMEA,tt6105098
Lithuania,2,"$975,240",24,EMEA,tt6105098
Slovenia,1,"$806,685",17,EMEA,tt6105098
Iceland,1,"$638,288",33,EMEA,tt6105098
Brazil,1,"$69,484,000",3,LATAM,tt6105098
Mexico,1,"$51,832,021",11,LATAM,tt6105098
Argentina,1,"$15,248,914",18,LATAM,tt6105098
Colombia,1,"$12,880,735",9,LATAM,tt6105098
Chile,1,"$12,118,399",8,LATAM,tt6105098
Uruguay,1,"$1,080,997",16,LATAM,tt6105098
Venezuela,1,"$995,488",517,LATAM,tt6105098
Paraguay,1,"$638,722",7,LATAM,tt6105098
Bolivia,1,"$22,055","1,362",LATAM,tt6105098
Japan,1,"$62,672,822",94,APAC,tt6105098
Australia,2,"$45,183,380",14,APAC,tt6105098
Russia/CIS,1,"$40,501,882",26,APAC,tt6105098
South Korea,1,"$35,006,802",125,APAC,tt6105098
India,1,"$26,298,523",39,APAC,tt6105098
Philippines,1,"$10,271,829",16,APAC,tt6105098
Taiwan,1,"$10,094,509",54,APAC,tt6105098
Indonesia,1,"$9,067,447",47,APAC,tt6105098
New Zealand,2,"$8,710,885",9,APAC,tt6105098
Malaysia,1,"$6,206,466",62,APAC,tt6105098
Thailand,1,"$5,205,083",53,APAC,tt6105098
Hong Kong,1,"$5,169,696",132,APAC,tt6105098
Vietnam,1,"$3,966,338",45,APAC,tt6105098
Singapore,1,"$3,948,881",99,APAC,tt6105098
