Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,3,"$814,839,385",3,Domestic,tt10872600
United Kingdom,1,"$127,429,348",6,EMEA,tt10872600
France,1,"$70,218,748",12,EMEA,tt10872600
Germany,1,"$46,371,945",63,EMEA,tt10872600
Italy,2,"$28,275,577",41,EMEA,tt10872600
Spain,1,"$28,193,771",37,EMEA,tt10872600
Sweden,1,"$13,938,119",23,EMEA,tt10872600
Netherlands,1,"$12,476,048",43,EMEA,tt10872600
Belgium,1,"$12,444,892",5,EMEA,tt10872600
United Arab Emirates,1,"$12,290,131",3,EMEA,tt10872600
Switzerland,1,"$10,640,277",13,EMEA,tt10872600
Denmark,1,"$10,035,270",24,EMEA,tt10872600
Poland,1,"$9,360,931",48,EMEA,tt10872600
Norway,1,"$9,075,075",24,EMEA,tt10872600
Ukraine,1,"$8,444,700",2,EMEA,tt10872600
South Africa,1,"$6,204,011",5,EMEA,tt10872600
Saudi Arabia,1,"$5,200,000",13,EMEA,tt10872600
Czech Republic,1,"$5,042,859",18,EMEA,tt10872600
Kuwait,1,"$4,969,807",1,EMEA,tt10872600
Egypt,1,"$4,613,142",2,EMEA,tt10872600
Türkiye,1,"$4,129,383",185,EMEA,tt10872600
Finland,1,"$4,100,826",46,EMEA,tt10872600
Greece,1,"$3,790,580",45,EMEA,tt10872600
Portugal,1,"$3,738,393",38,EMEA,tt10872600
Lebanon,1,"$3,675,101",1,EMEA,tt10872600
Romania,1,"$3,109,992",10,EMEA,tt10872600
Hungary,1,"$2,738,027",26,EMEA,tt10872600
Israel,1,"$2,700,000",68,EMEA,tt10872600
Nigeria,1,"$1,687,915",1,EMEA,tt10872600
Oman,1,"$1,186,182",1,EMEA,tt10872600
Slovakia,1,"$1,155,101",43,EMEA,tt10872600
Bulgaria,1,"$1,125,101",28,EMEA,tt10872600
Croatia,1,"$1,067,340",20,EMEA,tt10872600
Jordan,1,"$999,012",2,EMEA,tt10872600
Serbia and Montenegro,1,"$938,868",16,EMEA,tt10872600
Lithuania,1,"$901,328",28,EMEA,tt10872600
Iraq,1,"$797,067",1,EMEA,tt10872600
Iceland,1,"$726,624",20,EMEA,tt10872600
Estonia,1,"$658,591",14,EMEA,tt10872600
Slovenia,1,"$620,601",40,EMEA,tt10872600
Latvia,1,"$610,632",8,EMEA,tt10872600
Ghana,1,"$125,695",19,EMEA,tt10872600
Ethiopia,1,"$28,766",2,EMEA,tt10872600
Mexico,1,"$81,165,976",2,LATAM,tt10872600
Brazil,1,"$56,420,663",8,LATAM,tt10872600
Argentina,1,"$19,100,000",7,LATAM,tt10872600
Central America,1,"$13,407,550",2,LATAM,tt10872600
Chile,1,"$12,232,340",7,LATAM,tt10872600
Colombia,1,"$9,978,994",14,LATAM,tt10872600
Ecuador,1,"$8,564,583",1,LATAM,tt10872600
Bolivia,1,"$4,550,641",1,LATAM,tt10872600
Peru,1,"$4,400,000",43,LATAM,tt10872600
Paraguay,1,"$1,167,186",2,LATAM,tt10872600
Curaçao,1,"$115,043",2,LATAM,tt10872600
Aruba,1,"$65,752",14,LATAM,tt10872600
South Korea,2,"$61,981,362",42,APAC,tt10872600
Russia/CIS,1,"$57,038,546",5,APAC,tt10872600
Australia,1,"$54,546,201",9,APAC,tt10872600
India,1,"$36,877,120",24,APAC,tt10872600
Japan,1,"$36,320,523",224,APAC,tt10872600
Indonesia,1,"$25,747,047",2,APAC,tt10872600
Taiwan,1,"$17,940,935",14,APAC,tt10872600
Hong Kong,1,"$17,088,767",6,APAC,tt10872600
Malaysia,1,"$15,112,008",4,APAC,tt10872600
Thailand,1,"$10,548,425",9,APAC,tt10872600
Singapore,1,"$10,370,643",4,APAC,tt10872600
New Zealand,1,"$6,727,263",20,APAC,tt10872600
Philippines,1,"$5,275,045",72,APAC,tt10872600
Vietnam,1,"$4,375,144",35,APAC,tt10872600
Mongolia,1,"$750,641",2,APAC,tt10872600
Cambodia,1,"$629,811",1,APAC,tt10872600
