Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$936,662,225",1,Domestic,tt2488496
United Kingdom,1,"$163,599,922",2,EMEA,tt2488496
Germany,1,"$111,351,219",4,EMEA,tt2488496
France,1,"$88,527,046",7,EMEA,tt2488496
Spain,1,"$35,978,401",13,EMEA,tt2488496
Italy,1,"$28,508,842",40,EMEA,tt2488496
Sweden,1,"$21,346,653",7,EMEA,tt2488496
Poland,1,"$16,685,439",9,EMEA,tt2488496
Netherlands,1,"$15,705,344",21,EMEA,tt2488496
Denmark,1,"$11,987,128",15,EMEA,tt2488496
Belgium,1,"$11,033,696",8,EMEA,tt2488496
Austria,1,"$9,379,428",10,EMEA,tt2488496
Norway,1,"$8,361,919",30,EMEA,tt2488496
Finland,1,"$8,095,069",5,EMEA,tt2488496
Switzerland (German),1,"$7,979,279",4,EMEA,tt2488496
United Arab Emirates,1,"$6,052,663",39,EMEA,tt2488496
Hungary,2,"$5,827,770",3,EMEA,tt2488496
Türkiye,1,"$5,820,667",114,EMEA,tt2488496
Switzerland (French),1,"$4,180,648",1,EMEA,tt2488496
Portugal,1,"$3,901,908",32,EMEA,tt2488496
Czech Republic,1,"$3,879,858",39,EMEA,tt2488496
Greece,1,"$3,406,287",62,EMEA,tt2488496
Romania,1,"$3,405,655",6,EMEA,tt2488496
Israel,1,"$3,385,097",39,EMEA,tt2488496
South Africa,1,"$3,206,747",49,EMEA,tt2488496
Bulgaria,3,"$2,578,651",3,EMEA,tt2488496
Ukraine,1,"$2,509,424",75,EMEA,tt2488496
Croatia,1,"$1,245,788",14,EMEA,tt2488496
Slovakia,1,"$1,136,741",45,EMEA,tt2488496
Iceland,1,"$905,627",5,EMEA,tt2488496
Serbia and Montenegro,1,"$711,089",27,EMEA,tt2488496
Lebanon,1,"$606,176",67,EMEA,tt2488496
Slovenia,1,"$578,788",54,EMEA,tt2488496
Lithuania,1,"$563,605",71,EMEA,tt2488496
Latvia,1,"$424,911",32,EMEA,tt2488496
Kenya,1,"$285,657",12,EMEA,tt2488496
Egypt,1,"$153,648",462,EMEA,tt2488496
Oman,1,"$49,970",158,EMEA,tt2488496
China,1,"$124,159,000",116,China,tt2488496
Japan,1,"$97,862,640",35,APAC,tt2488496
Australia,2,"$72,465,422",2,APAC,tt2488496
Russia/CIS,1,"$26,689,555",81,APAC,tt2488496
South Korea,1,"$24,142,352",220,APAC,tt2488496
Hong Kong,1,"$11,082,181",20,APAC,tt2488496
New Zealand,2,"$9,950,627",5,APAC,tt2488496
Philippines,1,"$8,176,268",35,APAC,tt2488496
Singapore,1,"$7,173,581",19,APAC,tt2488496
Malaysia,1,"$6,628,971",52,APAC,tt2488496
Taiwan,1,"$6,464,714",115,APAC,tt2488496
Thailand,1,"$5,946,413",41,APAC,tt2488496
India,1,"$4,571,351",397,APAC,tt2488496
Vietnam,1,"$895,542",237,APAC,tt2488496
Brazil,1,"$27,982,311",59,LATAM,tt2488496
Mexico,1,"$27,649,496",68,LATAM,tt2488496
Venezuela,1,"$14,823,693",9,LATAM,tt2488496
Colombia,1,"$9,130,293",20,LATAM,tt2488496
Chile,1,"$8,463,006",19,LATAM,tt2488496
Peru,1,"$6,127,657",16,LATAM,tt2488496
Ecuador,1,"$3,211,683",14,LATAM,tt2488496
Argentina,1,"$1,921,657",450,LATAM,tt2488496
Bolivia,1,"$1,868,562",14,LATAM,tt2488496
Uruguay,1,"$468,960",84,LATAM,tt2488496
