Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$620,181,382",13,Domestic,tt2527336
United Kingdom,1,"$111,106,152",13,EMEA,tt2527336
Germany,1,"$83,164,496",9,EMEA,tt2527336
France,1,"$64,974,039",18,EMEA,tt2527336
Spain,1,"$25,847,887",48,EMEA,tt2527336
Italy,1,"$18,138,020",134,EMEA,tt2527336
Sweden,1,"$16,242,795",14,EMEA,tt2527336
Poland,1,"$12,990,972",21,EMEA,tt2527336
Netherlands,1,"$12,944,717",39,EMEA,tt2527336
Denmark,1,"$11,247,455",18,EMEA,tt2527336
Belgium,1,"$9,053,013",25,EMEA,tt2527336
Switzerland,1,"$8,791,603",21,EMEA,tt2527336
Austria,1,"$7,398,284",28,EMEA,tt2527336
Finland,1,"$7,143,747",6,EMEA,tt2527336
Norway,1,"$6,510,106",54,EMEA,tt2527336
Hungary,2,"$5,460,770",4,EMEA,tt2527336
Czech Republic,1,"$3,832,518",42,EMEA,tt2527336
Portugal,1,"$3,284,941",56,EMEA,tt2527336
United Arab Emirates,1,"$2,681,477",220,EMEA,tt2527336
South Africa,1,"$2,681,182",73,EMEA,tt2527336
Türkiye,1,"$2,652,520",315,EMEA,tt2527336
Greece,1,"$2,477,797",120,EMEA,tt2527336
Romania,1,"$2,287,791",27,EMEA,tt2527336
Bulgaria,2,"$1,855,081",6,EMEA,tt2527336
Ukraine,1,"$1,732,820",184,EMEA,tt2527336
Slovakia,1,"$1,024,583",64,EMEA,tt2527336
Iceland,1,"$819,268",9,EMEA,tt2527336
Slovenia,1,"$498,820",72,EMEA,tt2527336
Lithuania,1,"$394,318",130,EMEA,tt2527336
Japan,1,"$66,662,686",85,APAC,tt2527336
Australia,2,"$44,875,766",15,APAC,tt2527336
Russia/CIS,1,"$16,068,138",221,APAC,tt2527336
South Korea,1,"$7,981,958",739,APAC,tt2527336
New Zealand,2,"$6,121,994",25,APAC,tt2527336
Hong Kong,1,"$6,032,694",94,APAC,tt2527336
Philippines,1,"$5,224,317",74,APAC,tt2527336
Indonesia,1,"$5,223,333",97,APAC,tt2527336
Singapore,1,"$4,634,747",65,APAC,tt2527336
Thailand,1,"$4,536,887",75,APAC,tt2527336
Malaysia,1,"$3,724,376",154,APAC,tt2527336
Taiwan,1,"$3,534,284",249,APAC,tt2527336
India,1,"$2,462,280",577,APAC,tt2527336
China,1,"$42,577,974",390,China,tt2527336
Brazil,1,"$19,108,918",123,LATAM,tt2527336
Mexico,1,"$13,590,940",277,LATAM,tt2527336
Argentina,1,"$5,372,661",121,LATAM,tt2527336
Chile,1,"$4,981,243",61,LATAM,tt2527336
Colombia,1,"$2,585,650",249,LATAM,tt2527336
Venezuela,1,"$1,758,951",323,LATAM,tt2527336
Bolivia,1,"$891,854",76,LATAM,tt2527336
Uruguay,1,"$271,471",185,LATAM,tt2527336
Paraguay,1,"$194,561",64,LATAM,tt2527336
