Country,# Releases,Lifetime Gross,Rank,Region,ID
China,1,"$390,910,000",18,China,tt2820852
Domestic,1,"$353,007,020",66,Domestic,tt2820852
United Kingdom,1,"$59,927,904",80,EMEA,tt2820852
Germany,1,"$42,761,084",73,EMEA,tt2820852
France,1,"$31,268,799",138,EMEA,tt2820852
Italy,1,"$20,797,031",106,EMEA,tt2820852
Spain,1,"$14,868,452",189,EMEA,tt2820852
Türkiye,1,"$12,411,481",32,EMEA,tt2820852
United Arab Emirates,2,"$10,350,675",4,EMEA,tt2820852
Norway,1,"$9,588,812",20,EMEA,tt2820852
Netherlands,1,"$9,339,976",76,EMEA,tt2820852
Belgium,1,"$6,547,823",60,EMEA,tt2820852
Switzerland (German),1,"$5,995,066",8,EMEA,tt2820852
South Africa,1,"$5,884,842",6,EMEA,tt2820852
Austria,1,"$5,557,949",58,EMEA,tt2820852
Poland,1,"$5,132,943",160,EMEA,tt2820852
Denmark,1,"$4,997,554",96,EMEA,tt2820852
Portugal,1,"$4,907,151",14,EMEA,tt2820852
Sweden,1,"$4,579,157",174,EMEA,tt2820852
Israel,1,"$4,057,208",25,EMEA,tt2820852
Romania,1,"$2,710,695",15,EMEA,tt2820852
Finland,1,"$2,496,317",123,EMEA,tt2820852
Greece,1,"$2,413,734",126,EMEA,tt2820852
Egypt,1,"$2,112,766",10,EMEA,tt2820852
Ukraine,1,"$2,006,932",136,EMEA,tt2820852
Switzerland (French),1,"$1,983,825",7,EMEA,tt2820852
Hungary,1,"$1,958,035",78,EMEA,tt2820852
Qatar,1,"$1,895,156",2,EMEA,tt2820852
Lebanon,1,"$1,778,281",8,EMEA,tt2820852
Bulgaria,2,"$1,773,530",8,EMEA,tt2820852
Czech Republic,1,"$1,631,060",203,EMEA,tt2820852
Bahrain,1,"$1,535,369",3,EMEA,tt2820852
Oman,1,"$1,109,326",2,EMEA,tt2820852
East Africa,1,"$1,025,309",4,EMEA,tt2820852
Jordan,1,"$1,003,999",1,EMEA,tt2820852
Slovakia,1,"$788,371",95,EMEA,tt2820852
Slovenia,1,"$704,931",26,EMEA,tt2820852
Croatia,1,"$597,337",75,EMEA,tt2820852
Estonia,1,"$586,196",20,EMEA,tt2820852
Lithuania,1,"$529,939",81,EMEA,tt2820852
Nigeria,1,"$520,229",7,EMEA,tt2820852
Kenya,1,"$502,673",5,EMEA,tt2820852
Latvia,1,"$490,724",19,EMEA,tt2820852
Serbia and Montenegro,1,"$285,682",138,EMEA,tt2820852
Iceland,1,"$277,180",200,EMEA,tt2820852
Mexico,1,"$51,682,039",12,LATAM,tt2820852
Brazil,1,"$46,606,286",12,LATAM,tt2820852
Venezuela,1,"$19,091,734",5,LATAM,tt2820852
Colombia,1,"$16,255,313",2,LATAM,tt2820852
Argentina,1,"$10,494,030",42,LATAM,tt2820852
Chile,1,"$9,659,056",14,LATAM,tt2820852
Peru,1,"$7,064,638",9,LATAM,tt2820852
Ecuador,1,"$6,156,860",3,LATAM,tt2820852
Bolivia,1,"$1,928,112",10,LATAM,tt2820852
Uruguay,1,"$1,318,058",9,LATAM,tt2820852
Russia/CIS,1,"$34,016,389",44,APAC,tt2820852
Australia,2,"$33,889,393",38,APAC,tt2820852
Japan,1,"$30,810,953",297,APAC,tt2820852
Taiwan,1,"$26,301,159",5,APAC,tt2820852
India,1,"$24,714,209",47,APAC,tt2820852
South Korea,1,"$24,037,905",223,APAC,tt2820852
Malaysia,1,"$15,992,077",3,APAC,tt2820852
Thailand,1,"$13,210,589",5,APAC,tt2820852
Philippines,1,"$9,951,971",19,APAC,tt2820852
Hong Kong,1,"$7,693,270",54,APAC,tt2820852
Vietnam,1,"$7,225,225",12,APAC,tt2820852
Singapore,1,"$6,814,286",24,APAC,tt2820852
New Zealand,2,"$5,957,450",28,APAC,tt2820852
