Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$417,719,760",35,Domestic,tt4881806
China,1,"$261,224,207",30,China,tt4881806
Japan,1,"$72,322,055",75,APAC,tt4881806
South Korea,1,"$47,032,515",74,APAC,tt4881806
Australia,1,"$26,312,757",85,APAC,tt4881806
Taiwan,1,"$20,672,215",11,APAC,tt4881806
Russia/CIS,1,"$19,462,038",154,APAC,tt4881806
India,1,"$19,211,954",72,APAC,tt4881806
Indonesia,1,"$13,950,645",17,APAC,tt4881806
Malaysia,1,"$13,035,567",10,APAC,tt4881806
Hong Kong,1,"$11,809,517",16,APAC,tt4881806
Philippines,1,"$9,831,170",21,APAC,tt4881806
Thailand,1,"$8,618,134",20,APAC,tt4881806
Singapore,2,"$7,394,110",17,APAC,tt4881806
Vietnam,1,"$4,142,077",39,APAC,tt4881806
New Zealand,2,"$3,481,139",118,APAC,tt4881806
Pakistan,1,"$1,292,948",3,APAC,tt4881806
Mongolia,1,"$241,426",7,APAC,tt4881806
United Kingdom,1,"$54,724,774",105,EMEA,tt4881806
France,1,"$31,459,233",135,EMEA,tt4881806
Germany,1,"$30,201,948",145,EMEA,tt4881806
Spain,2,"$28,411,842",35,EMEA,tt4881806
Italy,1,"$12,200,268",274,EMEA,tt4881806
Netherlands,1,"$9,209,605",79,EMEA,tt4881806
United Arab Emirates,2,"$7,252,971",24,EMEA,tt4881806
Sweden,1,"$5,931,284",103,EMEA,tt4881806
Belgium,1,"$5,751,344",75,EMEA,tt4881806
Poland,1,"$4,821,049",181,EMEA,tt4881806
Denmark,1,"$4,436,996",121,EMEA,tt4881806
Norway,1,"$4,063,118",148,EMEA,tt4881806
Ukraine,2,"$4,049,424",20,EMEA,tt4881806
Austria,2,"$3,675,488",138,EMEA,tt4881806
Switzerland,1,"$3,645,521",133,EMEA,tt4881806
Czech Republic,1,"$2,816,081",79,EMEA,tt4881806
Türkiye,1,"$2,496,813",336,EMEA,tt4881806
Hungary,1,"$2,302,082",47,EMEA,tt4881806
South Africa,1,"$2,209,952",125,EMEA,tt4881806
Finland,1,"$1,935,175",197,EMEA,tt4881806
Portugal,1,"$1,853,135",194,EMEA,tt4881806
Israel,1,"$1,458,773",226,EMEA,tt4881806
Romania,1,"$1,318,353",78,EMEA,tt4881806
Slovakia,1,"$966,911",72,EMEA,tt4881806
Greece,1,"$913,119",544,EMEA,tt4881806
Egypt,1,"$889,671",57,EMEA,tt4881806
Bulgaria,1,"$744,189",84,EMEA,tt4881806
Lebanon,1,"$462,320",124,EMEA,tt4881806
Estonia,1,"$430,674",46,EMEA,tt4881806
Croatia,2,"$360,154",199,EMEA,tt4881806
Iceland,1,"$335,207",140,EMEA,tt4881806
Slovenia,1,"$329,055",160,EMEA,tt4881806
Serbia and Montenegro,1,"$307,603",126,EMEA,tt4881806
Lithuania,1,"$303,803",197,EMEA,tt4881806
Latvia,1,"$253,334",98,EMEA,tt4881806
Cyprus,1,"$181,728",33,EMEA,tt4881806
Mexico,2,"$35,176,901",38,LATAM,tt4881806
Brazil,2,"$21,288,295",101,LATAM,tt4881806
Argentina,1,"$8,488,337",59,LATAM,tt4881806
Chile,1,"$7,795,431",23,LATAM,tt4881806
Colombia,1,"$7,209,223",38,LATAM,tt4881806
Peru,1,"$6,122,737",17,LATAM,tt4881806
Venezuela,1,"$5,479,071",78,LATAM,tt4881806
Ecuador,1,"$2,883,303",25,LATAM,tt4881806
Bolivia,1,"$2,141,933",7,LATAM,tt4881806
Uruguay,1,"$1,037,846",17,LATAM,tt4881806
Trinidad & Tobago,1,"$1,012,013",5,LATAM,tt4881806
Paraguay,1,"$496,371",13,LATAM,tt4881806
