Country,Release Date,Opening,Gross,Region,ID
Domestic,"Nov 22, 2019","$130,263,358","$477,373,578",Domestic,tt4520988
United Kingdom,"Nov 22, 2019","$19,367,813","$69,784,965","Europe, Middle East, and Africa",tt4520988
Germany,"Nov 20, 2019","$15,307,498","$60,624,284","Europe, Middle East, and Africa",tt4520988
France,"Nov 20, 2019","$14,292,448","$53,969,743","Europe, Middle East, and Africa",tt4520988
Spain,"Nov 22, 2019","$5,879,949","$23,186,561","Europe, Middle East, and Africa",tt4520988
Italy,"Nov 28, 2019","$8,043,806","$22,460,289","Europe, Middle East, and Africa",tt4520988
Netherlands,"Nov 21, 2019","$2,300,306","$13,680,697","Europe, Middle East, and Africa",tt4520988
Sweden,"Dec 25, 2019","$2,622,162","$12,564,569","Europe, Middle East, and Africa",tt4520988
Poland,"Nov 22, 2019","$3,247,227","$12,489,438","Europe, Middle East, and Africa",tt4520988
Belgium,"Nov 20, 2019","$2,158,075","$11,047,636","Europe, Middle East, and Africa",tt4520988
Denmark,"Dec 25, 2019","$3,070,997","$9,541,704","Europe, Middle East, and Africa",tt4520988
Switzerland,"Nov 20, 2019","$1,770,193","$7,976,054","Europe, Middle East, and Africa",tt4520988
Austria,"Nov 20, 2019","$1,650,647","$7,283,695","Europe, Middle East, and Africa",tt4520988
Norway,"Dec 27, 2019","$2,035,479","$7,283,219","Europe, Middle East, and Africa",tt4520988
Finland,"Dec 25, 2019","$1,387,116","$6,483,807","Europe, Middle East, and Africa",tt4520988
United Arab Emirates,"Nov 21, 2019","$1,651,882","$6,098,740","Europe, Middle East, and Africa",tt4520988
Czech Republic,"Nov 21, 2019",–,"$5,082,907","Europe, Middle East, and Africa",tt4520988
Portugal,"Nov 21, 2019",–,"$4,161,845","Europe, Middle East, and Africa",tt4520988
Türkiye,"Nov 20, 2019","$1,317,785","$3,866,506","Europe, Middle East, and Africa",tt4520988
Ukraine,"Nov 21, 2019","$1,397,560","$3,839,210","Europe, Middle East, and Africa",tt4520988
South Africa,"Dec 6, 2019","$894,165","$3,572,502","Europe, Middle East, and Africa",tt4520988
Romania,"Nov 22, 2019",–,"$3,156,790","Europe, Middle East, and Africa",tt4520988
Hungary,"Nov 21, 2019","$775,907","$2,737,733","Europe, Middle East, and Africa",tt4520988
Slovakia,"Nov 21, 2019",–,"$1,734,385","Europe, Middle East, and Africa",tt4520988
Bulgaria,"Nov 22, 2019",–,"$1,280,758","Europe, Middle East, and Africa",tt4520988
Lithuania,"Dec 25, 2019","$285,321","$1,044,101","Europe, Middle East, and Africa",tt4520988
Croatia,"Jul 29, 2021","$1,702","$967,489","Europe, Middle East, and Africa",tt4520988
Slovenia,"Nov 21, 2019","$224,605","$770,332","Europe, Middle East, and Africa",tt4520988
Serbia and Montenegro,"Nov 21, 2019","$272,917","$764,409","Europe, Middle East, and Africa",tt4520988
Iceland,"Nov 22, 2019","$129,811","$431,079","Europe, Middle East, and Africa",tt4520988
Mexico,"Nov 22, 2019","$8,629,125","$28,828,184",Latin America,tt4520988
Brazil,"Sep 3, 2020","$2,707","$23,531,631",Latin America,tt4520988
Argentina,"Jan 2, 2020","$1,907,145","$7,562,028",Latin America,tt4520988
Colombia,"Nov 21, 2019","$1,360,976","$4,833,635",Latin America,tt4520988
Chile,"Nov 28, 2019","$691,384","$4,537,086",Latin America,tt4520988
Bolivia,"Jan 2, 2020",–,"$1,025,341",Latin America,tt4520988
Venezuela,"Nov 29, 2019",–,"$610,251",Latin America,tt4520988
Uruguay,"Dec 5, 2019",–,"$499,524",Latin America,tt4520988
Paraguay,"Dec 5, 2019",–,"$416,873",Latin America,tt4520988
Japan,"Nov 22, 2019","$17,876,067","$122,613,328",Asia Pacific,tt4520988
South Korea,"Nov 21, 2019","$31,970,043","$87,209,955",Asia Pacific,tt4520988
Russia/CIS,"Nov 28, 2019",–,"$32,764,511",Asia Pacific,tt4520988
Australia,"Nov 28, 2019","$6,578,495","$25,541,267",Asia Pacific,tt4520988
Philippines,"Nov 20, 2019","$6,190,359","$16,417,761",Asia Pacific,tt4520988
Indonesia,"Nov 20, 2019","$6,254,743","$14,885,131",Asia Pacific,tt4520988
Taiwan,"Nov 21, 2019","$3,345,010","$11,307,542",Asia Pacific,tt4520988
Malaysia,"Nov 21, 2019","$3,092,197","$9,403,186",Asia Pacific,tt4520988
Hong Kong,"Nov 23, 2019","$2,072,703","$7,794,427",Asia Pacific,tt4520988
India,"Nov 22, 2019","$3,127,090","$7,299,612",Asia Pacific,tt4520988
Thailand,"Nov 21, 2019","$2,461,769","$6,452,954",Asia Pacific,tt4520988
Singapore,"Nov 21, 2019","$1,883,128","$6,091,259",Asia Pacific,tt4520988
New Zealand,"Nov 28, 2019","$1,013,134","$4,052,101",Asia Pacific,tt4520988
Vietnam,"Nov 20, 2019","$1,226,089","$3,351,572",Asia Pacific,tt4520988
China,"Nov 21, 2019","$52,878,479","$122,319,598",China,tt4520988
