Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$459,005,868",25,Domestic,tt2395427
China,1,"$240,110,000",36,China,tt2395427
South Korea,1,"$72,319,433",28,APAC,tt2395427
Russia/CIS,2,"$34,323,096",40,APAC,tt2395427
Australia,1,"$30,969,152",49,APAC,tt2395427
Japan,1,"$26,373,434",363,APAC,tt2395427
Taiwan,1,"$18,417,745",13,APAC,tt2395427
Hong Kong,1,"$17,155,906",5,APAC,tt2395427
India,1,"$16,695,001",87,APAC,tt2395427
Philippines,1,"$14,097,441",7,APAC,tt2395427
Malaysia,1,"$13,390,227",8,APAC,tt2395427
Singapore,1,"$9,904,467",6,APAC,tt2395427
Thailand,1,"$8,850,822",18,APAC,tt2395427
Vietnam,1,"$5,259,089",25,APAC,tt2395427
New Zealand,1,"$1,808,028",350,APAC,tt2395427
United Kingdom,1,"$62,974,363",74,EMEA,tt2395427
France,1,"$34,270,887",110,EMEA,tt2395427
Germany,1,"$31,193,932",136,EMEA,tt2395427
Italy,1,"$18,120,047",135,EMEA,tt2395427
Spain,1,"$13,640,131",234,EMEA,tt2395427
Türkiye,1,"$5,864,977",112,EMEA,tt2395427
Netherlands,1,"$5,465,221",220,EMEA,tt2395427
Sweden,1,"$5,240,559",137,EMEA,tt2395427
Norway,1,"$4,770,579",103,EMEA,tt2395427
Denmark,1,"$4,578,163",117,EMEA,tt2395427
Austria,1,"$4,086,924",118,EMEA,tt2395427
Poland,1,"$3,967,269",244,EMEA,tt2395427
Belgium,1,"$3,313,943",231,EMEA,tt2395427
South Africa,1,"$3,276,734",46,EMEA,tt2395427
United Arab Emirates,1,"$3,166,819",156,EMEA,tt2395427
Switzerland (German),1,"$2,717,245",23,EMEA,tt2395427
Israel,1,"$2,021,296",134,EMEA,tt2395427
Czech Republic,1,"$2,011,520",144,EMEA,tt2395427
Hungary,2,"$1,980,532",76,EMEA,tt2395427
Ukraine,1,"$1,909,793",150,EMEA,tt2395427
Portugal,1,"$1,841,706",196,EMEA,tt2395427
Greece,1,"$1,776,109",224,EMEA,tt2395427
Finland,1,"$1,338,700",323,EMEA,tt2395427
Switzerland (French),1,"$1,307,885",15,EMEA,tt2395427
Egypt,1,"$1,218,558",34,EMEA,tt2395427
Romania,1,"$1,137,226",102,EMEA,tt2395427
Bulgaria,1,"$645,121",111,EMEA,tt2395427
Slovakia,1,"$588,510",167,EMEA,tt2395427
Bahrain,1,"$562,690",29,EMEA,tt2395427
Lebanon,1,"$542,714",86,EMEA,tt2395427
Iceland,1,"$371,887",114,EMEA,tt2395427
Jordan,1,"$361,851",13,EMEA,tt2395427
Oman,1,"$359,221",16,EMEA,tt2395427
Croatia,1,"$348,389",215,EMEA,tt2395427
Kenya,1,"$317,574",11,EMEA,tt2395427
Nigeria,1,"$273,301",30,EMEA,tt2395427
Estonia,1,"$261,445",113,EMEA,tt2395427
Latvia,1,"$195,571",145,EMEA,tt2395427
Serbia and Montenegro,1,"$190,746",234,EMEA,tt2395427
Lithuania,1,"$176,271",414,EMEA,tt2395427
Slovenia,1,"$122,335",545,EMEA,tt2395427
Mexico,1,"$50,940,433",13,LATAM,tt2395427
Brazil,1,"$47,862,465",11,LATAM,tt2395427
Venezuela,1,"$18,531,156",6,LATAM,tt2395427
Colombia,1,"$9,955,023",15,LATAM,tt2395427
Argentina,1,"$9,280,502",49,LATAM,tt2395427
Peru,1,"$7,025,935",10,LATAM,tt2395427
Chile,1,"$6,942,365",32,LATAM,tt2395427
Ecuador,1,"$5,590,716",4,LATAM,tt2395427
Bolivia,1,"$2,278,266",6,LATAM,tt2395427
Uruguay,1,"$458,022",86,LATAM,tt2395427
