Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$623,357,910",12,Domestic,tt0848228
China,1,"$86,300,000",201,China,tt0848228
United Kingdom,1,"$80,563,081",39,EMEA,tt0848228
France,1,"$37,765,919",96,EMEA,tt0848228
Germany,1,"$30,828,359",140,EMEA,tt0848228
Italy,1,"$22,012,517",88,EMEA,tt0848228
Spain,1,"$20,220,212",101,EMEA,tt0848228
Sweden,1,"$7,595,353",68,EMEA,tt0848228
United Arab Emirates,1,"$6,689,950",29,EMEA,tt0848228
Netherlands,1,"$6,609,804",160,EMEA,tt0848228
Norway,1,"$5,636,566",72,EMEA,tt0848228
Denmark,1,"$5,081,339",90,EMEA,tt0848228
South Africa,1,"$4,609,462",15,EMEA,tt0848228
Türkiye,1,"$4,257,979",178,EMEA,tt0848228
Belgium,1,"$4,061,231",168,EMEA,tt0848228
Austria,1,"$3,175,739",184,EMEA,tt0848228
Poland,1,"$3,165,105",325,EMEA,tt0848228
Greece,1,"$2,599,996",108,EMEA,tt0848228
Portugal,1,"$2,489,524",101,EMEA,tt0848228
Israel,1,"$2,449,957",90,EMEA,tt0848228
Ukraine,1,"$2,210,225",106,EMEA,tt0848228
Hungary,1,"$1,759,397",99,EMEA,tt0848228
Czech Republic,1,"$1,740,748",184,EMEA,tt0848228
Finland,1,"$1,476,038",290,EMEA,tt0848228
Egypt,1,"$913,497",55,EMEA,tt0848228
Bulgaria,1,"$743,965",85,EMEA,tt0848228
Lebanon,1,"$534,555",89,EMEA,tt0848228
Iceland,1,"$502,028",62,EMEA,tt0848228
Slovakia,1,"$448,435",239,EMEA,tt0848228
Croatia,1,"$387,357",170,EMEA,tt0848228
East Africa,1,"$323,763",9,EMEA,tt0848228
Nigeria,1,"$202,368",50,EMEA,tt0848228
Serbia and Montenegro,1,"$167,189",273,EMEA,tt0848228
Slovenia,1,"$163,737",405,EMEA,tt0848228
Ghana,1,"$20,549",80,EMEA,tt0848228
Brazil,1,"$63,904,807",5,LATAM,tt0848228
Mexico,1,"$61,748,523",5,LATAM,tt0848228
Argentina,1,"$17,331,732",11,LATAM,tt0848228
Venezuela,1,"$13,216,039",13,LATAM,tt0848228
Chile,1,"$9,247,146",15,LATAM,tt0848228
Peru,1,"$8,523,744",7,LATAM,tt0848228
Colombia,1,"$7,140,604",41,LATAM,tt0848228
Ecuador,1,"$5,410,298",5,LATAM,tt0848228
Bolivia,1,"$1,885,220",12,LATAM,tt0848228
Uruguay,1,"$517,473",69,LATAM,tt0848228
Australia,1,"$54,385,465",10,APAC,tt0848228
South Korea,1,"$48,651,463",68,APAC,tt0848228
Russia/CIS,2,"$43,679,945",21,APAC,tt0848228
Japan,1,"$33,019,883",265,APAC,tt0848228
Taiwan,1,"$20,100,000",12,APAC,tt0848228
Philippines,1,"$14,382,992",5,APAC,tt0848228
India,1,"$12,616,061",146,APAC,tt0848228
Hong Kong,1,"$12,468,825",14,APAC,tt0848228
Indonesia,1,"$11,949,911",27,APAC,tt0848228
Singapore,1,"$11,172,253",3,APAC,tt0848228
Malaysia,1,"$10,965,615",14,APAC,tt0848228
Thailand,1,"$7,935,363",22,APAC,tt0848228
New Zealand,1,"$7,140,832",17,APAC,tt0848228
