Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,4,"$381,447,587",50,Domestic,tt1201607
Japan,1,"$124,331,909",16,APAC,tt1201607
Russia/CIS,2,"$36,833,884",33,APAC,tt1201607
Australia,3,"$33,804,380",40,APAC,tt1201607
South Korea,2,"$32,103,264",145,APAC,tt1201607
Taiwan,1,"$14,539,174",21,APAC,tt1201607
Hong Kong,1,"$9,866,622",28,APAC,tt1201607
Indonesia,1,"$8,229,311",52,APAC,tt1201607
India,1,"$7,715,053",252,APAC,tt1201607
Philippines,1,"$6,955,628",46,APAC,tt1201607
Thailand,1,"$6,707,511",31,APAC,tt1201607
New Zealand,3,"$6,128,881",24,APAC,tt1201607
Singapore,1,"$5,953,466",32,APAC,tt1201607
Malaysia,1,"$4,620,830",116,APAC,tt1201607
Vietnam,1,"$97,729",838,APAC,tt1201607
United Kingdom,3,"$92,544,821",25,EMEA,tt1201607
Germany,1,"$78,042,939",14,EMEA,tt1201607
France,1,"$67,311,500",15,EMEA,tt1201607
Italy,2,"$29,784,735",31,EMEA,tt1201607
Spain,3,"$21,891,963",86,EMEA,tt1201607
Netherlands,2,"$17,347,077",17,EMEA,tt1201607
Sweden,1,"$15,899,826",15,EMEA,tt1201607
Norway,1,"$11,261,743",12,EMEA,tt1201607
Denmark,1,"$11,179,770",19,EMEA,tt1201607
Belgium,1,"$9,983,321",11,EMEA,tt1201607
Poland,1,"$8,895,199",53,EMEA,tt1201607
Austria,1,"$7,492,735",27,EMEA,tt1201607
Czech Republic,1,"$5,599,132",12,EMEA,tt1201607
Finland,1,"$5,308,968",19,EMEA,tt1201607
Greece,1,"$4,186,117",32,EMEA,tt1201607
Portugal,1,"$3,859,876",35,EMEA,tt1201607
Ukraine,2,"$3,558,720",30,EMEA,tt1201607
Hungary,1,"$3,379,099",14,EMEA,tt1201607
Israel,1,"$3,350,025",40,EMEA,tt1201607
United Arab Emirates,1,"$2,995,140",177,EMEA,tt1201607
South Africa,2,"$2,617,462",78,EMEA,tt1201607
Slovakia,2,"$1,688,650",21,EMEA,tt1201607
Romania,1,"$944,566",142,EMEA,tt1201607
Croatia,1,"$840,797",32,EMEA,tt1201607
Egypt,1,"$637,962",90,EMEA,tt1201607
Slovenia,1,"$616,381",42,EMEA,tt1201607
Bulgaria,1,"$587,986",133,EMEA,tt1201607
Iceland,2,"$551,484",46,EMEA,tt1201607
Lebanon,1,"$519,791",98,EMEA,tt1201607
Estonia,1,"$410,336",50,EMEA,tt1201607
Lithuania,1,"$357,092",156,EMEA,tt1201607
Serbia and Montenegro,1,"$287,899",137,EMEA,tt1201607
Türkiye,1,"$281,062","1,961",EMEA,tt1201607
Latvia,1,"$276,038",86,EMEA,tt1201607
East Africa,1,"$110,152",64,EMEA,tt1201607
China,1,"$60,800,000",282,China,tt1201607
Brazil,2,"$35,700,869",28,LATAM,tt1201607
Mexico,1,"$34,163,720",40,LATAM,tt1201607
Argentina,2,"$10,962,039",36,LATAM,tt1201607
Venezuela,1,"$7,526,732",46,LATAM,tt1201607
Chile,1,"$6,487,988",37,LATAM,tt1201607
Colombia,2,"$5,302,773",84,LATAM,tt1201607
Peru,1,"$3,637,088",66,LATAM,tt1201607
Ecuador,1,"$2,595,866",35,LATAM,tt1201607
Bolivia,1,"$808,770",88,LATAM,tt1201607
Uruguay,1,"$558,523",59,LATAM,tt1201607
