Country,# Releases,Lifetime Gross,Rank,Region,ID
Domestic,1,"$678,815,482",8,Domestic,tt4154756
China,1,"$359,543,153",21,China,tt4154756
United Kingdom,2,"$96,640,433",22,EMEA,tt4154756
France,1,"$47,689,983",46,EMEA,tt4154756
Germany,1,"$45,398,141",65,EMEA,tt4154756
Spain,1,"$24,809,385",57,EMEA,tt4154756
Italy,1,"$22,837,545",76,EMEA,tt4154756
Netherlands,1,"$10,430,994",64,EMEA,tt4154756
United Arab Emirates,1,"$10,070,159",6,EMEA,tt4154756
Sweden,1,"$8,074,716",58,EMEA,tt4154756
Poland,1,"$7,367,423",84,EMEA,tt4154756
Denmark,1,"$6,853,155",56,EMEA,tt4154756
Türkiye,1,"$5,696,347",119,EMEA,tt4154756
Norway,1,"$5,693,803",71,EMEA,tt4154756
Austria,1,"$5,690,732",53,EMEA,tt4154756
Belgium,1,"$5,654,123",79,EMEA,tt4154756
Switzerland,1,"$5,553,658",53,EMEA,tt4154756
South Africa,1,"$5,552,131",8,EMEA,tt4154756
Czech Republic,1,"$4,400,723",26,EMEA,tt4154756
Ukraine,1,"$3,654,152",27,EMEA,tt4154756
Finland,1,"$3,376,481",68,EMEA,tt4154756
Hungary,2,"$3,172,176",17,EMEA,tt4154756
Portugal,1,"$2,823,586",78,EMEA,tt4154756
Greece,1,"$2,820,813",95,EMEA,tt4154756
Romania,1,"$2,494,062",19,EMEA,tt4154756
Slovakia,1,"$1,304,762",33,EMEA,tt4154756
Bulgaria,1,"$982,669",37,EMEA,tt4154756
Croatia,1,"$769,917",43,EMEA,tt4154756
Iceland,1,"$688,359",25,EMEA,tt4154756
Lithuania,1,"$406,233",125,EMEA,tt4154756
Slovenia,1,"$325,818",164,EMEA,tt4154756
Serbia and Montenegro,1,"$280,036",144,EMEA,tt4154756
South Korea,1,"$81,741,715",20,APAC,tt4154756
Australia,1,"$46,825,158",12,APAC,tt4154756
India,1,"$43,594,456",16,APAC,tt4154756
Russia/CIS,1,"$34,597,189",38,APAC,tt4154756
Japan,1,"$33,881,648",253,APAC,tt4154756
Indonesia,1,"$25,288,929",3,APAC,tt4154756
Philippines,1,"$23,295,180",2,APAC,tt4154756
Taiwan,1,"$21,588,140",9,APAC,tt4154756
Hong Kong,1,"$20,585,253",3,APAC,tt4154756
Thailand,1,"$17,944,798",3,APAC,tt4154756
Malaysia,1,"$17,325,511",2,APAC,tt4154756
Singapore,1,"$12,195,638",2,APAC,tt4154756
New Zealand,1,"$6,120,823",26,APAC,tt4154756
Brazil,1,"$66,684,469",4,LATAM,tt4154756
Mexico,1,"$60,058,771",6,LATAM,tt4154756
Chile,1,"$14,607,578",3,LATAM,tt4154756
Colombia,1,"$13,268,925",8,LATAM,tt4154756
Argentina,1,"$8,064,697",70,LATAM,tt4154756
Venezuela,1,"$6,093,475",68,LATAM,tt4154756
Bolivia,1,"$3,166,034",4,LATAM,tt4154756
Paraguay,1,"$1,114,669",3,LATAM,tt4154756
Uruguay,1,"$816,628",29,LATAM,tt4154756
