Country,Release Date,Opening,Gross,Region,ID
Domestic,"Jul 21, 2023","$162,022,044","$636,238,421",Domestic,tt1517268
United Kingdom,"Jul 21, 2023","$23,790,791","$121,878,289","Europe, Middle East, and Africa",tt1517268
Germany,"Jul 20, 2023","$6,712,904","$57,599,864","Europe, Middle East, and Africa",tt1517268
France,"Jul 19, 2023","$9,961,544","$44,039,205","Europe, Middle East, and Africa",tt1517268
Spain,"Jul 21, 2023","$5,730,304","$35,574,798","Europe, Middle East, and Africa",tt1517268
Italy,"Jul 20, 2023","$8,585,116","$33,902,557","Europe, Middle East, and Africa",tt1517268
Netherlands,"Jul 20, 2023","$2,611,923","$21,733,606","Europe, Middle East, and Africa",tt1517268
Poland,"Jul 21, 2023","$2,434,900","$13,301,194","Europe, Middle East, and Africa",tt1517268
Norway,"Jul 21, 2023","$1,475,447","$8,593,528","Europe, Middle East, and Africa",tt1517268
Czech Republic,"Jul 20, 2023","$874,969","$5,674,124","Europe, Middle East, and Africa",tt1517268
Portugal,"Jul 20, 2023","$1,272,343","$5,672,308","Europe, Middle East, and Africa",tt1517268
Türkiye,"Jul 21, 2023","$1,548,338","$5,040,456","Europe, Middle East, and Africa",tt1517268
United Arab Emirates,"Aug 10, 2023","$1,945,501","$4,238,121","Europe, Middle East, and Africa",tt1517268
Hungary,"Jul 20, 2023","$661,089","$3,807,203","Europe, Middle East, and Africa",tt1517268
Ukraine,"Jul 20, 2023",–,"$2,995,441","Europe, Middle East, and Africa",tt1517268
Romania,"Jul 21, 2023","$666,491","$2,945,315","Europe, Middle East, and Africa",tt1517268
South Africa,"Jul 21, 2023","$665,013","$2,713,438","Europe, Middle East, and Africa",tt1517268
Slovakia,"Jul 20, 2023","$391,381","$1,732,859","Europe, Middle East, and Africa",tt1517268
Croatia,"Jul 20, 2023","$434,788","$1,482,564","Europe, Middle East, and Africa",tt1517268
Bulgaria,"Jul 21, 2023","$257,216","$1,307,828","Europe, Middle East, and Africa",tt1517268
Lithuania,"Jul 21, 2023","$242,034","$1,270,486","Europe, Middle East, and Africa",tt1517268
Serbia and Montenegro,"Jul 20, 2023","$389,246","$1,176,867","Europe, Middle East, and Africa",tt1517268
Iceland,"Jul 21, 2023","$163,415","$979,718","Europe, Middle East, and Africa",tt1517268
Slovenia,"Jul 20, 2023","$140,957","$907,790","Europe, Middle East, and Africa",tt1517268
Mexico,"Jul 21, 2023","$22,691,954","$54,282,404",Latin America,tt1517268
Brazil,"Jul 20, 2023","$17,600,000","$43,800,000",Latin America,tt1517268
Argentina,"Jul 20, 2023","$4,600,000","$15,500,000",Latin America,tt1517268
Colombia,"Jul 20, 2023","$4,442,404","$9,334,049",Latin America,tt1517268
Peru,"Jul 20, 2023","$3,700,000","$3,700,000",Latin America,tt1517268
Australia,"Jul 20, 2023","$14,600,000","$57,298,739",Asia Pacific,tt1517268
New Zealand,"Jul 20, 2023","$2,166,125","$8,618,141",Asia Pacific,tt1517268
Hong Kong,"Jul 20, 2023","$934,864","$5,145,361",Asia Pacific,tt1517268
South Korea,"Jul 19, 2023","$1,196,975","$4,312,632",Asia Pacific,tt1517268
Japan,"Aug 11, 2023",–,"$3,883,578",Asia Pacific,tt1517268
China,"Jul 21, 2023","$8,100,000","$35,200,000",China,tt1517268
