rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Harry Potter and the Deathly Hallows: Part 2,,"$381,011,219","4,375","$381,011,219",Jul 15 2011,Warner Bros.
2,Transformers: Dark of the Moon,,"$352,390,543","4,088","$352,390,543",Jun 29 2011,DreamWorks
3,The Twilight Saga: Breaking Dawn - Part 1,,"$274,841,954","4,066","$281,287,133",Nov 18 2011,Summit Entertainment
4,The Hangover Part II,,"$254,464,305","3,675","$254,464,305",May 26 2011,Warner Bros.
5,Pirates of the Caribbean: On Stranger Tides,,"$241,071,802","4,164","$241,071,802",May 20 2011,Walt Disney Studios Motion Pictures
6,Fast Five,,"$209,837,675","3,793","$209,837,675",Apr 29 2011,Universal Pictures
7,Cars 2,,"$191,452,396","4,115","$191,452,396",Jun 24 2011,Walt Disney Studios Motion Pictures
8,Thor,,"$181,030,624","3,963","$181,030,624",May 6 2011,Paramount Pictures
9,Rise of the Planet of the Apes,,"$176,760,185","3,691","$176,760,185",Aug 5 2011,Twentieth Century Fox
10,Captain America: The First Avenger,,"$176,654,505","3,715","$176,654,505",Jul 22 2011,Paramount Pictures
11,The Help,,"$169,480,526","3,014","$169,708,112",Aug 10 2011,Walt Disney Studios Motion Pictures
12,Bridesmaids,,"$169,106,725","2,958","$169,106,725",May 13 2011,Universal Pictures
13,Kung Fu Panda 2,,"$165,249,063","3,952","$165,249,063",May 26 2011,DreamWorks
14,X-Men: First Class,,"$146,408,305","3,692","$146,408,305",Jun 3 2011,Twentieth Century Fox
15,Puss in Boots,,"$145,250,950","3,963","$149,260,504",Oct 28 2011,DreamWorks
16,Rio,,"$143,619,709","3,842","$143,619,809",Apr 15 2011,Twentieth Century Fox
17,The Smurfs,,"$142,614,158","3,427","$142,614,158",Jul 29 2011,Sony Pictures Releasing
18,Super 8,,"$127,004,179","3,424","$127,004,179",Jun 10 2011,Paramount Pictures
19,Sherlock Holmes: A Game of Shadows,,"$124,051,629","3,703","$186,848,418",Dec 16 2011,Warner Bros.
20,Rango,,"$123,477,607","3,923","$123,477,607",Mar 4 2011,Paramount Pictures
21,Mission: Impossible - Ghost Protocol,,"$122,347,325","3,555","$209,397,903",Dec 16 2011,Paramount Pictures
22,The King's Speech,,"$117,779,109","2,584","$135,453,143",Nov 26 2011,The Weinstein Company
23,Horrible Bosses,,"$117,538,559","3,134","$117,538,559",Jul 8 2011,Warner Bros.
24,Green Lantern,,"$116,601,172","3,816","$116,601,172",Jun 17 2011,Warner Bros.
25,Hop,,"$108,085,305","3,616","$108,085,305",Apr 1 2011,Universal Pictures
26,Paranormal Activity 3,,"$103,971,383","3,329","$104,028,807",Oct 21 2011,Paramount Pictures
27,Just Go with It,,"$103,028,109","3,548","$103,028,109",Feb 11 2011,Sony Pictures Releasing
28,True Grit,,"$100,822,882","3,464","$171,243,005",Dec 22 2011,Paramount Pictures
29,Bad Teacher,,"$100,292,856","3,049","$100,292,856",Jun 24 2011,Sony Pictures Releasing
30,Cowboys & Aliens,,"$100,240,551","3,754","$100,240,551",Jul 29 2011,Universal Pictures
31,Gnomeo & Juliet,,"$99,967,673","3,037","$99,967,670",Feb 11 2011,Walt Disney Studios Motion Pictures
32,The Green Hornet,,"$98,780,042","3,584","$98,780,042",Jan 14 2011,Sony Pictures Releasing
33,The Lion King,2011 3D Release,"$94,231,005","2,340","$94,242,001",Sep 16 2011,Walt Disney Studios Motion Pictures
34,Alvin and the Chipmunks: Chipwrecked,,"$88,151,196","3,734","$133,110,742",Dec 16 2011,Twentieth Century Fox
35,Real Steel,,"$84,367,160","3,440","$85,468,508",Oct 7 2011,Walt Disney Studios Motion Pictures
36,"Crazy, Stupid, Love.",,"$84,351,197","3,020","$84,351,197",Jul 29 2011,Warner Bros.
37,Battle Los Angeles,,"$83,552,429","3,417","$83,552,429",Mar 11 2011,Sony Pictures Releasing
38,Immortals,,"$82,603,008","3,120","$83,504,017",Nov 11 2011,Relativity Media
39,The Muppets,,"$81,795,283","3,440","$88,631,237",Nov 23 2011,Walt Disney Studios Motion Pictures
40,Zookeeper,,"$80,360,843","3,482","$80,360,843",Jul 8 2011,Sony Pictures Releasing
41,Limitless,,"$79,249,455","2,838","$79,249,455",Mar 18 2011,Relativity Media
42,Tower Heist,,"$76,650,420","3,370","$78,046,570",Nov 4 2011,Universal Pictures
43,Contagion,,"$75,658,097","3,222","$75,658,097",Sep 9 2011,Warner Bros.
44,Moneyball,,"$74,896,695","3,018","$75,605,492",Sep 23 2011,Sony Pictures Releasing
45,Justin Bieber: Never Say Never,,"$73,013,910","3,118","$73,013,910",Feb 11 2011,Paramount Pictures
46,Dolphin Tale,,"$71,922,716","3,515","$72,286,779",Sep 23 2011,Warner Bros.
