rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Star Wars: Episode III - Revenge of the Sith,,"$380,270,577","3,663","$380,270,577",May 19 2005,Twentieth Century Fox
2,Harry Potter and the Goblet of Fire,,"$273,281,180","3,858","$290,013,036",Nov 18 2005,Warner Bros.
3,War of the Worlds,,"$234,280,354","3,910","$234,280,354",Jun 29 2005,Paramount Pictures
4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,"$209,440,087","3,853","$291,710,957",Dec 9 2005,Walt Disney Studios Motion Pictures
5,Wedding Crashers,,"$209,253,921","3,131","$209,255,921",Jul 15 2005,New Line Cinema
6,Charlie and the Chocolate Factory,,"$206,459,076","3,790","$206,459,076",Jul 15 2005,Warner Bros.
7,Batman Begins,,"$205,343,774","3,858","$205,343,774",Jun 15 2005,Warner Bros.
8,Madagascar,,"$193,595,521","4,142","$193,595,521",May 27 2005,DreamWorks Distribution
9,Mr. & Mrs. Smith,,"$186,336,279","3,451","$186,336,279",Jun 10 2005,Twentieth Century Fox
10,Hitch,,"$179,495,555","3,575","$179,495,555",Feb 11 2005,Sony Pictures Releasing
11,King Kong,,"$158,709,835","3,627","$218,080,025",Dec 14 2005,Universal Pictures
12,The Longest Yard,,"$158,119,460","3,654","$158,119,460",May 27 2005,Paramount Pictures
13,Fantastic Four,,"$154,696,080","3,619","$154,696,080",Jul 8 2005,Twentieth Century Fox
14,Meet the Fockers,,"$146,401,395","3,554","$279,261,160",Dec 22 2005,Universal Pictures
15,Chicken Little,,"$131,744,998","3,658","$135,386,665",Nov 4 2005,Walt Disney Studios Motion Pictures
16,Robots,,"$128,200,012","3,776","$128,200,012",Mar 11 2005,Twentieth Century Fox
17,The Pacifier,,"$113,086,868","3,181","$113,086,868",Mar 4 2005,Walt Disney Studios Motion Pictures
18,The 40-Year-Old Virgin,,"$109,449,237","3,006","$109,449,237",Aug 19 2005,Universal Pictures
19,Million Dollar Baby,,"$99,649,950","2,375","$100,492,203",Dec 15 2005,Warner Bros.
20,Walk the Line,,"$90,851,004","3,160","$119,519,402",Nov 18 2005,Twentieth Century Fox
21,Flightplan,,"$89,082,220","3,424","$89,707,299",Sep 23 2005,Walt Disney Studios Motion Pictures
22,Saw II,,"$86,996,234","2,949","$87,039,965",Oct 28 2005,Lionsgate Films
23,Monster-in-Law,,"$82,931,695","3,424","$82,931,301",May 13 2005,New Line Cinema
24,Are We There Yet?,,"$82,674,398","2,810","$82,674,398",Jan 21 2005,Revolution Studios
25,The Dukes of Hazzard,,"$80,270,227","3,785","$80,270,227",Aug 5 2005,Warner Bros.
26,The Aviator,,"$78,521,054","2,530","$102,610,330",Dec 17 2005,Miramax
27,March of the Penguins,,"$77,437,223","2,506","$77,437,223",Jun 24 2005,Warner Independent Pictures (WIP)
28,The Ring Two,,"$76,231,249","3,341","$76,231,249",Mar 18 2005,DreamWorks Distribution
29,Constantine,,"$75,934,974","3,006","$75,976,178",Feb 18 2005,Warner Bros.
30,The Exorcism of Emily Rose,,"$75,072,454","3,045","$75,072,454",Sep 9 2005,Screen Gems
31,Four Brothers,,"$74,494,381","2,649","$74,494,381",Aug 12 2005,Paramount Pictures
32,Sin City,,"$74,102,841","3,230","$74,103,820",Apr 1 2005,Dimension Films
33,The Interpreter,,"$72,708,161","2,814","$72,708,161",Apr 22 2005,Universal Pictures
34,Guess Who,,"$68,915,888","3,147","$68,915,888",Mar 25 2005,Sony Pictures Releasing
35,Sahara,,"$68,671,925","3,200","$68,671,925",Apr 8 2005,Paramount Pictures
36,Coach Carter,,"$67,264,877","2,574","$67,264,877",Jan 14 2005,Paramount Pictures
37,Herbie Fully Loaded,,"$66,023,816","3,521","$66,023,816",Jun 22 2005,Walt Disney Studios Motion Pictures
38,The Amityville Horror,,"$65,233,369","3,323","$65,233,369",Apr 15 2005,Metro-Goldwyn-Mayer (MGM)
39,Sky High,,"$63,946,815","2,912","$63,946,815",Jul 29 2005,Walt Disney Studios Motion Pictures
40,Bewitched,,"$63,313,159","3,188","$63,313,159",Jun 24 2005,Sony Pictures Releasing
41,Jarhead,,"$62,422,775","2,448","$62,658,220",Nov 4 2005,Universal Pictures
42,Cinderella Man,,"$61,649,911","2,820","$61,649,911",Jun 3 2005,Universal Pictures
43,Red Eye,,"$57,891,803","3,134","$57,891,803",Aug 19 2005,DreamWorks Distribution
44,White Noise,,"$56,386,759","2,279","$56,386,759",Jan 7 2005,Universal Pictures
45,Be Cool,,"$56,046,979","3,216","$56,046,979",Mar 4 2005,Metro-Goldwyn-Mayer (MGM)
46,Wallace & Gromit: The Curse of the Were-Rabbit,,"$55,969,163","3,656","$56,110,897",Oct 5 2005,DreamWorks Distribution
47,Fun with Dick and Jane,,"$54,062,538","3,239","$110,332,737",Dec 21 2005,Sony Pictures Releasing
48,Crash,,"$53,404,817","1,905","$54,580,300",May 6 2005,Lionsgate Films
49,Corpse Bride,,"$53,359,111","3,204","$53,359,111",Sep 16 2005,Warner Bros.
50,Kicking & Screaming,,"$52,842,724","3,470","$52,842,724",May 13 2005,Universal Pictures
51,Hide and Seek,,"$51,100,486","3,005","$51,100,486",Jan 28 2005,Twentieth Century Fox
52,The Hitchhiker's Guide to the Galaxy,,"$51,085,416","3,133","$51,085,416",Apr 29 2005,Walt Disney Studios Motion Pictures
53,Sideways,,"$50,635,185","1,786","$71,503,593",Oct 22 2005,-
54,Diary of a Mad Black Woman,,"$50,633,099","1,703","$50,633,099",Feb 25 2005,Lionsgate Films
55,"Yours, Mine & Ours",,"$50,328,659","3,210","$53,412,862",Nov 23 2005,Paramount Pictures
56,Racing Stripes,,"$49,772,522","3,185","$49,772,522",Jan 14 2005,Warner Bros.
57,Miss Congeniality 2: Armed & Fabulous,,"$48,478,006","3,233","$48,478,006",Mar 24 2005,Warner Bros.
58,Just Like Heaven,,"$48,318,130","3,543","$48,318,130",Sep 16 2005,DreamWorks Distribution
59,The Skeleton Key,,"$47,907,715","2,784","$47,907,715",Aug 12 2005,Universal Pictures
60,Kingdom of Heaven,,"$47,398,413","3,219","$47,398,413",May 6 2005,Twentieth Century Fox
61,Boogeyman,,"$46,752,382","3,052","$46,752,382",Feb 4 2005,Screen Gems
62,Cheaper by the Dozen 2,,"$45,958,914","3,211","$82,571,173",Dec 21 2005,Twentieth Century Fox
63,In Good Company,,"$45,695,490","1,963","$45,806,659",Dec 29 2005,Universal Pictures
64,The Legend of Zorro,,"$45,383,726","3,520","$46,464,023",Oct 28 2005,Sony Pictures Releasing
65,Must Love Dogs,,"$43,894,863","2,505","$43,894,863",Jul 29 2005,Warner Bros.
66,Transporter 2,,"$43,095,856","3,320","$43,095,856",Sep 2 2005,Twentieth Century Fox
67,Fever Pitch,,"$42,071,069","3,275","$42,071,069",Apr 8 2005,Twentieth Century Fox
68,The Family Stone,,"$41,405,336","2,469","$60,062,868",Dec 16 2005,Twentieth Century Fox
69,The Adventures of Sharkboy and Lavagirl 3-D,,"$39,177,708","2,655","$39,177,684",Jun 10 2005,Dimension Films
70,The Sisterhood of the Traveling Pants,,"$39,053,061","2,583","$39,053,061",Jun 1 2005,Warner Bros.
71,The Phantom of the Opera,,"$38,311,922","1,515","$51,268,815",Dec 22 2005,Warner Bros.
72,The Brothers Grimm,,"$37,917,584","3,098","$37,916,267",Aug 26 2005,Dimension Films
73,Beauty Shop,,"$36,351,350","2,659","$36,351,350",Mar 30 2005,Metro-Goldwyn-Mayer (MGM)
74,Syriana,,"$36,147,858","1,775","$50,824,620",Nov 23 2005,Warner Bros.
75,The Island,,"$35,818,913","3,138","$35,818,913",Jul 22 2005,DreamWorks Distribution
76,Derailed,,"$35,667,597","2,447","$36,024,076",Nov 11 2005,The Weinstein Company
77,Hostage,,"$34,636,671","2,183","$34,639,939",Mar 11 2005,Miramax
78,A Series of Unfortunate Events,,"$33,877,477","3,623","$118,634,549",Dec 17 2005,Paramount Pictures
79,The Constant Gardener,,"$33,578,235","1,387","$33,579,797",Aug 31 2005,Focus Features
80,Pride & Prejudice,,"$33,174,127","1,335","$38,405,088",Nov 11 2005,Focus Features
81,Bad News Bears,,"$32,868,349","3,183","$32,868,349",Jul 22 2005,Paramount Pictures
82,In Her Shoes,,"$32,828,678","2,840","$32,880,591",Oct 7 2005,Twentieth Century Fox
83,Because of Winn-Dixie,,"$32,647,042","3,188","$32,647,042",Feb 18 2005,Twentieth Century Fox
84,Dreamer,,"$32,605,604","2,735","$32,751,093",Oct 21 2005,DreamWorks Distribution
85,Stealth,,"$32,116,746","3,495","$32,116,746",Jul 29 2005,Sony Pictures Releasing
86,House of Wax,,"$32,064,800","3,111","$32,064,800",May 6 2005,Warner Bros.
87,The Wedding Date,,"$31,726,995","1,704","$31,726,995",Feb 4 2005,Universal Pictures
88,Just Friends,,"$31,366,561","2,505","$32,619,671",Nov 23 2005,New Line Cinema
89,A History of Violence,,"$31,176,424","1,348","$31,504,633",Sep 23 2005,New Line Cinema
90,Get Rich or Die Tryin',,"$30,783,362","1,666","$30,985,352",Nov 9 2005,Paramount Pictures
91,The Fog,,"$29,511,112","2,972","$29,550,869",Oct 14 2005,Revolution Studios
92,Rent,,"$29,008,029","2,437","$29,077,547",Nov 23 2005,Revolution Studios
93,Doom,,"$28,212,337","3,044","$28,212,337",Oct 21 2005,Universal Pictures
94,Zathura: A Space Adventure,,"$28,045,540","3,232","$29,258,869",Nov 11 2005,Sony Pictures Releasing
95,Finding Neverland,,"$27,860,541","1,411","$51,680,613",Nov 12 2005,Miramax
96,xXx: State of the Union,,"$26,873,932","3,480","$26,873,932",Apr 29 2005,Revolution Studios
97,Elizabethtown,,"$26,850,433","2,517","$26,850,426",Oct 14 2005,Paramount Pictures
98,Serenity,,"$25,514,517","2,189","$25,514,517",Sep 30 2005,Universal Pictures
99,Dark Water,2005 Re-release,"$25,473,352","2,657","$25,473,352",Jul 8 2005,Walt Disney Studios Motion Pictures
