rank,title,re_release,gross,num_theaters,total_gross,date,distributor
1,Star Wars: Episode VIII - The Last Jedi,,"$517,218,368","4,232","$620,181,382",Dec 15 2017,Walt Disney Studios Motion Pictures
2,Beauty and the Beast,,"$504,014,165","4,210","$504,014,165",Mar 17 2017,Walt Disney Studios Motion Pictures
3,Wonder Woman,,"$412,563,408","4,165","$412,563,408",Jun 2 2017,Warner Bros.
4,Guardians of the Galaxy Vol. 2,,"$389,813,101","4,347","$389,813,101",May 5 2017,Walt Disney Studios Motion Pictures
5,Spider-Man: Homecoming,,"$334,201,140","4,348","$334,201,140",Jul 7 2017,Sony Pictures Releasing
6,It,,"$327,481,748","4,148","$327,481,748",Sep 8 2017,Warner Bros.
7,Thor: Ragnarok,,"$311,225,150","4,080","$315,058,289",Nov 3 2017,Walt Disney Studios Motion Pictures
8,Despicable Me 3,,"$264,624,300","4,535","$264,624,300",Jun 30 2017,Universal Pictures
9,Logan,,"$226,277,068","4,071","$226,277,068",Mar 3 2017,Twentieth Century Fox
10,The Fate of the Furious,,"$226,008,385","4,329","$226,008,385",Apr 14 2017,Universal Pictures
11,Justice League,,"$225,546,295","4,051","$229,024,295",Nov 17 2017,Warner Bros.
12,Dunkirk,,"$188,045,546","4,014","$188,045,546",Jul 21 2017,Warner Bros.
13,Coco,,"$179,834,199","3,987","$210,460,015",Nov 22 2017,Walt Disney Studios Motion Pictures
14,The Lego Batman Movie,,"$175,750,384","4,088","$175,750,384",Feb 10 2017,Warner Bros.
15,Get Out,,"$175,686,870","3,143","$176,040,665",Feb 24 2017,Universal Pictures
16,The Boss Baby,,"$175,003,033","3,829","$175,003,033",Mar 31 2017,Twentieth Century Fox
17,Pirates of the Caribbean: Dead Men Tell No Tales,,"$172,558,876","4,276","$172,558,876",May 26 2017,Walt Disney Studios Motion Pictures
18,Jumanji: Welcome to the Jungle,,"$170,863,915","3,849","$404,515,480",Dec 20 2017,Sony Pictures Releasing
19,Kong: Skull Island,,"$168,052,812","3,846","$168,052,812",Mar 10 2017,Warner Bros.
20,Hidden Figures,,"$167,620,331","3,416","$169,607,287",Dec 25 2017,Twentieth Century Fox
21,Cars 3,,"$152,901,115","4,256","$152,901,115",Jun 16 2017,Walt Disney Studios Motion Pictures
22,War for the Planet of the Apes,,"$146,880,162","4,100","$146,880,162",Jul 14 2017,Twentieth Century Fox
23,Split,,"$138,291,365","3,373","$138,291,365",Jan 20 2017,Universal Pictures
24,Transformers: The Last Knight,,"$130,168,683","4,132","$130,168,683",Jun 21 2017,Paramount Pictures
25,Rogue One: A Star Wars Story,,"$123,941,474","4,157","$532,177,324",Dec 16 2017,Walt Disney Studios Motion Pictures
26,Wonder,,"$121,559,294","3,519","$132,422,809",Nov 17 2017,Lionsgate Films
27,La La Land,,"$120,121,532","3,236","$151,101,803",Dec 9 2017,Lionsgate Films
28,Sing,,"$117,541,430","4,029","$270,395,425",Dec 21 2017,Universal Pictures
29,Girls Trip,,"$115,171,585","2,648","$115,171,585",Jul 21 2017,Universal Pictures
30,Fifty Shades Darker,,"$114,581,250","3,714","$114,581,250",Feb 10 2017,Universal Pictures
31,Baby Driver,,"$107,825,862","3,226","$107,825,862",Jun 28 2017,TriStar Pictures
32,Annabelle: Creation,,"$102,092,201","3,565","$102,092,201",Aug 11 2017,Warner Bros.
33,Daddy's Home 2,,"$101,791,381","3,575","$104,029,443",Nov 10 2017,Paramount Pictures
34,Murder on the Orient Express,,"$100,619,624","3,354","$102,826,543",Nov 10 2017,Twentieth Century Fox
35,Kingsman: The Golden Circle,,"$100,225,686","4,038","$100,229,647",Sep 22 2017,Twentieth Century Fox
36,John Wick: Chapter 2,,"$92,029,184","3,113","$92,029,184",Feb 10 2017,Lionsgate Films
37,Blade Runner 2049,,"$91,654,512","4,058","$92,054,159",Oct 6 2017,Warner Bros.
38,The Emoji Movie,,"$86,089,513","4,075","$86,089,513",Jul 28 2017,Sony Pictures Releasing
39,Power Rangers,,"$85,364,450","3,693","$85,364,450",Mar 24 2017,Lionsgate Films
40,The Mummy,,"$80,227,895","4,035","$80,227,895",Jun 9 2017,Universal Pictures
41,The Hitman's Bodyguard,,"$75,468,583","3,377","$75,468,583",Aug 18 2017,Lionsgate Films
42,Alien: Covenant,,"$74,262,031","3,772","$74,262,031",May 19 2017,Twentieth Century Fox
43,Captain Underpants: The First Epic Movie,,"$73,921,000","3,529","$73,921,000",Jun 2 2017,Twentieth Century Fox
44,A Bad Moms Christmas,,"$71,891,988","3,615","$72,110,659",Nov 1 2017,STX Entertainment
45,A Dog's Purpose,,"$64,508,620","3,178","$64,508,620",Jan 27 2017,Universal Pictures
46,Pitch Perfect 3,,"$63,300,605","3,468","$104,897,530",Dec 22 2017,Universal Pictures
47,The Lego Ninjago Movie,,"$59,281,555","4,047","$59,281,555",Sep 22 2017,Warner Bros.
48,Baywatch,,"$58,060,186","3,647","$58,060,186",May 25 2017,Paramount Pictures
49,The Shack,,"$57,386,418","2,888","$57,386,418",Mar 3 2017,Lionsgate Films
50,Happy Death Day,,"$55,683,845","3,535","$55,683,845",Oct 13 2017,Universal Pictures
51,Ferdinand,,"$53,546,717","3,630","$84,410,380",Dec 15 2017,Twentieth Century Fox
52,Atomic Blonde,,"$51,687,870","3,326","$51,687,870",Jul 28 2017,Focus Features
53,American Made,,"$51,342,000","3,098","$51,342,000",Sep 29 2017,Universal Pictures
54,The Dark Tower,,"$50,701,325","3,451","$50,701,325",Aug 4 2017,Sony Pictures Releasing
55,The Greatest Showman,,"$49,036,718","3,342","$174,340,174",Dec 20 2017,Twentieth Century Fox
56,Boo 2! A Madea Halloween,,"$47,319,572","2,388","$47,319,572",Oct 20 2017,Lionsgate Films
57,Lion,,"$46,435,205","1,802","$51,738,905",Nov 25 2017,The Weinstein Company
58,Snatched,,"$45,852,178","3,511","$45,852,178",May 12 2017,Twentieth Century Fox
59,The Great Wall,,"$45,540,830","3,328","$45,540,830",Feb 17 2017,Universal Pictures
60,Smurfs: The Lost Village,,"$45,020,282","3,610","$45,020,282",Apr 7 2017,Sony Pictures Releasing
61,Going in Style,,"$45,018,541","3,076","$45,018,541",Apr 7 2017,Warner Bros.
62,All Eyez on Me,,"$44,922,302","2,471","$44,922,302",Jun 16 2017,Lionsgate Films
63,xXx: Return of Xander Cage,,"$44,898,413","3,651","$44,898,413",Jan 20 2017,Paramount Pictures
64,Passengers,,"$44,634,490","3,478","$100,014,699",Dec 21 2017,Sony Pictures Releasing
65,47 Meters Down,,"$44,307,191","2,471","$44,307,191",Jun 16 2017,Entertainment Studios Motion Pictures
66,The Big Sick,,"$42,873,127","2,597","$42,873,127",Jun 23 2017,Lionsgate Films
67,Moana,,"$42,279,566","3,875","$248,757,044",Nov 23 2017,Walt Disney Studios Motion Pictures
68,Ghost in the Shell,,"$40,563,557","3,440","$40,563,557",Mar 31 2017,Paramount Pictures
69,Valerian and the City of a Thousand Planets,,"$40,479,370","3,553","$41,189,488",Jul 21 2017,STX Entertainment
70,The Star,,"$39,963,949","2,976","$40,852,824",Nov 17 2017,Sony Pictures Releasing
71,King Arthur: Legend of the Sword,,"$39,175,066","3,702","$39,175,066",May 12 2017,Warner Bros.
72,Jigsaw,,"$38,052,832","2,941","$38,052,832",Oct 27 2017,Lionsgate Films
73,American Assassin,,"$36,249,674","3,154","$36,249,674",Sep 15 2017,Lionsgate Films
74,The Foreigner,,"$34,393,507","2,515","$34,393,507",Oct 13 2017,STX Entertainment
75,"Everything, Everything",,"$34,121,140","2,801","$34,121,140",May 19 2017,Warner Bros.
76,Wind River,,"$33,800,859","2,890","$33,800,859",Aug 4 2017,The Weinstein Company
77,Geostorm,,"$33,578,782","3,246","$33,700,160",Oct 20 2017,Warner Bros.
78,Monster Trucks,,"$33,370,166","3,119","$33,370,166",Jan 13 2017,Paramount Pictures
79,Fist Fight,,"$32,187,017","3,185","$32,187,017",Feb 17 2017,Warner Bros.
80,How to Be a Latin Lover,,"$32,149,404","1,203","$32,149,404",Apr 28 2017,Pantelion Films
81,Lady Bird,,"$31,432,462","1,557","$48,958,273",Nov 3 2017,A24
82,Fences,,"$31,351,933","2,368","$57,682,904",Dec 16 2017,Paramount Pictures
83,Patriots Day,,"$31,319,806","3,120","$31,886,361",Dec 21 2017,Lionsgate Films
84,Kidnap,,"$30,971,040","2,418","$30,971,040",Aug 4 2017,Aviron Pictures
85,Underworld: Blood Wars,,"$30,353,973","3,070","$30,353,973",Jan 6 2017,Screen Gems
86,The Mountain Between Us,,"$30,348,555","3,259","$30,348,555",Oct 6 2017,Twentieth Century Fox
87,Life,,"$30,234,022","3,146","$30,234,022",Mar 24 2017,Sony Pictures Releasing
88,Why Him?,,"$29,689,870","3,008","$60,323,786",Dec 23 2017,Twentieth Century Fox
89,The Nut Job 2: Nutty by Nature,,"$28,370,522","4,003","$28,370,522",Aug 11 2017,Open Road Films (II)
90,Rings,,"$27,793,018","2,931","$27,793,018",Feb 3 2017,Paramount Pictures
91,Logan Lucky,,"$27,780,977","3,031","$27,780,977",Aug 18 2017,Bleecker Street Media
92,Home Again,,"$27,020,284","3,036","$27,020,284",Sep 8 2017,Open Road Films (II)
93,Resident Evil: The Final Chapter,,"$26,830,068","3,104","$26,830,068",Jan 27 2017,Screen Gems
94,The House,,"$25,584,504","3,134","$25,584,504",Jun 30 2017,Warner Bros.
95,Gifted,,"$24,801,212","2,215","$24,801,212",Apr 7 2017,-
96,"Three Billboards Outside Ebbing, Missouri",,"$24,164,629","1,726","$54,513,740",Nov 10 2017,-
97,The Bye Bye Man,,"$22,395,806","2,220","$22,395,806",Jan 13 2017,STX Entertainment
98,Victoria & Abdul,,"$22,233,285","1,060","$22,245,070",Sep 22 2017,Focus Features
99,Rough Night,,"$22,105,643","3,162","$22,105,643",Jun 16 2017,Sony Pictures Releasing
100,My Little Pony: The Movie,,"$21,885,107","2,528","$21,885,107",Oct 6 2017,Lionsgate Films
101,Leap!,2017 Re-release,"$21,858,070","2,705","$21,858,070",Aug 25 2017,The Weinstein Company
102,Sleepless,,"$20,783,704","1,803","$20,783,704",Jan 13 2017,Open Road Films (II)
103,Diary of a Wimpy Kid: The Long Haul,,"$20,738,724","3,174","$20,738,724",May 19 2017,Twentieth Century Fox
104,Manchester by the Sea,,"$20,640,332","1,213","$47,695,371",Nov 18 2017,Roadside Attractions
105,The Circle,,"$20,497,844","3,163","$20,497,844",Apr 28 2017,STX Entertainment
106,Baahubali 2: The Conclusion,,"$20,186,659",425,"$20,186,659",Apr 28 2017,Great India Films
107,CHIPS,,"$18,600,152","2,464","$18,600,152",Mar 24 2017,Warner Bros.
108,Assassin's Creed,,"$18,232,781","2,996","$54,647,948",Dec 21 2017,Twentieth Century Fox
109,Only the Brave,,"$18,181,288","2,577","$18,343,983",Oct 20 2017,Sony Pictures Releasing
110,Darkest Hour,,"$18,132,857","1,733","$56,468,410",Nov 22 2017,Focus Features
111,The Disaster Artist,,"$17,861,795","1,010","$21,120,616",Dec 1 2017,A24
112,Mother!,,"$17,800,004","2,368","$17,800,004",Sep 15 2017,Paramount Pictures
113,The Zookeeper's Wife,,"$17,571,660","1,057","$17,571,660",Mar 31 2017,Focus Features
114,The Glass Castle,,"$17,273,059","1,461","$17,273,059",Aug 11 2017,Lionsgate Films
115,Downsizing,,"$17,160,674","2,668","$24,449,754",Dec 22 2017,Paramount Pictures
116,Flatliners,,"$16,883,115","2,552","$16,883,115",Sep 29 2017,Sony Pictures Releasing
117,Detroit,,"$16,790,139","3,007","$16,790,139",Jul 28 2017,Annapurna Pictures
118,The Shape of Water,,"$15,670,177","2,341","$63,859,435",Dec 1 2017,-
119,Moonlight,,"$15,365,833","1,564","$27,854,932",Oct 21 2017,A24
120,The Case for Christ,,"$14,682,684","1,386","$14,682,684",Apr 7 2017,Pure Flix Entertainment
121,Wish Upon,,"$14,301,505","2,250","$14,301,505",Jul 14 2017,Broad Green Pictures
122,It Comes at Night,,"$13,985,117","2,533","$13,985,117",Jun 9 2017,A24
123,Born in China,,"$13,873,211","1,508","$13,873,211",Apr 21 2017,Walt Disney Studios Motion Pictures
124,Megan Leavey,,"$13,406,304","1,956","$13,406,883",Jun 9 2017,Bleecker Street Media
125,Father Figures,,"$12,885,287","2,902","$17,501,244",Dec 22 2017,Warner Bros.
